datetime,open,high,low,close
2021-04-18 04:00:00,2.09,2.09,2.09,2.09
2021-04-18 08:00:00,2.09,2.1,2.05,2.05
2021-04-18 12:00:00,2.0,2.0,1.83,1.83
2021-04-18 16:00:00,1.71,1.74,1.7,1.72
2021-04-18 20:00:00,1.79,1.79,1.65,1.69
2021-04-19 00:00:00,1.58,1.71,1.58,1.71
2021-04-19 04:00:00,1.75,1.75,1.71,1.74
2021-04-19 08:00:00,1.76,1.78,1.76,1.77
2021-04-19 12:00:00,1.74,1.81,1.74,1.81
2021-04-19 16:00:00,1.84,1.85,1.83,1.85
2021-04-19 20:00:00,1.84,1.84,1.72,1.72
2021-04-20 00:00:00,1.79,1.79,1.64,1.64
2021-04-20 04:00:00,1.59,1.67,1.59,1.67
2021-04-20 08:00:00,1.68,1.69,1.64,1.64
2021-04-20 12:00:00,1.56,1.56,1.49,1.5
2021-04-20 16:00:00,1.56,1.56,1.45,1.45
2021-04-20 20:00:00,1.51,1.61,1.51,1.61
2021-04-21 00:00:00,1.63,1.69,1.63,1.65
2021-04-21 04:00:00,1.65,1.71,1.65,1.71
2021-04-21 08:00:00,1.75,1.75,1.73,1.73
2021-04-21 12:00:00,1.71,1.72,1.66,1.72
2021-04-21 16:00:00,1.67,1.71,1.67,1.71
2021-04-21 20:00:00,1.71,1.74,1.68,1.68
2021-04-22 00:00:00,1.64,1.73,1.64,1.73
2021-04-22 04:00:00,1.74,1.74,1.71,1.71
2021-04-22 08:00:00,1.78,1.78,1.67,1.67
2021-04-22 12:00:00,1.64,1.66,1.64,1.65
2021-04-22 16:00:00,1.62,1.64,1.62,1.63
2021-04-22 20:00:00,1.63,1.63,1.58,1.63
2021-04-23 00:00:00,1.68,1.71,1.67,1.71
2021-04-23 04:00:00,1.75,1.75,1.67,1.68
2021-04-23 08:00:00,1.64,1.64,1.52,1.52
2021-04-23 12:00:00,1.51,1.51,1.36,1.36
2021-04-23 16:00:00,1.38,1.38,1.33,1.33
2021-04-23 20:00:00,1.29,1.39,1.29,1.39
2021-04-24 00:00:00,1.41,1.41,1.35,1.4
2021-04-24 04:00:00,1.4,1.44,1.4,1.44
2021-04-24 08:00:00,1.45,1.45,1.41,1.42
2021-04-24 12:00:00,1.47,1.47,1.39,1.42
2021-04-24 16:00:00,1.43,1.46,1.43,1.45
2021-04-24 20:00:00,1.43,1.44,1.36,1.36
2021-04-25 00:00:00,1.32,1.36,1.32,1.34
2021-04-25 04:00:00,1.38,1.38,1.36,1.37
2021-04-25 08:00:00,1.35,1.36,1.34,1.34
2021-04-25 12:00:00,1.32,1.36,1.32,1.36
2021-04-25 16:00:00,1.33,1.33,1.31,1.31
2021-04-25 20:00:00,1.33,1.37,1.33,1.37
2021-04-26 00:00:00,1.39,1.45,1.39,1.45
2021-04-26 04:00:00,1.42,1.42,1.39,1.39
2021-04-26 08:00:00,1.36,1.36,1.28,1.33
2021-04-26 12:00:00,1.34,1.44,1.34,1.43
2021-04-26 16:00:00,1.45,1.49,1.45,1.49
2021-04-26 20:00:00,1.48,1.5,1.47,1.5
2021-04-27 00:00:00,1.52,1.52,1.49,1.49
2021-04-27 04:00:00,1.49,1.52,1.49,1.52
2021-04-27 08:00:00,1.53,1.53,1.49,1.51
2021-04-27 12:00:00,1.53,1.57,1.53,1.57
2021-04-27 16:00:00,1.56,1.61,1.56,1.61
2021-04-27 20:00:00,1.59,1.62,1.59,1.62
2021-04-28 00:00:00,1.64,1.7,1.6,1.7
2021-04-28 04:00:00,1.79,1.85,1.76,1.85
2021-04-28 08:00:00,1.83,1.84,1.81,1.81
2021-04-28 12:00:00,1.83,1.83,1.78,1.78
2021-04-28 16:00:00,1.72,1.72,1.65,1.65
2021-04-28 20:00:00,1.69,1.69,1.66,1.68
2021-04-29 00:00:00,1.71,1.74,1.68,1.68
2021-04-29 04:00:00,1.68,1.72,1.68,1.71
2021-04-29 08:00:00,1.72,1.72,1.68,1.68
2021-04-29 12:00:00,1.71,1.71,1.68,1.69
2021-04-29 16:00:00,1.68,1.7,1.66,1.7
2021-04-29 20:00:00,1.71,1.75,1.7,1.75
2021-04-30 00:00:00,1.76,1.76,1.7,1.7
2021-04-30 04:00:00,1.69,1.69,1.63,1.63
2021-04-30 08:00:00,1.63,1.66,1.62,1.66
2021-04-30 12:00:00,1.67,1.67,1.63,1.67
2021-04-30 16:00:00,1.67,1.72,1.67,1.72
2021-04-30 20:00:00,1.7,1.72,1.69,1.69
2021-05-01 00:00:00,1.69,1.75,1.69,1.75
2021-05-01 04:00:00,1.72,1.72,1.71,1.72
2021-05-01 08:00:00,1.74,1.79,1.74,1.79
2021-05-01 12:00:00,1.8,1.82,1.8,1.81
2021-05-01 16:00:00,1.84,1.85,1.83,1.84
2021-05-01 20:00:00,1.81,1.82,1.8,1.82
2021-05-02 00:00:00,1.87,1.87,1.81,1.81
2021-05-02 04:00:00,1.82,1.96,1.82,1.96
2021-05-02 08:00:00,1.94,1.99,1.94,1.99
2021-05-02 12:00:00,1.94,1.94,1.91,1.91
2021-05-02 16:00:00,1.83,1.88,1.83,1.88
2021-05-02 20:00:00,1.86,1.9,1.86,1.9
2021-05-03 00:00:00,1.88,1.91,1.88,1.91
2021-05-03 04:00:00,1.92,1.95,1.92,1.92
2021-05-03 08:00:00,1.95,1.95,1.86,1.86
2021-05-03 12:00:00,1.87,1.91,1.87,1.9
2021-05-03 16:00:00,1.91,1.92,1.91,1.91
2021-05-03 20:00:00,1.91,1.95,1.91,1.95
2021-05-04 00:00:00,1.95,1.95,1.9,1.93
2021-05-04 04:00:00,1.91,1.93,1.91,1.91
2021-05-04 08:00:00,1.9,1.9,1.87,1.88
2021-05-04 12:00:00,1.9,1.9,1.76,1.76
2021-05-04 16:00:00,1.77,1.83,1.77,1.83
2021-05-04 20:00:00,1.8,1.83,1.78,1.83
2021-05-05 00:00:00,1.83,1.83,1.7,1.7
2021-05-05 04:00:00,1.7,1.77,1.68,1.77
2021-05-05 08:00:00,1.76,1.78,1.74,1.74
2021-05-05 12:00:00,1.68,1.75,1.68,1.74
2021-05-05 16:00:00,1.72,1.76,1.7,1.76
2021-05-05 20:00:00,1.79,1.81,1.79,1.81
2021-05-06 00:00:00,1.79,1.88,1.79,1.88
2021-05-06 04:00:00,1.84,1.86,1.84,1.86
