datetime,open,high,low,close
2021-04-18 04:00:00,34.38,34.79,34.38,34.79
2021-04-18 08:00:00,34.76,35.04,34.28,34.28
2021-04-18 12:00:00,33.82,33.82,23.27,23.27
2021-04-18 16:00:00,27.84,29.29,26.84,28.32
2021-04-18 20:00:00,29.46,29.46,27.52,27.52
2021-04-19 00:00:00,26.32,28.71,26.32,28.71
2021-04-19 04:00:00,28.56,28.83,28.47,28.71
2021-04-19 08:00:00,28.73,29.52,28.65,29.52
2021-04-19 12:00:00,29.01,29.29,29.01,29.29
2021-04-19 16:00:00,29.7,29.73,29.4,29.69
2021-04-19 20:00:00,30.34,30.34,28.28,28.28
2021-04-20 00:00:00,28.52,28.52,26.42,26.42
2021-04-20 04:00:00,25.96,26.9,25.96,26.9
2021-04-20 08:00:00,27.32,27.32,27.04,27.06
2021-04-20 12:00:00,26.2,26.2,24.48,24.48
2021-04-20 16:00:00,25.4,25.63,24.6,24.6
2021-04-20 20:00:00,25.37,26.64,25.37,26.64
2021-04-21 00:00:00,27.82,27.82,26.91,26.91
2021-04-21 04:00:00,26.49,27.83,26.49,27.83
2021-04-21 08:00:00,28.05,28.05,27.26,27.26
2021-04-21 12:00:00,27.22,27.68,27.09,27.59
2021-04-21 16:00:00,26.93,27.67,26.93,27.67
2021-04-21 20:00:00,27.07,27.6,26.76,26.76
2021-04-22 00:00:00,26.91,27.71,26.91,27.71
2021-04-22 04:00:00,27.91,27.91,27.32,27.8
2021-04-22 08:00:00,27.48,27.48,26.08,26.08
2021-04-22 12:00:00,25.76,26.41,25.51,26.08
2021-04-22 16:00:00,25.97,26.53,25.97,26.18
2021-04-22 20:00:00,25.85,26.84,25.85,26.84
2021-04-23 00:00:00,27.02,27.24,27.02,27.17
2021-04-23 04:00:00,27.1,27.28,26.0,26.0
2021-04-23 08:00:00,25.42,25.42,23.94,24.6
2021-04-23 12:00:00,24.26,24.26,21.65,21.65
2021-04-23 16:00:00,21.92,21.92,21.13,21.41
2021-04-23 20:00:00,20.57,23.27,20.57,23.27
2021-04-24 00:00:00,23.47,23.47,22.47,22.73
2021-04-24 04:00:00,23.04,23.37,22.78,23.37
2021-04-24 08:00:00,23.69,23.69,22.94,23.29
2021-04-24 12:00:00,22.96,23.09,22.55,23.09
2021-04-24 16:00:00,23.5,23.69,23.5,23.66
2021-04-24 20:00:00,23.13,23.5,22.33,22.33
2021-04-25 00:00:00,21.82,22.17,21.76,21.76
2021-04-25 04:00:00,22.4,22.64,22.08,22.64
2021-04-25 08:00:00,22.48,22.54,22.25,22.25
2021-04-25 12:00:00,21.91,22.47,21.91,22.47
2021-04-25 16:00:00,21.84,21.89,21.43,21.43
2021-04-25 20:00:00,21.64,22.3,21.64,22.17
2021-04-26 00:00:00,22.47,23.3,22.47,23.3
2021-04-26 04:00:00,23.52,23.52,22.61,22.61
2021-04-26 08:00:00,22.15,22.15,20.8,21.34
2021-04-26 12:00:00,21.51,23.3,21.51,23.23
2021-04-26 16:00:00,23.6,25.34,23.6,25.34
2021-04-26 20:00:00,25.13,25.7,24.89,25.29
2021-04-27 00:00:00,25.52,25.52,25.31,25.33
2021-04-27 04:00:00,25.47,26.19,25.47,26.19
2021-04-27 08:00:00,25.94,25.94,25.18,25.64
2021-04-27 12:00:00,26.28,27.1,26.23,27.1
2021-04-27 16:00:00,26.61,27.66,26.61,27.66
2021-04-27 20:00:00,27.43,27.52,27.43,27.49
2021-04-28 00:00:00,27.72,27.72,26.72,27.26
2021-04-28 04:00:00,27.3,27.3,27.05,27.09
2021-04-28 08:00:00,26.9,27.65,26.9,27.54
2021-04-28 12:00:00,28.34,28.78,28.29,28.29
2021-04-28 16:00:00,27.98,27.98,26.63,26.65
2021-04-28 20:00:00,26.75,27.13,26.35,27.13
2021-04-29 00:00:00,27.33,27.48,27.1,27.1
2021-04-29 04:00:00,27.06,28.07,27.06,28.07
2021-04-29 08:00:00,28.84,28.84,27.68,28.01
2021-04-29 12:00:00,28.38,28.38,27.66,27.66
2021-04-29 16:00:00,27.16,27.76,26.99,27.76
2021-04-29 20:00:00,28.07,28.36,27.84,28.33
2021-04-30 00:00:00,28.64,29.38,28.27,28.27
2021-04-30 04:00:00,28.22,28.22,27.16,27.19
2021-04-30 08:00:00,27.37,28.09,27.3,28.09
2021-04-30 12:00:00,28.01,28.32,27.81,28.16
2021-04-30 16:00:00,28.37,29.12,28.37,29.12
2021-04-30 20:00:00,30.06,30.71,30.06,30.35
2021-05-01 00:00:00,30.3,31.95,30.3,31.95
2021-05-01 04:00:00,31.24,32.47,31.24,32.38
2021-05-01 08:00:00,32.43,32.58,31.9,32.58
2021-05-01 12:00:00,32.87,34.01,32.72,34.01
2021-05-01 16:00:00,34.52,35.06,33.97,33.97
2021-05-01 20:00:00,33.73,33.91,33.12,33.91
2021-05-02 00:00:00,34.55,34.55,32.87,32.87
2021-05-02 04:00:00,33.23,33.23,32.76,32.76
2021-05-02 08:00:00,32.33,32.55,32.04,32.19
2021-05-02 12:00:00,32.04,32.41,31.53,32.41
2021-05-02 16:00:00,31.25,31.51,31.01,31.51
2021-05-02 20:00:00,31.37,32.18,31.17,32.18
2021-05-03 00:00:00,32.08,32.08,31.73,31.73
2021-05-03 04:00:00,31.75,32.18,31.75,32.14
2021-05-03 08:00:00,32.19,32.36,31.16,31.16
2021-05-03 12:00:00,31.3,32.55,31.3,32.52
2021-05-03 16:00:00,32.65,32.74,32.46,32.46
2021-05-03 20:00:00,32.87,34.02,32.87,34.02
2021-05-04 00:00:00,33.11,33.11,32.05,32.31
2021-05-04 04:00:00,33.89,35.77,33.89,35.77
2021-05-04 08:00:00,35.75,35.75,34.78,35.35
2021-05-04 12:00:00,35.15,35.15,32.96,32.96
2021-05-04 16:00:00,33.64,34.57,33.64,34.57
2021-05-04 20:00:00,33.21,34.43,33.21,34.43
2021-05-05 00:00:00,33.83,34.19,30.69,30.69
2021-05-05 04:00:00,30.86,32.36,30.66,32.36
2021-05-05 08:00:00,32.05,32.05,30.98,30.98
2021-05-05 12:00:00,30.48,32.25,30.48,31.95
2021-05-05 16:00:00,31.38,31.38,30.77,31.17
2021-05-05 20:00:00,31.9,32.64,31.9,32.64
2021-05-06 00:00:00,32.24,33.68,32.24,33.68
2021-05-06 04:00:00,33.32,34.93,33.32,34.93
2021-05-06 08:00:00,34.7,35.14,34.2,35.14
2021-05-06 12:00:00,35.36,36.08,35.36,35.64
2021-05-06 16:00:00,34.95,37.42,34.95,37.42
2021-05-06 20:00:00,37.4,38.19,37.36,37.36
2021-05-07 00:00:00,37.97,37.97,36.84,36.84
2021-05-07 04:00:00,36.58,38.9,36.23,36.23
2021-05-07 08:00:00,37.17,37.63,36.35,37.42
2021-05-07 12:00:00,38.03,39.14,36.98,36.98
2021-05-07 16:00:00,36.66,38.79,36.66,38.79
2021-05-07 20:00:00,39.19,42.44,39.19,41.79
2021-05-08 00:00:00,42.1,43.55,41.8,41.8
2021-05-08 04:00:00,41.83,41.83,40.47,40.94
2021-05-08 08:00:00,39.73,40.01,37.54,37.54
2021-05-08 12:00:00,38.25,38.42,38.25,38.42
2021-05-08 16:00:00,38.86,38.86,37.9,37.9
2021-05-08 20:00:00,38.42,38.42,37.83,38.23
2021-05-09 00:00:00,38.51,38.94,37.97,38.94
2021-05-09 04:00:00,38.3,39.32,38.3,39.05
2021-05-09 08:00:00,39.1,39.13,38.64,38.64
2021-05-09 12:00:00,38.61,38.61,37.97,37.97
2021-05-09 16:00:00,37.06,37.36,36.88,37.0
2021-05-09 20:00:00,36.64,37.42,36.64,37.29
2021-05-10 00:00:00,36.91,37.05,35.96,37.05
2021-05-10 04:00:00,37.39,38.1,37.24,38.1
2021-05-10 08:00:00,37.72,38.49,37.72,38.49
2021-05-10 12:00:00,39.07,39.14,38.96,38.96
2021-05-10 16:00:00,39.41,41.2,39.41,41.2
2021-05-10 20:00:00,40.49,40.49,38.34,38.34
2021-05-11 00:00:00,38.8,38.8,37.79,38.02
2021-05-11 04:00:00,38.43,38.43,36.39,36.39
2021-05-11 08:00:00,34.97,34.97,34.21,34.96
2021-05-11 12:00:00,34.92,34.92,33.28,33.28
2021-05-11 16:00:00,33.45,35.23,33.36,35.23
2021-05-11 20:00:00,35.1,35.82,34.65,35.82
2021-05-12 00:00:00,34.95,35.48,34.05,35.48
2021-05-12 04:00:00,35.73,35.73,35.34,35.36
2021-05-12 08:00:00,35.35,36.88,35.35,36.88
2021-05-12 12:00:00,37.35,38.41,37.35,38.26
2021-05-12 16:00:00,38.12,38.12,37.74,38.11
