datetime,open,high,low,close
2021-04-18 04:00:00,7.56,7.57,7.56,7.57
2021-04-18 08:00:00,7.59,7.69,7.59,7.62
2021-04-18 12:00:00,7.49,7.49,7.07,7.07
2021-04-18 16:00:00,6.66,6.89,6.66,6.82
2021-04-18 20:00:00,6.98,6.98,6.6,6.66
2021-04-19 00:00:00,6.45,6.76,6.45,6.76
2021-04-19 04:00:00,6.83,6.86,6.82,6.86
2021-04-19 08:00:00,6.9,7.03,6.9,7.03
2021-04-19 12:00:00,7.01,7.13,7.01,7.13
2021-04-19 16:00:00,7.19,7.19,7.06,7.16
2021-04-19 20:00:00,7.14,7.14,6.92,6.92
2021-04-20 00:00:00,6.99,6.99,6.59,6.59
2021-04-20 04:00:00,6.54,6.68,6.54,6.68
2021-04-20 08:00:00,6.73,6.74,6.72,6.72
2021-04-20 12:00:00,6.6,6.6,6.35,6.35
2021-04-20 16:00:00,6.3,6.5,6.3,6.31
2021-04-20 20:00:00,6.26,6.6,6.26,6.6
2021-04-21 00:00:00,6.6,6.64,6.56,6.56
2021-04-21 04:00:00,6.47,6.74,6.47,6.74
2021-04-21 08:00:00,6.79,6.81,6.76,6.76
2021-04-21 12:00:00,6.77,6.79,6.71,6.79
2021-04-21 16:00:00,6.71,6.75,6.67,6.75
2021-04-21 20:00:00,6.68,6.71,6.57,6.57
2021-04-22 00:00:00,6.51,6.86,6.51,6.86
2021-04-22 04:00:00,6.89,6.89,6.83,6.83
2021-04-22 08:00:00,6.86,6.86,6.64,6.64
2021-04-22 12:00:00,6.62,6.73,6.62,6.65
2021-04-22 16:00:00,6.65,6.82,6.65,6.75
2021-04-22 20:00:00,6.7,6.73,6.63,6.7
2021-04-23 00:00:00,6.92,7.0,6.91,7.0
2021-04-23 04:00:00,7.01,7.03,6.81,6.81
2021-04-23 08:00:00,6.77,6.77,6.42,6.42
2021-04-23 12:00:00,6.44,6.44,6.0,6.0
2021-04-23 16:00:00,6.04,6.04,5.89,5.89
2021-04-23 20:00:00,5.78,6.04,5.78,6.04
2021-04-24 00:00:00,6.14,6.14,5.93,6.0
2021-04-24 04:00:00,6.16,6.26,6.16,6.26
2021-04-24 08:00:00,6.26,6.26,6.18,6.18
2021-04-24 12:00:00,6.31,6.31,6.07,6.07
2021-04-24 16:00:00,6.13,6.22,6.13,6.17
2021-04-24 20:00:00,6.09,6.15,5.93,5.93
2021-04-25 00:00:00,5.84,5.94,5.84,5.88
2021-04-25 04:00:00,5.98,6.0,5.93,6.0
2021-04-25 08:00:00,6.0,6.02,5.95,5.95
2021-04-25 12:00:00,5.88,5.93,5.85,5.93
2021-04-25 16:00:00,5.89,5.89,5.83,5.83
2021-04-25 20:00:00,5.86,5.88,5.77,5.84
2021-04-26 00:00:00,5.89,6.02,5.89,6.02
2021-04-26 04:00:00,6.01,6.01,5.87,5.87
2021-04-26 08:00:00,5.83,5.83,5.57,5.7
2021-04-26 12:00:00,5.76,6.13,5.76,6.13
2021-04-26 16:00:00,6.14,6.21,6.13,6.18
2021-04-26 20:00:00,6.16,6.26,6.14,6.26
2021-04-27 00:00:00,6.33,6.33,6.25,6.28
2021-04-27 04:00:00,6.28,6.35,6.27,6.34
2021-04-27 08:00:00,6.33,6.36,6.31,6.36
2021-04-27 12:00:00,6.42,6.46,6.4,6.46
2021-04-27 16:00:00,6.42,6.57,6.42,6.57
2021-04-27 20:00:00,6.52,6.57,6.52,6.57
2021-04-28 00:00:00,6.62,6.62,6.47,6.54
2021-04-28 04:00:00,6.62,6.64,6.62,6.64
2021-04-28 08:00:00,6.6,6.67,6.6,6.63
2021-04-28 12:00:00,6.65,6.79,6.65,6.72
2021-04-28 16:00:00,6.63,6.63,6.45,6.45
2021-04-28 20:00:00,6.53,6.53,6.5,6.5
2021-04-29 00:00:00,6.63,6.66,6.62,6.63
2021-04-29 04:00:00,6.58,6.67,6.58,6.66
2021-04-29 08:00:00,6.7,6.7,6.59,6.62
2021-04-29 12:00:00,6.64,6.64,6.6,6.6
2021-04-29 16:00:00,6.57,6.61,6.51,6.61
2021-04-29 20:00:00,6.65,6.72,6.61,6.72
2021-04-30 00:00:00,6.73,6.75,6.66,6.66
2021-04-30 04:00:00,6.69,6.69,6.49,6.49
2021-04-30 08:00:00,6.53,6.71,6.5,6.71
2021-04-30 12:00:00,6.71,6.71,6.61,6.66
2021-04-30 16:00:00,6.71,6.85,6.71,6.85
2021-04-30 20:00:00,6.84,6.87,6.83,6.83
2021-05-01 00:00:00,6.81,6.98,6.81,6.98
2021-05-01 04:00:00,6.85,6.89,6.85,6.89
2021-05-01 08:00:00,6.92,6.92,6.85,6.85
2021-05-01 12:00:00,6.88,6.97,6.88,6.97
2021-05-01 16:00:00,6.98,6.98,6.96,6.98
2021-05-01 20:00:00,6.95,6.95,6.91,6.95
2021-05-02 00:00:00,6.99,7.01,6.96,6.96
2021-05-02 04:00:00,6.98,7.12,6.98,7.12
2021-05-02 08:00:00,7.07,7.1,7.06,7.09
2021-05-02 12:00:00,7.12,7.12,7.07,7.09
2021-05-02 16:00:00,6.96,6.99,6.93,6.93
2021-05-02 20:00:00,6.92,6.97,6.88,6.97
2021-05-03 00:00:00,6.98,6.99,6.97,6.99
2021-05-03 04:00:00,6.97,7.0,6.96,7.0
2021-05-03 08:00:00,7.03,7.03,6.95,6.95
2021-05-03 12:00:00,6.96,7.11,6.96,7.11
2021-05-03 16:00:00,7.13,7.19,7.13,7.19
2021-05-03 20:00:00,7.27,7.3,7.24,7.24
2021-05-04 00:00:00,7.25,7.25,7.13,7.18
2021-05-04 04:00:00,7.21,7.39,7.21,7.39
2021-05-04 08:00:00,7.36,7.43,7.32,7.43
2021-05-04 12:00:00,7.44,7.44,7.08,7.08
2021-05-04 16:00:00,7.07,7.25,7.07,7.25
2021-05-04 20:00:00,7.18,7.41,7.17,7.41
2021-05-05 00:00:00,7.45,7.45,7.31,7.31
2021-05-05 04:00:00,7.18,7.44,7.02,7.44
2021-05-05 08:00:00,7.38,7.38,7.16,7.16
2021-05-05 12:00:00,7.07,7.37,7.07,7.3
2021-05-05 16:00:00,7.25,7.26,7.22,7.26
2021-05-05 20:00:00,7.37,7.42,7.37,7.42
2021-05-06 00:00:00,7.4,7.52,7.4,7.51
2021-05-06 04:00:00,7.42,7.55,7.42,7.55
2021-05-06 08:00:00,7.59,7.67,7.53,7.67
2021-05-06 12:00:00,7.72,7.72,7.57,7.6
2021-05-06 16:00:00,7.57,7.57,7.43,7.43
2021-05-06 20:00:00,7.5,7.63,7.5,7.63
2021-05-07 00:00:00,7.66,7.66,7.56,7.65
2021-05-07 04:00:00,7.68,7.7,7.5,7.5
2021-05-07 08:00:00,7.5,7.59,7.47,7.59
2021-05-07 12:00:00,7.55,7.58,7.5,7.5
2021-05-07 16:00:00,7.48,7.5,7.4,7.5
2021-05-07 20:00:00,7.49,7.58,7.49,7.58
2021-05-08 00:00:00,7.56,7.68,7.56,7.68
2021-05-08 04:00:00,7.81,7.82,7.78,7.78
2021-05-08 08:00:00,7.71,7.73,7.55,7.55
2021-05-08 12:00:00,7.65,7.71,7.65,7.69
2021-05-08 16:00:00,7.69,7.69,7.62,7.62
2021-05-08 20:00:00,7.7,7.71,7.65,7.65
2021-05-09 00:00:00,7.66,7.77,7.66,7.73
