datetime,open,high,low,close
2021-04-18 04:00:00,108.44,109.0,108.44,109.0
2021-04-18 08:00:00,109.25,110.68,109.01,109.01
2021-04-18 12:00:00,108.47,108.47,102.96,102.96
2021-04-18 16:00:00,95.02,106.54,94.93,97.55
2021-04-18 20:00:00,98.7,98.7,89.24,89.24
2021-04-19 00:00:00,89.11,92.14,89.11,91.19
2021-04-19 04:00:00,92.21,92.21,90.53,91.32
2021-04-19 08:00:00,91.4,95.37,91.4,95.37
2021-04-19 12:00:00,95.34,99.27,95.34,98.27
2021-04-19 16:00:00,98.26,98.71,97.1,98.71
2021-04-19 20:00:00,95.0,95.0,91.96,92.15
2021-04-20 00:00:00,90.65,90.65,86.05,86.72
2021-04-20 04:00:00,87.86,90.29,87.86,90.29
2021-04-20 08:00:00,91.07,91.07,88.53,88.53
2021-04-20 12:00:00,83.03,83.03,79.18,79.18
2021-04-20 16:00:00,88.67,88.67,80.8,84.75
2021-04-20 20:00:00,79.51,92.57,79.51,92.57
2021-04-21 00:00:00,91.47,95.72,91.47,92.26
2021-04-21 04:00:00,94.54,95.32,92.7,95.32
2021-04-21 08:00:00,95.03,95.03,93.95,94.98
2021-04-21 12:00:00,96.84,96.84,94.04,95.04
2021-04-21 16:00:00,93.54,93.85,93.0,93.0
2021-04-21 20:00:00,92.49,92.89,88.92,88.92
2021-04-22 00:00:00,91.21,92.65,91.21,92.65
2021-04-22 04:00:00,92.44,92.66,91.7,92.66
2021-04-22 08:00:00,91.37,91.37,87.06,87.06
2021-04-22 12:00:00,86.97,87.55,82.57,84.9
2021-04-22 16:00:00,86.03,86.03,84.32,84.32
2021-04-22 20:00:00,83.12,86.78,83.12,86.78
2021-04-23 00:00:00,94.49,94.49,85.11,85.11
2021-04-23 04:00:00,87.29,88.82,83.08,83.08
2021-04-23 08:00:00,84.32,84.32,76.69,76.69
2021-04-23 12:00:00,81.55,98.46,81.55,95.13
2021-04-23 16:00:00,95.5,107.03,92.32,107.03
2021-04-23 20:00:00,103.69,103.69,95.44,95.44
2021-04-24 00:00:00,89.62,90.45,86.72,86.72
2021-04-24 04:00:00,82.37,85.83,81.98,82.89
2021-04-24 08:00:00,86.07,88.74,83.45,83.45
2021-04-24 12:00:00,90.13,90.13,81.79,84.55
2021-04-24 16:00:00,84.38,85.32,82.77,84.35
2021-04-24 20:00:00,88.25,88.25,84.92,85.95
2021-04-25 00:00:00,81.44,81.44,79.74,79.8
2021-04-25 04:00:00,80.0,80.03,79.34,79.68
2021-04-25 08:00:00,79.79,80.54,79.79,80.17
2021-04-25 12:00:00,78.72,79.57,78.72,79.26
2021-04-25 16:00:00,78.63,78.66,77.37,77.37
2021-04-25 20:00:00,75.99,78.19,75.99,77.89
2021-04-26 00:00:00,79.26,81.58,78.77,81.58
2021-04-26 04:00:00,81.85,81.85,79.49,80.29
2021-04-26 08:00:00,79.81,82.1,75.13,75.29
2021-04-26 12:00:00,76.76,83.58,76.76,83.58
2021-04-26 16:00:00,82.33,84.38,82.33,84.38
2021-04-26 20:00:00,83.57,84.3,82.67,83.27
2021-04-27 00:00:00,83.91,83.91,82.4,82.4
2021-04-27 04:00:00,82.09,84.19,81.68,83.42
2021-04-27 08:00:00,82.02,90.47,81.28,86.81
2021-04-27 12:00:00,87.36,87.36,86.67,86.67
