datetime,open,high,low,close
2021-04-18 04:00:00,2.26,2.27,2.26,2.27
2021-04-18 08:00:00,2.27,2.3,2.27,2.3
2021-04-18 12:00:00,2.26,2.26,2.08,2.08
2021-04-18 16:00:00,1.97,2.04,1.91,2.02
2021-04-18 20:00:00,2.01,2.01,1.89,1.89
2021-04-19 00:00:00,1.81,1.9,1.81,1.9
2021-04-19 04:00:00,1.93,1.97,1.93,1.97
2021-04-19 08:00:00,2.01,2.02,1.99,1.99
2021-04-19 12:00:00,1.98,2.01,1.98,2.01
2021-04-19 16:00:00,2.06,2.14,2.06,2.14
2021-04-19 20:00:00,2.14,2.34,2.07,2.34
2021-04-20 00:00:00,2.26,2.43,2.25,2.25
2021-04-20 04:00:00,2.18,2.31,2.18,2.31
2021-04-20 08:00:00,2.31,2.41,2.3,2.41
2021-04-20 12:00:00,2.27,2.4,2.27,2.4
2021-04-20 16:00:00,2.54,2.54,2.5,2.52
2021-04-20 20:00:00,2.56,2.62,2.45,2.45
2021-04-21 00:00:00,2.5,2.5,2.32,2.32
2021-04-21 04:00:00,2.33,2.37,2.32,2.34
2021-04-21 08:00:00,2.35,2.38,2.35,2.38
2021-04-21 12:00:00,2.45,2.45,2.33,2.36
2021-04-21 16:00:00,2.34,2.41,2.34,2.41
2021-04-21 20:00:00,2.36,2.37,2.33,2.33
2021-04-22 00:00:00,2.25,2.33,2.25,2.33
2021-04-22 04:00:00,2.35,2.35,2.32,2.33
2021-04-22 08:00:00,2.31,2.31,2.21,2.21
2021-04-22 12:00:00,2.26,2.34,2.19,2.34
2021-04-22 16:00:00,2.22,2.32,2.22,2.32
2021-04-22 20:00:00,2.34,2.4,2.34,2.34
2021-04-23 00:00:00,2.34,2.34,2.3,2.33
2021-04-23 04:00:00,2.35,2.37,2.27,2.27
2021-04-23 08:00:00,2.24,2.24,2.05,2.05
2021-04-23 12:00:00,2.12,2.12,1.78,1.78
2021-04-23 16:00:00,1.92,1.95,1.83,1.95
2021-04-23 20:00:00,1.81,1.86,1.78,1.86
2021-04-24 00:00:00,1.87,1.87,1.8,1.87
2021-04-24 04:00:00,1.88,1.93,1.84,1.93
2021-04-24 08:00:00,1.95,1.95,1.88,1.91
2021-04-24 12:00:00,1.96,1.96,1.81,1.85
2021-04-24 16:00:00,1.86,1.92,1.86,1.88
2021-04-24 20:00:00,1.87,1.87,1.77,1.77
2021-04-25 00:00:00,1.75,1.79,1.75,1.78
2021-04-25 04:00:00,1.82,1.82,1.76,1.79
2021-04-25 08:00:00,1.8,1.81,1.78,1.78
2021-04-25 12:00:00,1.77,1.8,1.77,1.8
2021-04-25 16:00:00,1.78,1.78,1.76,1.76
2021-04-25 20:00:00,1.79,1.85,1.79,1.84
2021-04-26 00:00:00,1.86,1.9,1.86,1.9
2021-04-26 04:00:00,1.89,1.89,1.86,1.86
2021-04-26 08:00:00,1.84,1.91,1.67,1.73
2021-04-26 12:00:00,1.76,1.93,1.76,1.93
2021-04-26 16:00:00,1.95,1.99,1.95,1.99
2021-04-26 20:00:00,1.98,2.03,1.95,1.95
2021-04-27 00:00:00,1.99,2.0,1.97,2.0
