datetime,open,high,low,close
2021-04-18 04:00:00,6.74,6.74,6.68,6.68
2021-04-18 08:00:00,6.7,6.7,6.5,6.5
2021-04-18 12:00:00,6.55,6.55,6.1,6.1
2021-04-18 16:00:00,5.64,5.69,5.53,5.69
2021-04-18 20:00:00,5.74,5.74,5.6,5.61
2021-04-19 00:00:00,5.23,5.42,5.23,5.3
2021-04-19 04:00:00,5.42,5.42,5.33,5.39
2021-04-19 08:00:00,5.41,5.54,5.41,5.46
2021-04-19 12:00:00,5.42,5.65,5.42,5.65
2021-04-19 16:00:00,5.78,5.8,5.7,5.74
2021-04-19 20:00:00,5.68,5.7,5.54,5.54
2021-04-20 00:00:00,5.56,5.77,5.16,5.16
2021-04-20 04:00:00,5.09,5.2,5.09,5.2
2021-04-20 08:00:00,5.29,5.34,5.14,5.14
2021-04-20 12:00:00,5.12,5.16,5.12,5.12
2021-04-20 16:00:00,4.94,4.94,4.73,4.73
2021-04-20 20:00:00,4.76,4.98,4.76,4.98
2021-04-21 00:00:00,4.97,5.06,4.92,4.92
2021-04-21 04:00:00,5.01,5.31,5.01,5.31
2021-04-21 08:00:00,5.43,5.43,5.16,5.16
2021-04-21 12:00:00,5.28,5.59,5.28,5.34
2021-04-21 16:00:00,5.24,5.38,5.22,5.38
2021-04-21 20:00:00,4.97,5.14,4.97,5.09
2021-04-22 00:00:00,5.0,5.29,5.0,5.18
2021-04-22 04:00:00,5.26,5.36,5.26,5.36
2021-04-22 08:00:00,5.33,5.33,4.97,4.97
2021-04-22 12:00:00,4.92,4.92,4.73,4.92
2021-04-22 16:00:00,5.05,5.1,5.05,5.05
2021-04-22 20:00:00,5.0,5.0,4.93,4.96
2021-04-23 00:00:00,4.97,5.12,4.93,5.12
2021-04-23 04:00:00,5.03,5.07,4.68,4.8
2021-04-23 08:00:00,4.67,4.67,4.23,4.23
2021-04-23 12:00:00,4.17,4.17,3.6,3.67
2021-04-23 16:00:00,3.77,3.77,3.44,3.52
2021-04-23 20:00:00,3.46,3.76,3.46,3.76
2021-04-24 00:00:00,3.93,3.93,3.79,3.79
2021-04-24 04:00:00,3.71,3.86,3.71,3.86
2021-04-24 08:00:00,4.05,4.05,3.83,3.92
2021-04-24 12:00:00,4.03,4.03,3.87,3.87
2021-04-24 16:00:00,4.05,4.05,3.96,4.01
2021-04-24 20:00:00,4.14,4.14,3.76,3.76
2021-04-25 00:00:00,3.77,3.89,3.73,3.89
2021-04-25 04:00:00,3.7,3.76,3.7,3.76
2021-04-25 08:00:00,3.73,3.73,3.71,3.71
2021-04-25 12:00:00,3.66,3.66,3.62,3.62
2021-04-25 16:00:00,3.62,3.91,3.62,3.91
2021-04-25 20:00:00,3.63,4.0,3.63,3.87
2021-04-26 00:00:00,3.92,3.95,3.92,3.94
2021-04-26 04:00:00,4.07,4.21,4.07,4.16
2021-04-26 08:00:00,4.13,4.13,3.56,3.74
2021-04-26 12:00:00,3.78,4.05,3.78,3.97
2021-04-26 16:00:00,4.15,4.26,4.14,4.26
2021-04-26 20:00:00,4.34,4.8,4.34,4.63
2021-04-27 00:00:00,4.53,4.66,4.53,4.6
2021-04-27 04:00:00,4.62,4.62,4.4,4.44
2021-04-27 08:00:00,4.43,4.66,4.42,4.42
2021-04-27 12:00:00,4.47,4.64,4.47,4.64
2021-04-27 16:00:00,4.49,4.61,4.49,4.6
2021-04-27 20:00:00,4.55,4.68,4.53,4.68
2021-04-28 00:00:00,4.59,5.27,4.59,5.27
2021-04-28 04:00:00,5.28,5.28,5.09,5.1
2021-04-28 08:00:00,5.39,5.47,5.28,5.36
2021-04-28 12:00:00,5.41,5.56,5.34,5.34
2021-04-28 16:00:00,5.31,5.31,5.01,5.07
2021-04-28 20:00:00,5.15,5.21,5.04,5.21
2021-04-29 00:00:00,6.04,6.31,5.79,6.16
2021-04-29 04:00:00,6.17,6.24,6.01,6.01
2021-04-29 08:00:00,6.29,7.1,6.29,7.1
2021-04-29 12:00:00,7.25,7.25,6.37,6.37
2021-04-29 16:00:00,6.58,8.75,6.58,8.75
2021-04-29 20:00:00,10.03,10.03,8.27,8.27
2021-04-30 00:00:00,8.27,9.18,8.17,8.17
2021-04-30 04:00:00,8.03,8.03,7.47,7.48
2021-04-30 08:00:00,7.52,8.81,7.52,7.9
2021-04-30 12:00:00,7.68,7.68,7.35,7.35
2021-04-30 16:00:00,7.27,8.98,7.08,7.96
2021-04-30 20:00:00,7.82,12.11,7.82,12.11
2021-05-01 00:00:00,11.79,12.64,11.79,12.64
2021-05-01 04:00:00,12.15,12.15,11.32,11.58
2021-05-01 08:00:00,11.4,11.4,10.12,10.12
2021-05-01 12:00:00,9.68,11.74,9.68,11.72
2021-05-01 16:00:00,11.67,11.92,11.41,11.92
2021-05-01 20:00:00,11.92,13.06,11.92,13.06
2021-05-02 00:00:00,12.92,12.92,11.66,11.66
2021-05-02 04:00:00,12.81,12.81,12.24,12.24
2021-05-02 08:00:00,12.09,12.91,11.99,12.91
2021-05-02 12:00:00,12.19,13.16,12.19,13.0
2021-05-02 16:00:00,12.46,14.51,12.46,14.51
2021-05-02 20:00:00,14.75,14.75,13.82,13.82
2021-05-03 00:00:00,14.05,16.71,14.05,16.71
2021-05-03 04:00:00,16.86,19.27,16.86,19.09
2021-05-03 08:00:00,18.81,21.15,18.81,20.1
2021-05-03 12:00:00,22.74,26.57,22.74,26.57
2021-05-03 16:00:00,25.2,25.2,23.65,23.65
2021-05-03 20:00:00,24.9,24.9,24.25,24.6
2021-05-04 00:00:00,24.18,24.18,22.64,22.64
2021-05-04 04:00:00,21.49,22.02,20.2,20.2
2021-05-04 08:00:00,20.45,21.21,20.09,20.09
2021-05-04 12:00:00,18.84,19.39,17.95,19.05
2021-05-04 16:00:00,19.07,20.96,19.07,20.51
2021-05-04 20:00:00,19.74,20.18,19.44,20.18
