datetime,open,high,low,close
2021-04-18 04:00:00,6.68,6.68,6.56,6.56
2021-04-18 08:00:00,6.57,6.57,6.49,6.49
2021-04-18 12:00:00,6.5,6.53,6.48,6.48
2021-04-18 16:00:00,6.4,6.4,6.27,6.3
2021-04-18 20:00:00,6.26,6.36,6.22,6.31
2021-04-19 00:00:00,6.35,6.35,6.19,6.23
2021-04-19 04:00:00,6.3,6.32,6.25,6.25
2021-04-19 08:00:00,6.29,6.35,6.29,6.35
2021-04-19 12:00:00,6.36,6.36,6.32,6.32
2021-04-19 16:00:00,6.36,6.4,6.34,6.4
2021-04-19 20:00:00,6.43,6.45,6.2,6.2
2021-04-20 00:00:00,6.19,6.19,6.05,6.05
2021-04-20 04:00:00,6.1,6.19,6.07,6.19
2021-04-20 08:00:00,6.28,6.3,6.28,6.3
2021-04-20 12:00:00,6.08,6.17,6.08,6.12
2021-04-20 16:00:00,6.14,6.17,5.99,5.99
2021-04-20 20:00:00,5.86,6.21,5.86,6.21
2021-04-21 00:00:00,6.19,6.19,6.01,6.01
2021-04-21 04:00:00,5.99,6.2,5.99,6.2
2021-04-21 08:00:00,6.19,6.21,6.18,6.18
2021-04-21 12:00:00,6.21,6.21,6.16,6.18
2021-04-21 16:00:00,6.13,6.18,6.13,6.17
2021-04-21 20:00:00,6.13,6.13,6.0,6.0
2021-04-22 00:00:00,5.98,6.17,5.98,6.17
2021-04-22 04:00:00,6.21,6.23,6.18,6.23
2021-04-22 08:00:00,6.25,6.29,6.18,6.18
2021-04-22 12:00:00,6.14,6.3,6.14,6.3
2021-04-22 16:00:00,6.28,6.36,6.27,6.29
2021-04-22 20:00:00,6.24,6.29,6.23,6.29
2021-04-23 00:00:00,6.23,6.26,6.21,6.26
2021-04-23 04:00:00,6.3,6.3,6.02,6.02
2021-04-23 08:00:00,5.99,6.02,5.7,6.02
2021-04-23 12:00:00,5.93,5.96,5.7,5.96
2021-04-23 16:00:00,5.86,5.86,5.53,5.54
2021-04-23 20:00:00,5.58,5.84,5.58,5.84
2021-04-24 00:00:00,5.84,5.89,5.84,5.87
2021-04-24 04:00:00,5.9,6.14,5.85,6.14
2021-04-24 08:00:00,6.51,6.76,6.51,6.76
2021-04-24 12:00:00,6.77,6.78,6.68,6.78
2021-04-24 16:00:00,6.81,6.83,6.76,6.76
2021-04-24 20:00:00,6.77,6.77,6.57,6.57
2021-04-25 00:00:00,6.32,6.32,6.14,6.2
2021-04-25 04:00:00,6.25,6.38,6.1,6.38
2021-04-25 08:00:00,6.35,6.41,6.31,6.31
2021-04-25 12:00:00,6.16,6.17,6.11,6.17
2021-04-25 16:00:00,6.07,6.07,6.02,6.02
2021-04-25 20:00:00,6.05,6.1,6.05,6.06
2021-04-26 00:00:00,6.07,6.08,6.07,6.08
2021-04-26 04:00:00,6.08,6.08,5.99,5.99
2021-04-26 08:00:00,5.88,5.88,5.57,5.73
2021-04-26 12:00:00,5.79,6.08,5.79,6.08
2021-04-26 16:00:00,6.16,6.24,6.16,6.23
2021-04-26 20:00:00,6.19,6.24,6.19,6.24
2021-04-27 00:00:00,6.31,6.31,6.13,6.13
2021-04-27 04:00:00,6.22,6.25,6.2,6.2
2021-04-27 08:00:00,6.15,6.22,6.07,6.22
2021-04-27 12:00:00,6.2,6.22,6.12,6.12
2021-04-27 16:00:00,6.11,6.23,6.11,6.23
2021-04-27 20:00:00,6.13,6.14,6.1,6.1
2021-04-28 00:00:00,6.11,6.22,6.05,6.22
2021-04-28 04:00:00,6.24,6.24,6.2,6.2
2021-04-28 08:00:00,6.19,6.25,6.19,6.19
2021-04-28 12:00:00,6.25,6.3,6.21,6.21
2021-04-28 16:00:00,6.15,6.15,6.09,6.09
2021-04-28 20:00:00,6.13,6.19,6.13,6.19
2021-04-29 00:00:00,6.18,6.18,6.12,6.12
2021-04-29 04:00:00,6.02,6.08,6.02,6.05
2021-04-29 08:00:00,6.04,6.04,5.99,6.0
2021-04-29 12:00:00,6.06,6.06,5.98,5.98
2021-04-29 16:00:00,5.93,6.03,5.91,6.03
2021-04-29 20:00:00,5.92,5.92,5.85,5.85
2021-04-30 00:00:00,5.91,5.91,5.84,5.84
2021-04-30 04:00:00,5.8,5.8,5.73,5.74
2021-04-30 08:00:00,5.75,5.78,5.72,5.78
2021-04-30 12:00:00,5.72,5.73,5.69,5.72
2021-04-30 16:00:00,5.76,5.81,5.76,5.8
2021-04-30 20:00:00,5.76,5.78,5.73,5.73
2021-05-01 00:00:00,5.75,5.76,5.71,5.73
2021-05-01 04:00:00,5.78,5.88,5.78,5.88
2021-05-01 08:00:00,5.83,5.86,5.8,5.86
2021-05-01 12:00:00,5.94,6.22,5.94,6.22
2021-05-01 16:00:00,6.27,6.28,6.27,6.28
2021-05-01 20:00:00,6.29,6.29,6.2,6.28
2021-05-02 00:00:00,6.29,6.29,6.22,6.27
2021-05-02 04:00:00,6.25,6.3,6.25,6.29
2021-05-02 08:00:00,6.28,6.28,6.2,6.21
2021-05-02 12:00:00,6.24,6.24,6.2,6.22
2021-05-02 16:00:00,6.1,6.12,6.1,6.1
2021-05-02 20:00:00,6.09,6.34,6.09,6.34
2021-05-03 00:00:00,6.29,6.29,6.24,6.24
2021-05-03 04:00:00,6.23,6.23,6.14,6.14
2021-05-03 08:00:00,6.15,6.15,6.1,6.1
2021-05-03 12:00:00,6.19,6.39,6.18,6.39
2021-05-03 16:00:00,6.37,6.47,6.37,6.47
2021-05-03 20:00:00,6.51,6.54,6.45,6.54
2021-05-04 00:00:00,6.49,6.55,6.31,6.31
2021-05-04 04:00:00,6.26,6.29,6.22,6.22
2021-05-04 08:00:00,6.23,6.35,6.2,6.35
2021-05-04 12:00:00,6.4,6.4,6.26,6.26
2021-05-04 16:00:00,6.29,6.33,6.29,6.33
2021-05-04 20:00:00,6.24,6.34,6.24,6.34
2021-05-05 00:00:00,6.27,6.3,6.14,6.14
2021-05-05 04:00:00,6.01,6.17,6.01,6.17
2021-05-05 08:00:00,6.17,6.17,6.04,6.04
2021-05-05 12:00:00,6.04,6.13,5.98,5.98
2021-05-05 16:00:00,5.96,5.96,5.83,5.84
2021-05-05 20:00:00,5.78,5.97,5.78,5.97
2021-05-06 00:00:00,5.97,6.11,5.97,6.06
2021-05-06 04:00:00,6.05,6.06,6.0,6.06
2021-05-06 08:00:00,6.08,6.4,6.08,6.4
2021-05-06 12:00:00,6.4,6.4,6.35,6.35
2021-05-06 16:00:00,6.37,6.37,6.18,6.18
2021-05-06 20:00:00,6.23,6.48,6.23,6.48
2021-05-07 00:00:00,6.49,6.49,6.37,6.46
2021-05-07 04:00:00,6.48,6.49,6.3,6.3
2021-05-07 08:00:00,6.4,6.45,6.38,6.45
2021-05-07 12:00:00,6.41,6.41,6.32,6.32
2021-05-07 16:00:00,6.36,6.36,6.29,6.29
2021-05-07 20:00:00,6.29,6.38,6.29,6.38
2021-05-08 00:00:00,6.38,6.45,6.38,6.45
2021-05-08 04:00:00,6.49,6.71,6.49,6.71
2021-05-08 08:00:00,6.71,6.73,6.71,6.73
2021-05-08 12:00:00,6.74,6.82,6.74,6.78
2021-05-08 16:00:00,6.69,6.7,6.66,6.66
2021-05-08 20:00:00,6.65,6.68,6.61,6.61
2021-05-09 00:00:00,6.6,6.77,6.6,6.77
2021-05-09 04:00:00,6.83,6.99,6.83,6.99
2021-05-09 08:00:00,7.02,7.06,7.02,7.06
2021-05-09 12:00:00,7.12,7.16,7.09,7.16
2021-05-09 16:00:00,7.13,7.21,7.06,7.21
2021-05-09 20:00:00,7.11,7.14,7.06,7.14
2021-05-10 00:00:00,7.16,7.16,6.92,7.06
