DateTime,Open,High,Low,Close
2021-04-18 20:00:00,34.27,34.32,34.27,34.32
2021-04-19 00:00:00,33.01,36.51,33.01,36.51
2021-04-19 04:00:00,37.42,38.01,37.03,38.01
2021-04-19 08:00:00,38.33,39.21,38.33,39.21
2021-04-19 12:00:00,38.8,41.3,38.8,41.3
2021-04-19 16:00:00,41.26,41.26,40.38,40.95
2021-04-19 20:00:00,40.59,40.59,38.69,38.69
2021-04-20 00:00:00,39.68,39.68,36.21,36.21
2021-04-20 04:00:00,35.59,37.2,35.59,36.82
2021-04-20 08:00:00,37.48,37.48,36.68,36.68
2021-04-20 12:00:00,36.0,36.0,34.24,34.75
2021-04-20 16:00:00,35.82,36.47,34.5,34.5
2021-04-20 20:00:00,34.74,37.63,34.74,37.63
2021-04-21 00:00:00,37.74,37.81,36.84,36.84
2021-04-21 04:00:00,36.23,38.35,36.23,38.35
2021-04-21 08:00:00,38.94,38.94,38.37,38.37
2021-04-21 12:00:00,38.98,38.98,38.06,38.7
2021-04-21 16:00:00,37.64,38.11,37.64,38.05
2021-04-21 20:00:00,37.42,37.57,36.5,36.5
2021-04-22 00:00:00,36.3,38.26,36.3,38.26
2021-04-22 04:00:00,38.56,38.56,37.78,37.78
2021-04-22 08:00:00,38.09,38.09,36.56,36.56
2021-04-22 12:00:00,36.46,36.91,36.46,36.54
2021-04-22 16:00:00,36.49,37.26,36.49,37.1
2021-04-22 20:00:00,36.95,37.02,36.11,37.02
2021-04-23 00:00:00,38.35,40.28,38.35,40.28
2021-04-23 04:00:00,40.56,40.56,38.75,38.9
2021-04-23 08:00:00,38.36,38.36,35.75,36.01
2021-04-23 12:00:00,35.46,35.46,32.5,32.5
2021-04-23 16:00:00,33.27,33.27,32.03,32.03
2021-04-23 20:00:00,30.97,33.04,30.97,33.04
2021-04-24 00:00:00,33.5,33.5,32.07,33.3
2021-04-24 04:00:00,33.77,34.56,33.77,34.56
2021-04-24 08:00:00,34.55,34.55,33.75,34.02
2021-04-24 12:00:00,35.17,35.17,33.52,33.67
2021-04-24 16:00:00,33.77,34.17,33.66,33.66
2021-04-24 20:00:00,33.63,33.89,32.36,32.36
2021-04-25 00:00:00,31.67,32.41,31.67,31.93
2021-04-25 04:00:00,32.67,32.67,31.88,32.31
2021-04-25 08:00:00,32.17,32.57,31.79,31.79
2021-04-25 12:00:00,31.18,31.89,31.15,31.89
2021-04-25 16:00:00,31.2,31.2,30.75,30.75
2021-04-25 20:00:00,31.05,32.0,31.05,31.73
2021-04-26 00:00:00,31.95,32.99,31.95,32.99
2021-04-26 04:00:00,33.11,33.11,32.24,32.24
2021-04-26 08:00:00,31.77,31.77,30.43,31.28
2021-04-26 12:00:00,31.65,34.01,31.65,33.77
2021-04-26 16:00:00,33.98,34.68,33.98,34.68
2021-04-26 20:00:00,34.3,35.0,34.09,34.78
2021-04-27 00:00:00,35.14,35.14,34.43,34.46
2021-04-27 04:00:00,34.63,35.1,34.53,34.95
2021-04-27 08:00:00,34.62,34.62,33.85,34.31
2021-04-27 12:00:00,35.11,35.27,34.79,35.27
2021-04-27 16:00:00,35.02,36.24,35.02,36.24
2021-04-27 20:00:00,35.97,36.46,35.86,36.46
2021-04-28 00:00:00,36.82,36.82,35.4,36.33
2021-04-28 04:00:00,36.79,36.96,36.63,36.84
2021-04-28 08:00:00,36.51,36.95,36.43,36.43
2021-04-28 12:00:00,36.68,37.61,36.68,37.1
2021-04-28 16:00:00,36.27,36.51,35.24,35.24
2021-04-28 20:00:00,35.67,35.72,35.47,35.72
2021-04-29 00:00:00,36.31,36.36,36.07,36.07
2021-04-29 04:00:00,35.59,36.12,35.59,36.12
2021-04-29 08:00:00,36.42,36.42,35.75,35.83
2021-04-29 12:00:00,36.22,36.22,35.73,35.77
2021-04-29 16:00:00,35.51,35.7,35.22,35.7
2021-04-29 20:00:00,35.95,36.61,35.86,36.61
2021-04-30 00:00:00,36.84,37.25,36.45,36.45
2021-04-30 04:00:00,36.61,36.61,35.55,35.55
2021-04-30 08:00:00,35.68,36.33,35.49,36.33
2021-04-30 12:00:00,36.36,36.42,35.87,36.42
2021-04-30 16:00:00,36.47,37.69,36.47,37.69
2021-04-30 20:00:00,37.44,37.95,37.44,37.95
2021-05-01 00:00:00,37.76,39.1,37.76,39.1
2021-05-01 04:00:00,38.27,38.33,38.16,38.26
2021-05-01 08:00:00,38.4,38.4,37.67,37.67
2021-05-01 12:00:00,38.12,38.57,38.04,38.57
2021-05-01 16:00:00,38.66,38.66,38.48,38.5
2021-05-01 20:00:00,38.32,38.32,37.99,38.13
2021-05-02 00:00:00,38.81,38.89,38.75,38.79
2021-05-02 04:00:00,39.01,40.55,39.01,40.55
2021-05-02 08:00:00,40.86,40.88,40.42,40.84
2021-05-02 12:00:00,41.03,41.03,40.57,41.02
2021-05-02 16:00:00,39.66,40.38,39.66,39.96
2021-05-02 20:00:00,39.37,39.84,39.07,39.84
2021-05-03 00:00:00,39.75,39.75,39.45,39.47
2021-05-03 04:00:00,39.37,39.73,39.37,39.73
2021-05-03 08:00:00,40.07,40.1,39.31,39.31
2021-05-03 12:00:00,39.47,40.11,39.47,40.06
2021-05-03 16:00:00,39.99,40.41,39.99,40.33
2021-05-03 20:00:00,40.84,40.93,40.48,40.48
2021-05-04 00:00:00,40.69,40.69,39.67,40.17
