datetime,open,high,low,close
2021-04-18 04:00:00,47.27,47.49,47.27,47.49
2021-04-18 08:00:00,47.62,47.89,47.02,47.02
2021-04-18 12:00:00,45.89,46.07,44.32,44.32
2021-04-18 16:00:00,43.58,44.62,43.55,44.62
2021-04-18 20:00:00,43.91,43.91,42.2,42.2
2021-04-19 00:00:00,41.83,43.01,41.83,43.01
2021-04-19 04:00:00,43.76,43.98,43.09,43.98
2021-04-19 08:00:00,44.23,44.97,44.23,44.97
2021-04-19 12:00:00,44.82,45.35,44.82,45.35
2021-04-19 16:00:00,45.45,45.45,44.97,45.34
2021-04-19 20:00:00,45.27,45.27,44.44,44.73
2021-04-20 00:00:00,44.59,44.59,42.72,42.72
2021-04-20 04:00:00,42.66,43.37,42.66,43.37
2021-04-20 08:00:00,44.08,44.16,43.52,43.52
2021-04-20 12:00:00,42.61,42.61,41.49,42.05
2021-04-20 16:00:00,42.76,42.76,42.07,42.07
2021-04-20 20:00:00,42.69,43.66,42.69,43.66
2021-04-21 00:00:00,43.61,44.24,43.28,43.28
2021-04-21 04:00:00,44.35,46.08,44.35,46.08
2021-04-21 08:00:00,46.45,46.67,46.45,46.64
2021-04-21 12:00:00,47.19,47.19,46.36,46.46
2021-04-21 16:00:00,46.07,46.46,46.07,46.16
2021-04-21 20:00:00,45.74,46.2,45.36,45.36
2021-04-22 00:00:00,46.5,48.46,46.5,48.46
2021-04-22 04:00:00,48.93,48.93,48.46,48.83
2021-04-22 08:00:00,48.31,48.31,47.09,47.09
2021-04-22 12:00:00,47.59,48.86,47.59,48.55
2021-04-22 16:00:00,48.44,49.8,48.44,49.45
2021-04-22 20:00:00,49.04,50.68,49.04,50.68
2021-04-23 00:00:00,51.82,51.83,51.36,51.83
2021-04-23 04:00:00,52.61,52.61,50.39,50.39
2021-04-23 08:00:00,49.46,49.46,48.37,48.84
2021-04-23 12:00:00,48.72,48.72,44.02,45.43
2021-04-23 16:00:00,45.31,45.31,43.84,44.57
2021-04-23 20:00:00,43.43,45.85,43.43,45.85
2021-04-24 00:00:00,45.82,45.83,44.71,45.83
2021-04-24 04:00:00,47.12,47.3,46.27,47.3
2021-04-24 08:00:00,47.51,47.51,46.38,46.71
2021-04-24 12:00:00,47.46,47.46,45.53,45.66
2021-04-24 16:00:00,46.06,46.45,45.76,45.76
2021-04-24 20:00:00,45.61,45.68,44.07,44.07
2021-04-25 00:00:00,43.71,44.75,43.71,44.17
2021-04-25 04:00:00,44.97,45.51,44.87,45.51
2021-04-25 08:00:00,45.56,45.95,45.06,45.06
2021-04-25 12:00:00,44.63,44.96,44.53,44.96
2021-04-25 16:00:00,44.15,44.19,43.73,43.73
2021-04-25 20:00:00,43.94,45.28,43.94,45.28
2021-04-26 00:00:00,45.93,47.03,45.93,47.03
2021-04-26 04:00:00,46.83,46.83,46.28,46.28
2021-04-26 08:00:00,45.87,45.87,44.62,45.81
2021-04-26 12:00:00,47.91,49.01,47.91,49.01
2021-04-26 16:00:00,49.39,49.65,49.02,49.06
