datetime,open,high,low,close
2021-04-18 04:00:00,543.34,546.66,543.34,546.66
2021-04-18 08:00:00,548.29,554.19,548.29,554.19
2021-04-18 12:00:00,536.81,536.81,488.97,488.97
2021-04-18 16:00:00,457.65,486.83,457.65,480.77
2021-04-18 20:00:00,489.33,489.33,456.99,466.92
2021-04-19 00:00:00,442.21,473.47,442.21,473.47
2021-04-19 04:00:00,483.16,483.72,477.5,483.72
2021-04-19 08:00:00,486.63,492.67,484.25,486.42
2021-04-19 12:00:00,486.19,503.6,486.19,503.6
2021-04-19 16:00:00,510.17,512.77,501.86,512.77
2021-04-19 20:00:00,508.38,508.38,478.23,478.23
2021-04-20 00:00:00,483.58,483.58,455.59,455.59
2021-04-20 04:00:00,448.0,459.16,438.28,459.16
2021-04-20 08:00:00,468.85,490.09,468.85,490.09
2021-04-20 12:00:00,475.66,475.66,434.98,436.18
2021-04-20 16:00:00,446.46,453.02,428.16,428.16
2021-04-20 20:00:00,429.54,464.25,429.54,464.25
2021-04-21 00:00:00,475.48,479.58,470.75,470.75
2021-04-21 04:00:00,478.68,496.14,478.68,491.96
2021-04-21 08:00:00,492.19,492.19,480.46,480.87
2021-04-21 12:00:00,483.5,483.5,479.85,483.38
2021-04-21 16:00:00,484.08,487.32,480.9,485.41
2021-04-21 20:00:00,474.8,475.72,459.99,459.99
2021-04-22 00:00:00,448.22,485.68,448.22,485.68
2021-04-22 04:00:00,495.38,501.5,495.38,498.93
2021-04-22 08:00:00,505.88,505.88,489.99,489.99
2021-04-22 12:00:00,492.88,532.92,492.88,532.92
2021-04-22 16:00:00,530.82,545.72,530.82,542.55
2021-04-22 20:00:00,541.86,562.89,537.2,562.89
2021-04-23 00:00:00,586.39,586.78,565.83,586.78
2021-04-23 04:00:00,571.29,571.29,556.8,569.73
2021-04-23 08:00:00,587.83,587.83,537.64,538.43
2021-04-23 12:00:00,535.6,535.6,489.92,489.92
2021-04-23 16:00:00,505.22,505.22,466.9,466.9
2021-04-23 20:00:00,451.8,535.06,451.8,535.06
2021-04-24 00:00:00,540.59,571.43,523.32,571.43
2021-04-24 04:00:00,636.29,637.7,619.47,637.7
2021-04-24 08:00:00,626.24,626.24,601.51,610.14
2021-04-24 12:00:00,622.21,630.35,612.48,612.48
2021-04-24 16:00:00,591.71,595.23,578.77,578.77
2021-04-24 20:00:00,580.93,580.93,553.28,553.28
2021-04-25 00:00:00,545.99,563.84,545.99,556.24
2021-04-25 04:00:00,568.93,568.93,555.13,564.06
2021-04-25 08:00:00,566.14,585.11,566.14,577.52
2021-04-25 12:00:00,569.39,569.39,550.99,569.26
2021-04-25 16:00:00,550.04,550.04,535.56,535.56
2021-04-25 20:00:00,542.33,557.5,542.33,553.56
2021-04-26 00:00:00,576.55,587.41,570.48,587.41
2021-04-26 04:00:00,586.04,586.04,558.4,558.4
2021-04-26 08:00:00,550.05,550.13,532.69,550.13
2021-04-26 12:00:00,550.69,593.03,550.69,593.03
2021-04-26 16:00:00,591.52,617.33,591.52,617.33
2021-04-26 20:00:00,622.4,640.46,618.36,640.46
2021-04-27 00:00:00,648.61,648.61,624.13,624.13
2021-04-27 04:00:00,623.46,657.03,622.94,657.03
2021-04-27 08:00:00,653.36,653.93,635.53,635.53
2021-04-27 12:00:00,644.08,659.56,644.08,659.56
2021-04-27 16:00:00,660.2,683.84,660.2,683.84
2021-04-27 20:00:00,674.2,681.12,673.23,673.23
2021-04-28 00:00:00,671.35,671.35,647.5,653.77
2021-04-28 04:00:00,651.62,651.62,642.34,642.34
2021-04-28 08:00:00,641.7,653.73,641.7,645.4
2021-04-28 12:00:00,652.54,652.76,645.42,645.42
2021-04-28 16:00:00,632.63,632.63,613.07,613.07
2021-04-28 20:00:00,626.27,639.18,626.27,639.18
2021-04-29 00:00:00,644.15,653.18,640.22,648.41
2021-04-29 04:00:00,636.77,675.74,636.77,675.74
2021-04-29 08:00:00,668.92,668.92,642.59,642.59
2021-04-29 12:00:00,647.62,647.62,635.29,635.29
2021-04-29 16:00:00,638.84,650.0,638.84,650.0
2021-04-29 20:00:00,654.02,667.33,649.23,667.33
2021-04-30 00:00:00,672.74,672.74,665.46,665.46
2021-04-30 04:00:00,676.01,676.01,643.74,645.49
2021-04-30 08:00:00,651.99,653.0,642.48,653.0
2021-04-30 12:00:00,643.83,647.21,643.83,644.8
2021-04-30 16:00:00,641.09,649.4,641.09,649.34
2021-04-30 20:00:00,651.09,671.09,651.09,671.09
2021-05-01 00:00:00,687.25,717.41,687.25,717.41
2021-05-01 04:00:00,711.12,721.9,711.12,721.9
2021-05-01 08:00:00,721.99,738.61,721.99,738.28
2021-05-01 12:00:00,743.23,743.23,733.33,736.56
