datetime,open,high,low,close
2021-04-18 04:00:00,375.61,375.61,371.61,371.61
2021-04-18 08:00:00,370.76,377.02,361.63,361.63
2021-04-18 12:00:00,347.19,347.19,324.36,324.36
2021-04-18 16:00:00,297.02,308.53,297.02,301.15
2021-04-18 20:00:00,309.28,309.28,284.83,290.04
2021-04-19 00:00:00,273.31,297.54,273.31,297.54
2021-04-19 04:00:00,312.97,312.97,301.58,301.58
2021-04-19 08:00:00,306.93,314.69,306.93,314.69
2021-04-19 12:00:00,313.59,319.96,313.59,319.96
2021-04-19 16:00:00,325.07,325.07,315.41,322.67
2021-04-19 20:00:00,318.16,318.16,296.27,296.27
2021-04-20 00:00:00,303.43,303.43,281.44,281.44
2021-04-20 04:00:00,281.28,303.24,281.28,303.24
2021-04-20 08:00:00,304.3,305.18,297.71,297.71
2021-04-20 12:00:00,293.41,293.41,280.52,280.7
2021-04-20 16:00:00,298.79,304.49,284.88,284.88
2021-04-20 20:00:00,296.03,307.34,296.03,307.34
2021-04-21 00:00:00,305.81,313.71,302.95,302.95
2021-04-21 04:00:00,302.6,327.15,302.6,322.81
2021-04-21 08:00:00,327.38,327.38,316.33,316.33
2021-04-21 12:00:00,317.77,322.46,317.77,322.46
2021-04-21 16:00:00,315.85,324.98,315.85,324.98
2021-04-21 20:00:00,320.98,323.42,307.71,307.71
2021-04-22 00:00:00,302.82,316.52,302.82,316.52
2021-04-22 04:00:00,322.14,322.14,308.66,308.66
2021-04-22 08:00:00,313.37,313.37,295.92,295.92
2021-04-22 12:00:00,296.12,298.58,296.12,298.51
2021-04-22 16:00:00,300.24,303.84,300.24,302.83
2021-04-22 20:00:00,298.9,300.3,291.97,299.22
2021-04-23 00:00:00,307.07,308.32,301.67,306.9
2021-04-23 04:00:00,307.54,310.65,297.13,297.33
2021-04-23 08:00:00,295.91,295.91,278.68,278.68
2021-04-23 12:00:00,277.85,277.85,259.96,259.96
2021-04-23 16:00:00,263.96,263.96,248.71,248.71
2021-04-23 20:00:00,243.59,257.33,243.59,257.33
2021-04-24 00:00:00,258.9,258.9,250.25,258.38
2021-04-24 04:00:00,257.25,261.93,255.73,261.93
2021-04-24 08:00:00,262.51,262.51,255.19,257.21
2021-04-24 12:00:00,263.24,263.24,249.22,256.3
2021-04-24 16:00:00,256.21,258.79,253.96,253.96
2021-04-24 20:00:00,254.4,254.4,241.85,241.85
2021-04-25 00:00:00,242.0,248.01,242.0,244.2
2021-04-25 04:00:00,249.7,249.7,245.51,246.37
2021-04-25 08:00:00,245.48,250.3,245.48,249.78
2021-04-25 12:00:00,245.7,262.37,245.7,260.89
2021-04-25 16:00:00,253.84,255.16,252.22,252.22
2021-04-25 20:00:00,254.65,262.92,254.65,262.02
2021-04-26 00:00:00,262.05,267.17,262.05,267.17
2021-04-26 04:00:00,267.69,267.69,255.0,255.0
2021-04-26 08:00:00,251.08,251.08,235.47,243.42
2021-04-26 12:00:00,246.79,264.69,246.79,264.69
2021-04-26 16:00:00,266.68,273.96,264.94,273.96
2021-04-26 20:00:00,271.85,272.97,268.66,271.03
2021-04-27 00:00:00,275.51,275.51,271.1,272.3
2021-04-27 04:00:00,273.2,278.14,269.35,278.14
2021-04-27 08:00:00,277.12,277.12,272.19,274.58
2021-04-27 12:00:00,278.51,287.75,277.84,287.75
2021-04-27 16:00:00,284.33,290.04,284.33,290.04
2021-04-27 20:00:00,287.12,290.31,285.05,290.31
2021-04-28 00:00:00,289.64,289.64,278.28,284.8
2021-04-28 04:00:00,288.57,288.57,283.3,283.8
2021-04-28 08:00:00,283.46,290.53,283.46,289.04
2021-04-28 12:00:00,291.1,297.0,291.1,293.53
2021-04-28 16:00:00,286.32,288.65,280.85,280.85
2021-04-28 20:00:00,284.73,284.73,282.51,282.51
2021-04-29 00:00:00,285.75,291.7,285.75,290.22
2021-04-29 04:00:00,286.22,287.47,286.22,286.3
2021-04-29 08:00:00,287.36,287.36,284.15,284.15
2021-04-29 12:00:00,288.82,288.82,280.68,280.68
2021-04-29 16:00:00,279.14,283.63,279.14,283.63
2021-04-29 20:00:00,282.8,287.21,281.61,287.21
2021-04-30 00:00:00,285.61,285.64,282.68,282.84
2021-04-30 04:00:00,282.88,282.88,276.73,280.94
2021-04-30 08:00:00,280.71,281.95,277.63,281.95
2021-04-30 12:00:00,285.94,295.74,285.44,295.74
2021-04-30 16:00:00,295.45,300.09,294.4,300.09
2021-04-30 20:00:00,299.81,311.74,299.81,311.74
2021-05-01 00:00:00,315.09,320.48,315.09,320.48
2021-05-01 04:00:00,313.53,324.1,313.53,324.1
2021-05-01 08:00:00,319.97,321.43,318.03,319.31
2021-05-01 12:00:00,319.63,324.05,319.63,322.91
2021-05-01 16:00:00,323.47,323.47,319.02,319.02
2021-05-01 20:00:00,318.82,318.82,313.15,314.61
2021-05-02 00:00:00,318.3,318.3,310.36,310.36
2021-05-02 04:00:00,313.89,315.02,313.03,315.02
2021-05-02 08:00:00,319.35,322.19,316.72,322.19
2021-05-02 12:00:00,323.15,323.15,315.66,316.53
2021-05-02 16:00:00,310.46,312.48,310.46,312.3
2021-05-02 20:00:00,310.23,313.74,308.68,313.74
2021-05-03 00:00:00,314.12,314.54,312.54,312.6
2021-05-03 04:00:00,311.48,317.76,311.48,317.76
2021-05-03 08:00:00,316.87,320.79,313.5,313.5
2021-05-03 12:00:00,315.18,322.65,315.18,322.65
2021-05-03 16:00:00,320.48,320.59,318.53,320.59
2021-05-03 20:00:00,324.83,324.83,318.76,320.45
2021-05-04 00:00:00,336.32,336.65,328.71,332.23
2021-05-04 04:00:00,332.81,336.28,332.81,333.72
2021-05-04 08:00:00,337.12,337.6,331.67,337.6
2021-05-04 12:00:00,339.39,339.39,320.67,320.67
2021-05-04 16:00:00,318.54,328.45,318.54,328.45
2021-05-04 20:00:00,324.07,362.16,321.36,362.16
2021-05-05 00:00:00,356.73,374.26,350.85,350.85
2021-05-05 04:00:00,351.03,364.64,341.86,364.64
2021-05-05 08:00:00,361.5,375.08,361.5,365.41
2021-05-05 12:00:00,360.62,398.89,360.62,398.89
2021-05-05 16:00:00,391.18,391.18,386.01,386.01
2021-05-05 20:00:00,385.35,393.14,384.91,393.14
2021-05-06 00:00:00,399.63,414.86,399.63,405.86
2021-05-06 04:00:00,407.34,407.34,401.7,405.73
2021-05-06 08:00:00,401.67,402.53,398.14,402.53
2021-05-06 12:00:00,397.02,397.02,387.76,393.32
2021-05-06 16:00:00,394.12,396.89,378.45,378.45
2021-05-06 20:00:00,389.33,398.7,387.24,398.7
2021-05-07 00:00:00,397.86,410.54,397.86,410.54
2021-05-07 04:00:00,414.64,437.39,412.81,412.81
2021-05-07 08:00:00,419.25,442.42,419.25,442.42
2021-05-07 12:00:00,441.96,468.54,441.96,453.91
2021-05-07 16:00:00,444.42,453.46,436.58,453.46
2021-05-07 20:00:00,441.13,441.13,432.81,436.3
2021-05-08 00:00:00,431.54,437.1,423.47,423.47
2021-05-08 04:00:00,423.04,429.27,423.04,425.86
2021-05-08 08:00:00,414.53,418.82,398.61,398.61
2021-05-08 12:00:00,404.75,419.62,404.75,419.62
2021-05-08 16:00:00,421.34,424.34,413.82,413.82
2021-05-08 20:00:00,416.16,416.75,413.46,413.46
2021-05-09 00:00:00,409.97,410.7,407.73,410.7
2021-05-09 04:00:00,406.38,406.38,399.62,405.86
2021-05-09 08:00:00,406.5,406.5,398.42,404.18
2021-05-09 12:00:00,408.37,408.37,399.76,400.1
2021-05-09 16:00:00,387.82,390.58,387.27,389.6
2021-05-09 20:00:00,388.08,394.53,388.08,392.81
2021-05-10 00:00:00,390.88,390.88,379.35,390.46
2021-05-10 04:00:00,396.3,402.55,396.3,401.5
2021-05-10 08:00:00,395.75,402.64,395.75,402.64
2021-05-10 12:00:00,405.73,420.17,405.73,420.17
2021-05-10 16:00:00,426.31,426.31,424.2,426.01
2021-05-10 20:00:00,417.94,424.04,412.29,412.29
2021-05-11 00:00:00,415.25,415.25,397.13,397.13
2021-05-11 04:00:00,408.77,408.77,393.32,393.32
2021-05-11 08:00:00,379.64,382.11,374.37,381.1
2021-05-11 12:00:00,373.55,375.17,365.38,365.38
2021-05-11 16:00:00,369.58,378.93,369.58,378.93
2021-05-11 20:00:00,378.91,383.54,374.97,380.08
2021-05-12 00:00:00,377.3,396.99,375.44,396.99
2021-05-12 04:00:00,395.73,416.22,395.73,416.22
2021-05-12 08:00:00,424.54,425.34,419.62,422.65
2021-05-12 12:00:00,428.05,430.07,426.47,426.47
2021-05-12 16:00:00,428.2,428.2,415.28,415.28
2021-05-12 20:00:00,411.2,422.05,406.91,406.91
2021-05-13 00:00:00,425.49,425.49,405.43,405.43
2021-05-13 04:00:00,399.74,399.74,384.15,387.99
2021-05-13 08:00:00,389.87,397.69,377.81,377.81
2021-05-13 12:00:00,369.42,374.21,369.42,372.61
2021-05-13 16:00:00,365.14,381.32,365.14,381.32
2021-05-13 20:00:00,374.47,374.47,346.67,346.67
2021-05-14 00:00:00,356.65,372.19,356.65,372.19
2021-05-14 04:00:00,368.72,368.72,343.04,343.04
2021-05-14 08:00:00,342.21,350.78,342.21,349.77
2021-05-14 12:00:00,356.03,365.01,356.03,360.92
2021-05-14 16:00:00,358.41,368.98,356.69,357.96
2021-05-14 20:00:00,364.55,380.81,364.55,380.81
2021-05-15 00:00:00,380.6,380.77,374.92,380.77
2021-05-15 04:00:00,383.42,383.42,373.88,373.88
2021-05-15 08:00:00,370.21,370.23,365.2,370.23
2021-05-15 12:00:00,371.6,373.57,365.56,371.29
2021-05-15 16:00:00,367.06,368.84,359.23,359.23
2021-05-15 20:00:00,356.22,358.36,350.02,350.02
2021-05-16 00:00:00,355.23,361.36,352.29,361.36
2021-05-16 04:00:00,358.58,358.58,344.58,345.67
2021-05-16 08:00:00,344.51,351.04,344.51,347.42
2021-05-16 12:00:00,336.17,349.56,336.17,349.56
2021-05-16 16:00:00,350.33,355.38,349.15,355.38
2021-05-16 20:00:00,356.68,362.98,355.47,362.98
2021-05-17 00:00:00,359.33,359.33,352.44,352.44
2021-05-17 04:00:00,342.88,342.88,331.68,331.68
2021-05-17 08:00:00,321.04,326.73,315.92,326.73
2021-05-17 12:00:00,332.98,332.98,311.21,311.21
2021-05-17 16:00:00,302.64,317.05,302.64,317.05
2021-05-17 20:00:00,323.16,325.51,317.07,317.07
2021-05-18 00:00:00,316.55,316.55,299.95,302.8
2021-05-18 04:00:00,290.45,290.45,284.22,284.22
