id,symbol,name,image,market_cap,market_cap_rank,total_volume,high_24h,current_price,low_24h,price_change_24h,price_change_percentage_24h,total_supply,max_supply,circulating_supply,last_updated
bitcoin,BTC,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,838566499799,1,69493335680,45902.0,44812.0,42413.0,-294.6153603,-0.65315,21000000.0,21000000.0,18712931.0,2021-05-18T09:19:45.806Z
ethereum,ETH,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,402272255808,2,65083179846,3561.0,3470.19,3158.86,-38.50645993,-1.09746,,,115922272.749,2021-05-18T09:19:13.015Z
binancecoin,BNB,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,80582689255,3,4146289624,541.85,521.46,495.02,-11.62454411,-2.18063,170533651.9,170533651.9,154533651.9,2021-05-18T09:18:52.213Z
ripple,XRP,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,72140853679,4,11189623676,1.57,1.56,1.45,0.102904,7.04769,100000000000.0,,46135372183.0,2021-05-18T09:20:15.705Z
cardano,ADA,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,66594937881,5,9376558858,2.21,2.08,1.95,-0.09584664,-4.41155,45000000000.0,45000000000.0,32066390668.4135,2021-05-18T09:19:23.493Z
dogecoin,DOGE,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,63645341086,6,7267246407,0.509794,0.490891,0.474009,-0.0101936,-2.03431,,,129652801779.367,2021-05-18T09:19:45.075Z
tether,USDT,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,58157568709,7,171106358800,1.01,0.996595,0.990088,-0.00565602,-0.56433,58356299122.9229,,58356299122.9229,2021-05-18T09:07:22.206Z
polkadot,DOT,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,40192707935,8,2634667567,41.44,40.33,37.36,0.470661,1.18094,1074353212.08867,,993404077.44939,2021-05-18T09:20:36.710Z
bitcoin-cash,BCH,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,20985411471,9,7297154673,1150.31,1116.81,1019.36,4.87,0.43826,21000000.0,,18740506.1467895,2021-05-18T09:20:17.162Z
litecoin,LTC,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,20244942039,10,9561627810,308.41,303.03,264.56,17.12,5.98638,84000000.0,,66752414.5153875,2021-05-18T09:20:18.333Z
uniswap,UNI,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,18558890111,11,1033149704,36.39,35.55,32.16,0.510636,1.4572,1000000000.0,1000000000.0,519857388.1320768,2021-05-18T09:19:59.224Z
chainlink,LINK,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,16839079575,12,2039510394,40.43,39.48,35.66,0.661,1.70273,1000000000.0,1000000000.0,426509553.9174637,2021-05-18T09:19:09.173Z
usd-coin,USDC,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,16776216346,13,3642165493,1.01,0.995278,0.987208,-0.00493657,-0.49355,16858256607.5042,,16855814855.4842,2021-05-18T09:19:35.850Z
stellar,XLM,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,15550570661,14,2559714008,0.705337,0.672112,0.630801,-0.01029561,-1.50872,50000000000.0,,23136887534.5063,2021-05-18T09:18:58.643Z
solana,SOL,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,14315457197,15,1768992354,53.13,52.68,46.21,2.78,5.56113,488630611.0,488630611.0,272637122.50492,2021-05-18T09:20:43.518Z
matic-network,MATIC,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic___polygon.jpg?1612939050,12916790425,16,5212684969,2.18,2.1,1.61,0.478444,29.47255,10000000000.0,10000000000.0,6145590937.0,2021-05-18T09:19:39.459Z
ethereum-classic,ETC,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,11620623785,17,8945872403,95.34,90.92,85.58,0.190246,0.20968,210700000.0,,127329804.005224,2021-05-18T09:20:14.669Z
vechain,VET,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,10892155504,18,1758053324,0.173631,0.166951,0.151244,-0.00462941,-2.6981,86712634466.0,,65241752869.0,2021-05-18T09:18:57.429Z
theta-token,THETA,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,9965514682,19,487562356,10.44,9.97,9.51,0.133658,1.35943,1000000000.0,,1000000000.0,2021-05-18T09:20:12.975Z
eos,EOS,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,9024809646,20,6520455174,9.77,9.43,8.84,-0.05368597,-0.56632,,,957419370.5131,2021-05-18T09:19:05.950Z
shiba-inu,SHIB,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/SHIBLOGO.png?1600752116,8441305900,21,2066807752,1.765e-05,1.683e-05,1.48e-05,6.5e-07,4.00807,1000000000000000.0,,497730966630395.75,2021-05-18T09:20:29.714Z
tron,TRX,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,8386139710,22,3314672938,0.119821,0.11677,0.11094,-0.0005611,-0.47821,100850743812.0,,71660220128.0,2021-05-18T09:20:46.066Z
aave,AAVE,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,8230923616,23,2142155521,658.76,642.25,519.97,65.31,11.32091,16000000.0,16000000.0,12752657.329392944,2021-05-18T09:20:12.542Z
wrapped-bitcoin,WBTC,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,8031702030,24,456126911,45766.0,44904.0,42411.0,-339.12251011,-0.74956,178864.94233022,178864.94233022,178864.94233022,2021-05-18T09:19:55.209Z
binance-usd,BUSD,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,7959197477,25,7619820026,1.02,0.994625,0.984779,-0.00195527,-0.1962,8002207241.51,,8002207241.51,2021-05-18T09:19:02.614Z
okb,OKB,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,7762586078,26,1271917972,29.96,28.81,26.99,-0.37273705,-1.27727,300000000.0,,269444871.26,2021-05-18T09:19:18.717Z
filecoin,FIL,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,7467540057,27,1041608317,105.78,102.63,96.4,0.03145731,0.03066,1974558099.0,1974558099.0,72589087.0,2021-05-18T09:19:30.515Z
neo,NEO,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,6277761583,28,1312928798,91.0,89.01,81.7,-0.07039047,-0.07902,100000000.0,,70530000.0,2021-05-18T09:18:57.293Z
monero,XMR,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,6221651347,29,452764386,365.82,346.78,334.71,-14.1858536,-3.93,,,17912062.1783745,2021-05-18T09:20:42.629Z
terra-luna,LUNA,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,5846054343,30,344178959,15.6,15.27,14.66,-0.12701694,-0.82498,957521785.207581,,382862891.228662,2021-05-18T09:19:01.517Z
compound-ether,CETH,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,5575200379,31,17135989,70.73,70.4,64.07,0.27714,0.39523,79194237.3096326,,79194237.3096326,2021-05-18T08:05:31.895Z
klay-token,KLAY,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,5523289790,32,57653181,2.29,2.24,2.13,-0.00294568,-0.13128,,,2464816759.6,2021-05-18T09:19:44.907Z
kusama,KSM,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,5460656226,35,905834706,621.71,607.56,542.14,34.09,5.94398,10000000.0,10000000.0,8980098.074112339,2021-05-18T09:20:46.936Z
iota,MIOTA,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,5454218275,33,204671435,2.01,1.96,1.77,0.03120368,1.61896,2779530283.0,,2779530283.277761,2021-05-18T09:20:11.491Z
bitcoin-cash-sv,BSV,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,5436509880,34,1739617311,295.68,290.16,270.9,1.78,0.6169,21000000.0,,18735951.644239,2021-05-18T09:19:07.539Z
