datetime,open,high,low,close
2021-04-18 04:00:00,212.09,212.11,212.09,212.11
2021-04-18 08:00:00,212.5,215.55,212.5,214.21
2021-04-18 12:00:00,210.46,210.46,193.25,193.25
2021-04-18 16:00:00,162.19,174.7,162.19,174.29
2021-04-18 20:00:00,183.44,183.44,171.42,180.39
2021-04-19 00:00:00,175.41,184.36,175.41,184.36
2021-04-19 04:00:00,186.07,186.71,186.07,186.68
2021-04-19 08:00:00,192.43,193.6,189.6,189.6
2021-04-19 12:00:00,188.63,190.07,187.44,190.07
2021-04-19 16:00:00,192.1,192.11,189.13,192.11
2021-04-19 20:00:00,189.81,190.0,181.65,181.65
2021-04-20 00:00:00,186.23,186.23,173.35,173.35
2021-04-20 04:00:00,173.93,176.73,171.22,176.73
2021-04-20 08:00:00,177.29,177.29,172.73,172.73
2021-04-20 12:00:00,170.43,170.43,158.31,158.31
2021-04-20 16:00:00,162.61,164.45,157.19,157.19
2021-04-20 20:00:00,154.16,168.55,154.16,168.55
2021-04-21 00:00:00,171.25,176.95,171.25,172.86
2021-04-21 04:00:00,168.24,173.56,168.24,173.56
2021-04-21 08:00:00,175.04,175.04,173.46,173.46
2021-04-21 12:00:00,173.46,175.23,172.83,175.23
2021-04-21 16:00:00,170.53,180.66,170.53,180.66
2021-04-21 20:00:00,183.09,187.11,180.42,180.42
2021-04-22 00:00:00,178.92,188.01,178.92,188.01
2021-04-22 04:00:00,187.19,191.43,187.19,190.1
2021-04-22 08:00:00,192.91,192.91,182.83,182.83
2021-04-22 12:00:00,182.04,183.11,181.17,183.11
2021-04-22 16:00:00,180.5,183.97,180.5,181.52
2021-04-22 20:00:00,177.45,180.83,177.45,180.44
2021-04-23 00:00:00,183.67,183.67,181.22,181.54
2021-04-23 04:00:00,179.48,179.48,174.51,174.51
2021-04-23 08:00:00,175.49,175.49,165.26,165.8
2021-04-23 12:00:00,165.24,165.24,153.15,153.15
2021-04-23 16:00:00,153.87,153.87,148.85,148.85
2021-04-23 20:00:00,148.55,161.9,148.55,161.9
2021-04-24 00:00:00,164.11,164.11,157.25,160.75
2021-04-24 04:00:00,161.91,161.91,159.16,160.8
2021-04-24 08:00:00,160.31,160.31,158.02,158.86
2021-04-24 12:00:00,161.35,161.35,154.24,157.22
2021-04-24 16:00:00,156.57,160.69,156.57,156.69
