DateTime,Open,High,Low,Close
2021-04-18 20:00:00,6.41,6.45,6.41,6.45
2021-04-19 00:00:00,6.23,6.58,6.23,6.57
2021-04-19 04:00:00,6.86,6.86,6.72,6.85
2021-04-19 08:00:00,6.96,7.09,6.96,7.09
2021-04-19 12:00:00,7.19,7.42,7.19,7.32
2021-04-19 16:00:00,7.3,7.35,7.23,7.35
2021-04-19 20:00:00,7.29,7.29,6.96,6.96
2021-04-20 00:00:00,7.04,7.04,6.63,6.63
2021-04-20 04:00:00,6.58,6.76,6.58,6.76
2021-04-20 08:00:00,6.82,6.89,6.81,6.81
2021-04-20 12:00:00,6.6,6.6,6.23,6.27
2021-04-20 16:00:00,6.45,6.51,6.1,6.1
2021-04-20 20:00:00,6.25,6.69,6.25,6.69
2021-04-21 00:00:00,6.66,6.72,6.51,6.51
2021-04-21 04:00:00,6.53,6.69,6.53,6.69
2021-04-21 08:00:00,6.79,6.79,6.63,6.63
2021-04-21 12:00:00,6.67,6.78,6.65,6.78
2021-04-21 16:00:00,6.61,6.69,6.58,6.69
2021-04-21 20:00:00,6.57,6.57,6.36,6.36
2021-04-22 00:00:00,6.32,6.68,6.32,6.68
2021-04-22 04:00:00,6.74,6.74,6.61,6.61
2021-04-22 08:00:00,6.67,6.67,6.4,6.4
2021-04-22 12:00:00,6.38,6.42,6.38,6.39
2021-04-22 16:00:00,6.31,6.46,6.31,6.41
2021-04-22 20:00:00,6.36,6.47,6.21,6.47
2021-04-23 00:00:00,6.69,6.71,6.51,6.71
2021-04-23 04:00:00,6.71,6.78,6.45,6.5
2021-04-23 08:00:00,6.38,6.38,5.92,5.92
2021-04-23 12:00:00,5.89,5.89,5.07,5.07
2021-04-23 16:00:00,5.23,5.23,5.04,5.06
2021-04-23 20:00:00,4.97,5.33,4.97,5.33
2021-04-24 00:00:00,5.42,5.42,5.27,5.36
2021-04-24 04:00:00,5.34,5.46,5.34,5.46
2021-04-24 08:00:00,5.44,5.44,5.31,5.39
2021-04-24 12:00:00,5.58,5.58,5.29,5.34
2021-04-24 16:00:00,5.38,5.45,5.38,5.44
2021-04-24 20:00:00,5.34,5.36,5.17,5.17
2021-04-25 00:00:00,5.1,5.23,5.1,5.17
2021-04-25 04:00:00,5.28,5.28,5.19,5.25
2021-04-25 08:00:00,5.23,5.26,5.2,5.2
2021-04-25 12:00:00,5.09,5.19,5.09,5.19
2021-04-25 16:00:00,5.09,5.1,5.03,5.03
2021-04-25 20:00:00,5.07,5.24,5.07,5.18
2021-04-26 00:00:00,5.25,5.36,5.25,5.36
2021-04-26 04:00:00,5.4,5.4,5.23,5.23
2021-04-26 08:00:00,5.16,5.16,4.73,4.95
2021-04-26 12:00:00,4.99,5.41,4.99,5.37
2021-04-26 16:00:00,5.42,5.58,5.39,5.58
2021-04-26 20:00:00,5.51,5.52,5.45,5.52
2021-04-27 00:00:00,5.57,5.62,5.56,5.56
2021-04-27 04:00:00,5.63,5.74,5.59,5.74
2021-04-27 08:00:00,5.72,5.72,5.63,5.7
2021-04-27 12:00:00,5.87,5.92,5.82,5.92
2021-04-27 16:00:00,5.89,6.03,5.88,6.03
2021-04-27 20:00:00,5.94,6.07,5.94,6.07
2021-04-28 00:00:00,6.09,6.09,5.88,5.95
2021-04-28 04:00:00,6.01,6.01,5.93,5.98
2021-04-28 08:00:00,5.93,6.04,5.93,6.01
2021-04-28 12:00:00,6.05,6.19,6.05,6.12
2021-04-28 16:00:00,5.96,5.96,5.79,5.79
2021-04-28 20:00:00,5.85,5.88,5.83,5.88
2021-04-29 00:00:00,5.95,5.98,5.87,5.87
2021-04-29 04:00:00,5.84,5.9,5.84,5.87
2021-04-29 08:00:00,5.93,5.93,5.81,5.9
2021-04-29 12:00:00,5.96,5.96,5.86,5.92
2021-04-29 16:00:00,5.87,5.9,5.79,5.9
2021-04-29 20:00:00,5.9,5.98,5.86,5.96
2021-04-30 00:00:00,5.95,5.95,5.9,5.9
2021-04-30 04:00:00,5.91,5.91,5.73,5.76
2021-04-30 08:00:00,5.74,5.87,5.73,5.87
2021-04-30 12:00:00,5.88,6.13,5.79,6.09
2021-04-30 16:00:00,6.1,6.26,6.1,6.26
2021-04-30 20:00:00,6.23,6.23,6.15,6.15
2021-05-01 00:00:00,6.14,6.42,6.14,6.42
2021-05-01 04:00:00,6.3,6.34,6.3,6.34
2021-05-01 08:00:00,6.36,6.39,6.35,6.37
2021-05-01 12:00:00,6.44,6.55,6.44,6.52
