datetime,open,high,low,close
2021-04-18 04:00:00,39.95,39.95,39.88,39.88
2021-04-18 08:00:00,40.09,40.68,38.34,38.34
2021-04-18 12:00:00,38.57,38.57,35.82,35.82
2021-04-18 16:00:00,32.47,36.52,32.47,36.52
2021-04-18 20:00:00,36.28,36.28,33.76,33.76
2021-04-19 00:00:00,33.12,35.09,33.12,34.47
2021-04-19 04:00:00,35.78,36.25,35.53,36.25
2021-04-19 08:00:00,37.78,38.11,37.78,37.87
2021-04-19 12:00:00,36.37,37.53,36.37,37.53
2021-04-19 16:00:00,38.03,38.03,36.95,37.47
2021-04-19 20:00:00,36.5,36.5,35.43,35.43
2021-04-20 00:00:00,35.83,35.83,33.3,33.3
2021-04-20 04:00:00,33.32,34.39,32.99,34.23
2021-04-20 08:00:00,34.47,35.13,34.03,34.03
2021-04-20 12:00:00,33.25,33.25,31.02,31.33
2021-04-20 16:00:00,32.4,32.98,30.44,30.44
2021-04-20 20:00:00,31.69,34.81,31.69,34.81
2021-04-21 00:00:00,34.13,34.29,32.82,32.82
2021-04-21 04:00:00,34.25,34.66,33.88,34.66
2021-04-21 08:00:00,34.94,34.94,33.53,33.85
2021-04-21 12:00:00,34.47,34.47,34.01,34.39
2021-04-21 16:00:00,34.09,34.09,33.68,33.68
2021-04-21 20:00:00,32.97,33.37,32.3,32.3
2021-04-22 00:00:00,32.97,33.68,32.97,33.68
2021-04-22 04:00:00,34.08,34.08,33.01,33.01
2021-04-22 08:00:00,33.3,33.3,32.23,32.23
2021-04-22 12:00:00,32.12,32.99,32.12,32.97
2021-04-22 16:00:00,33.37,35.31,33.37,34.17
2021-04-22 20:00:00,33.48,37.99,33.48,37.99
2021-04-23 00:00:00,38.86,38.86,37.65,37.99
2021-04-23 04:00:00,37.51,37.51,35.45,35.79
2021-04-23 08:00:00,35.22,35.22,33.31,33.77
2021-04-23 12:00:00,34.11,34.11,30.58,30.58
2021-04-23 16:00:00,30.49,30.49,29.05,29.24
2021-04-23 20:00:00,28.0,30.52,28.0,30.52
2021-04-24 00:00:00,31.3,31.3,30.27,30.84
2021-04-24 04:00:00,31.08,31.4,30.47,31.4
2021-04-24 08:00:00,31.98,32.66,31.23,32.66
2021-04-24 12:00:00,32.34,32.34,31.01,31.54
2021-04-24 16:00:00,31.63,32.09,31.59,31.59
2021-04-24 20:00:00,31.36,31.36,29.91,29.91
2021-04-25 00:00:00,29.89,30.37,29.89,30.08
2021-04-25 04:00:00,30.61,30.61,30.11,30.39
2021-04-25 08:00:00,30.51,30.67,29.97,29.97
2021-04-25 12:00:00,29.41,30.05,29.41,30.04
2021-04-25 16:00:00,29.28,29.55,28.97,28.97
2021-04-25 20:00:00,29.08,29.69,29.08,29.61
2021-04-26 00:00:00,30.06,31.57,30.06,31.57
2021-04-26 04:00:00,31.34,31.34,29.92,29.92
2021-04-26 08:00:00,29.4,29.4,28.27,29.09
2021-04-26 12:00:00,29.25,31.3,29.25,31.3
2021-04-26 16:00:00,31.19,32.18,30.92,31.62
2021-04-26 20:00:00,31.85,31.9,31.48,31.65
2021-04-27 00:00:00,32.22,32.22,31.69,31.71
2021-04-27 04:00:00,31.69,32.68,31.69,32.68
2021-04-27 08:00:00,32.34,32.34,31.72,32.23
2021-04-27 12:00:00,32.76,33.23,32.4,33.23
2021-04-27 16:00:00,32.89,33.65,32.84,33.65
2021-04-27 20:00:00,33.08,33.43,33.07,33.43
2021-04-28 00:00:00,33.74,33.79,32.78,33.3
2021-04-28 04:00:00,33.96,33.96,33.47,33.51
2021-04-28 08:00:00,33.33,33.86,33.33,33.47
2021-04-28 12:00:00,34.63,35.8,34.63,35.02
2021-04-28 16:00:00,34.63,34.63,33.35,33.56
2021-04-28 20:00:00,33.78,34.24,33.28,34.24
2021-04-29 00:00:00,34.82,34.82,33.75,33.75
2021-04-29 04:00:00,33.65,34.33,33.65,34.33
2021-04-29 08:00:00,33.81,34.73,33.81,34.73
2021-04-29 12:00:00,34.57,34.92,34.17,34.71
2021-04-29 16:00:00,34.34,34.69,34.26,34.69
2021-04-29 20:00:00,34.61,34.88,34.37,34.63
2021-04-30 00:00:00,34.59,35.06,34.55,34.56
2021-04-30 04:00:00,34.49,34.49,33.42,34.09
2021-04-30 08:00:00,33.72,34.53,33.72,34.53
2021-04-30 12:00:00,34.23,34.3,33.88,34.22
2021-04-30 16:00:00,34.33,35.04,34.33,35.04
2021-04-30 20:00:00,35.43,35.75,34.87,34.87
2021-05-01 00:00:00,35.23,36.32,35.23,36.32
2021-05-01 04:00:00,35.86,36.03,35.86,35.88
2021-05-01 08:00:00,36.01,36.38,36.01,36.2
2021-05-01 12:00:00,36.31,38.71,36.31,38.71
2021-05-01 16:00:00,38.63,39.08,38.39,39.08
2021-05-01 20:00:00,39.55,39.71,38.53,39.71
2021-05-02 00:00:00,41.27,41.27,40.12,40.12
2021-05-02 04:00:00,40.8,42.06,40.8,42.06
2021-05-02 08:00:00,43.1,45.49,43.1,45.13
2021-05-02 12:00:00,44.61,45.38,44.61,45.24
2021-05-02 16:00:00,42.93,45.16,42.93,45.16
2021-05-02 20:00:00,44.34,45.44,43.58,45.44
2021-05-03 00:00:00,45.61,45.61,44.95,44.95
2021-05-03 04:00:00,44.72,45.81,44.72,45.81
2021-05-03 08:00:00,45.69,45.86,43.98,43.98
2021-05-03 12:00:00,44.86,45.06,44.63,44.63
2021-05-03 16:00:00,45.01,46.84,45.01,46.84
2021-05-03 20:00:00,48.44,49.68,48.44,49.16
2021-05-04 00:00:00,50.07,50.07,48.5,48.72
