datetime,open,high,low,close
2021-04-18 04:00:00,51.75,52.23,51.75,52.23
2021-04-18 08:00:00,52.34,52.62,51.87,51.87
2021-04-18 12:00:00,51.87,51.87,49.14,49.14
2021-04-18 16:00:00,48.67,48.67,47.51,48.66
2021-04-18 20:00:00,48.52,48.52,46.21,46.7
2021-04-19 00:00:00,45.9,48.76,45.9,48.76
2021-04-19 04:00:00,48.9,49.36,48.75,49.23
2021-04-19 08:00:00,49.65,50.2,49.65,50.2
2021-04-19 12:00:00,50.15,51.56,50.15,51.56
2021-04-19 16:00:00,51.96,52.29,51.29,52.29
2021-04-19 20:00:00,52.05,52.05,50.61,50.61
2021-04-20 00:00:00,51.25,51.25,48.69,48.69
2021-04-20 04:00:00,48.85,50.2,48.85,50.2
2021-04-20 08:00:00,50.35,50.79,50.35,50.38
2021-04-20 12:00:00,49.11,49.11,47.27,47.27
2021-04-20 16:00:00,47.72,48.27,46.94,46.94
2021-04-20 20:00:00,47.76,49.16,47.76,49.16
2021-04-21 00:00:00,49.67,50.41,49.54,49.54
2021-04-21 04:00:00,49.23,51.72,49.23,51.72
2021-04-21 08:00:00,52.55,52.55,52.0,52.3
2021-04-21 12:00:00,52.34,52.63,51.62,52.63
2021-04-21 16:00:00,51.72,52.74,51.72,52.74
2021-04-21 20:00:00,52.16,52.61,51.75,51.75
2021-04-22 00:00:00,51.73,53.5,51.73,53.5
2021-04-22 04:00:00,53.3,53.3,52.73,52.73
2021-04-22 08:00:00,52.97,52.97,51.12,51.12
2021-04-22 12:00:00,50.93,51.35,50.27,50.92
2021-04-22 16:00:00,51.22,52.17,51.22,51.81
2021-04-22 20:00:00,50.99,52.69,50.99,52.69
2021-04-23 00:00:00,53.02,53.02,52.48,52.48
2021-04-23 04:00:00,53.27,53.27,49.91,49.91
2021-04-23 08:00:00,49.43,49.43,48.67,49.24
2021-04-23 12:00:00,49.2,49.2,46.25,46.25
2021-04-23 16:00:00,46.64,46.64,44.62,44.62
2021-04-23 20:00:00,43.34,45.23,43.34,45.23
2021-04-24 00:00:00,46.07,46.07,45.03,45.64
2021-04-24 04:00:00,46.39,46.93,46.0,46.93
2021-04-24 08:00:00,47.55,47.55,46.75,46.83
2021-04-24 12:00:00,47.13,47.13,45.46,45.72
2021-04-24 16:00:00,46.46,46.79,46.46,46.54
