datetime,open,high,low,close
2021-04-18 04:00:00,3.66,3.7,3.66,3.7
2021-04-18 08:00:00,3.68,3.73,3.68,3.69
2021-04-18 12:00:00,3.68,3.68,3.27,3.27
2021-04-18 16:00:00,3.19,3.35,3.19,3.35
2021-04-18 20:00:00,3.32,3.32,3.12,3.19
2021-04-19 00:00:00,3.16,3.2,3.16,3.2
2021-04-19 04:00:00,3.3,3.32,3.23,3.32
2021-04-19 08:00:00,3.35,3.38,3.33,3.33
2021-04-19 12:00:00,3.36,3.45,3.36,3.45
2021-04-19 16:00:00,3.42,3.47,3.42,3.47
2021-04-19 20:00:00,3.41,3.41,3.22,3.22
2021-04-20 00:00:00,3.26,3.29,3.11,3.14
2021-04-20 04:00:00,3.22,3.22,3.14,3.18
2021-04-20 08:00:00,3.17,3.2,3.17,3.17
2021-04-20 12:00:00,2.98,3.03,2.94,3.02
2021-04-20 16:00:00,3.26,3.26,3.01,3.01
2021-04-20 20:00:00,3.14,3.22,3.14,3.2
2021-04-21 00:00:00,3.19,3.23,3.19,3.19
2021-04-21 04:00:00,3.21,3.35,3.21,3.3
2021-04-21 08:00:00,3.38,3.38,3.3,3.36
2021-04-21 12:00:00,3.43,3.47,3.42,3.44
2021-04-21 16:00:00,3.41,3.46,3.4,3.46
2021-04-21 20:00:00,3.42,3.48,3.29,3.29
2021-04-22 00:00:00,3.39,3.47,3.39,3.47
2021-04-22 04:00:00,3.52,3.68,3.52,3.61
2021-04-22 08:00:00,3.54,3.54,3.31,3.31
2021-04-22 12:00:00,3.3,3.46,3.3,3.4
2021-04-22 16:00:00,3.39,3.44,3.39,3.44
2021-04-22 20:00:00,3.38,3.46,3.36,3.45
2021-04-23 00:00:00,3.47,3.47,3.43,3.43
2021-04-23 04:00:00,3.46,3.46,3.31,3.31
2021-04-23 08:00:00,3.29,3.32,3.27,3.32
2021-04-23 12:00:00,3.27,3.27,2.9,3.11
2021-04-23 16:00:00,3.13,3.13,2.9,2.99
2021-04-23 20:00:00,2.93,3.08,2.93,3.08
2021-04-24 00:00:00,3.04,3.04,3.01,3.03
2021-04-24 04:00:00,3.05,3.08,3.05,3.07
2021-04-24 08:00:00,3.1,3.11,3.1,3.1
2021-04-24 12:00:00,3.08,3.09,3.02,3.09
2021-04-24 16:00:00,3.07,3.12,3.07,3.07
2021-04-24 20:00:00,3.1,3.1,3.03,3.03
2021-04-25 00:00:00,3.03,3.04,3.03,3.03
2021-04-25 04:00:00,3.06,3.06,3.05,3.06
2021-04-25 08:00:00,3.05,3.05,3.03,3.04
2021-04-25 12:00:00,3.03,3.03,3.01,3.01
2021-04-25 16:00:00,2.99,2.99,2.95,2.95
2021-04-25 20:00:00,2.99,3.03,2.99,3.03
2021-04-26 00:00:00,3.06,3.11,3.06,3.11
2021-04-26 04:00:00,3.08,3.1,3.04,3.04
2021-04-26 08:00:00,3.0,3.01,2.85,3.01
2021-04-26 12:00:00,3.08,3.19,3.08,3.19
2021-04-26 16:00:00,3.17,3.3,3.17,3.27
2021-04-26 20:00:00,3.26,3.3,3.24,3.3
2021-04-27 00:00:00,3.35,3.39,3.35,3.36
2021-04-27 04:00:00,3.39,3.4,3.34,3.38
2021-04-27 08:00:00,3.37,3.4,3.26,3.4
2021-04-27 12:00:00,3.4,3.58,3.4,3.58
2021-04-27 16:00:00,3.55,3.55,3.54,3.54
2021-04-27 20:00:00,3.54,3.54,3.46,3.5
2021-04-28 00:00:00,3.52,3.52,3.45,3.51
2021-04-28 04:00:00,3.5,3.5,3.48,3.48
2021-04-28 08:00:00,3.51,3.59,3.51,3.59
2021-04-28 12:00:00,3.58,3.68,3.58,3.61
2021-04-28 16:00:00,3.58,3.58,3.4,3.43
2021-04-28 20:00:00,3.44,3.44,3.41,3.42
2021-04-29 00:00:00,3.46,3.46,3.44,3.45
