datetime,open,high,low,close
2021-04-18 04:00:00,20.88,20.88,20.86,20.86
2021-04-18 08:00:00,20.88,21.01,20.76,20.76
2021-04-18 12:00:00,20.33,20.33,18.68,18.68
2021-04-18 16:00:00,16.74,17.86,16.74,17.77
2021-04-18 20:00:00,18.35,18.35,17.11,17.4
2021-04-19 00:00:00,16.44,17.28,16.44,17.28
2021-04-19 04:00:00,17.9,17.9,17.36,17.52
2021-04-19 08:00:00,17.67,18.13,17.67,18.13
2021-04-19 12:00:00,17.99,18.2,17.92,18.15
2021-04-19 16:00:00,18.09,18.09,17.87,18.06
2021-04-19 20:00:00,17.91,17.91,16.67,16.67
2021-04-20 00:00:00,17.11,17.11,16.12,16.12
2021-04-20 04:00:00,16.04,16.39,16.04,16.39
2021-04-20 08:00:00,16.57,16.64,16.39,16.39
2021-04-20 12:00:00,16.05,16.05,15.03,15.03
2021-04-20 16:00:00,15.53,15.79,14.8,14.8
2021-04-20 20:00:00,15.16,16.34,15.16,16.34
2021-04-21 00:00:00,16.44,16.61,16.18,16.18
2021-04-21 04:00:00,16.14,16.63,16.14,16.63
2021-04-21 08:00:00,16.82,16.82,16.61,16.61
2021-04-21 12:00:00,16.79,16.79,16.46,16.67
2021-04-21 16:00:00,16.31,16.62,16.31,16.55
2021-04-21 20:00:00,16.34,16.66,16.09,16.09
2021-04-22 00:00:00,15.89,16.75,15.89,16.75
2021-04-22 04:00:00,16.97,16.97,16.61,16.61
2021-04-22 08:00:00,16.95,16.95,16.02,16.02
2021-04-22 12:00:00,15.93,16.03,15.93,16.02
2021-04-22 16:00:00,16.06,16.44,16.06,16.25
2021-04-22 20:00:00,15.94,17.0,15.94,17.0
2021-04-23 00:00:00,17.17,17.31,16.89,17.31
2021-04-23 04:00:00,17.29,17.47,16.69,16.92
2021-04-23 08:00:00,16.64,16.64,15.44,15.44
2021-04-23 12:00:00,15.38,15.38,14.01,14.01
2021-04-23 16:00:00,14.15,14.15,13.53,13.93
2021-04-23 20:00:00,13.29,14.28,13.29,14.28
2021-04-24 00:00:00,14.39,14.42,13.81,14.42
2021-04-24 04:00:00,14.46,14.82,14.46,14.82
2021-04-24 08:00:00,14.73,14.73,14.34,14.44
2021-04-24 12:00:00,14.92,14.92,14.14,14.44
2021-04-24 16:00:00,14.48,14.8,14.48,14.66
2021-04-24 20:00:00,14.46,14.6,13.75,13.75
2021-04-25 00:00:00,13.55,13.94,13.55,13.77
2021-04-25 04:00:00,14.11,14.39,14.06,14.36
2021-04-25 08:00:00,14.36,14.5,14.1,14.1
2021-04-25 12:00:00,13.73,13.81,13.59,13.81
2021-04-25 16:00:00,13.46,13.5,13.33,13.33
2021-04-25 20:00:00,13.5,13.96,13.5,13.95
2021-04-26 00:00:00,14.14,14.62,14.14,14.62
2021-04-26 04:00:00,14.59,14.67,14.18,14.18
2021-04-26 08:00:00,13.96,13.98,13.44,13.98
2021-04-26 12:00:00,14.08,15.07,14.08,15.02
2021-04-26 16:00:00,15.15,15.59,15.12,15.59
2021-04-26 20:00:00,15.39,15.74,15.3,15.74
2021-04-27 00:00:00,15.88,15.88,15.62,15.69
2021-04-27 04:00:00,15.73,16.05,15.73,16.05
2021-04-27 08:00:00,15.99,15.99,15.75,15.9
2021-04-27 12:00:00,16.15,16.15,16.1,16.1
2021-04-27 16:00:00,15.98,16.62,15.98,16.62
2021-04-27 20:00:00,16.44,16.68,16.44,16.68
2021-04-28 00:00:00,16.78,16.78,16.16,16.66
2021-04-28 04:00:00,16.96,17.11,16.82,17.1
2021-04-28 08:00:00,16.84,17.11,16.84,16.93
2021-04-28 12:00:00,17.03,17.26,16.91,16.91
2021-04-28 16:00:00,16.75,16.8,16.14,16.14
2021-04-28 20:00:00,16.43,16.46,16.33,16.44
2021-04-29 00:00:00,16.71,16.94,16.71,16.94
2021-04-29 04:00:00,16.77,17.06,16.77,16.91
2021-04-29 08:00:00,16.82,16.88,16.54,16.62
2021-04-29 12:00:00,16.86,16.86,16.72,16.81
2021-04-29 16:00:00,16.73,17.0,16.61,17.0
2021-04-29 20:00:00,17.03,17.64,17.03,17.64
2021-04-30 00:00:00,17.57,17.57,17.38,17.38
2021-04-30 04:00:00,17.66,17.66,16.95,17.07
2021-04-30 08:00:00,17.12,17.76,17.11,17.76
2021-04-30 12:00:00,17.74,17.74,17.54,17.54
2021-04-30 16:00:00,17.59,17.99,17.59,17.99
2021-04-30 20:00:00,17.9,18.04,17.77,17.77
2021-05-01 00:00:00,17.68,18.34,17.68,18.34
2021-05-01 04:00:00,17.99,18.19,17.99,18.17
2021-05-01 08:00:00,18.28,18.28,17.97,17.98
2021-05-01 12:00:00,18.16,18.45,18.16,18.45
2021-05-01 16:00:00,18.48,18.48,18.28,18.28
2021-05-01 20:00:00,18.14,18.14,17.8,17.89
2021-05-02 00:00:00,18.0,18.0,17.84,17.84
2021-05-02 04:00:00,17.97,18.38,17.97,18.38
2021-05-02 08:00:00,18.24,18.39,18.01,18.15
2021-05-02 12:00:00,18.14,18.26,18.14,18.21
2021-05-02 16:00:00,17.62,17.7,17.47,17.47
2021-05-02 20:00:00,17.36,17.36,16.98,17.26
2021-05-03 00:00:00,17.33,17.5,17.33,17.5
2021-05-03 04:00:00,17.46,17.54,17.38,17.54
2021-05-03 08:00:00,17.53,17.58,17.19,17.19
2021-05-03 12:00:00,17.31,17.72,17.31,17.72
2021-05-03 16:00:00,17.71,17.87,17.66,17.87
2021-05-03 20:00:00,18.03,18.84,18.03,18.84
2021-05-04 00:00:00,19.03,19.03,18.26,18.58
2021-05-04 04:00:00,18.47,18.99,18.47,18.99
2021-05-04 08:00:00,18.72,18.94,18.43,18.94
2021-05-04 12:00:00,18.83,18.83,17.37,17.37
2021-05-04 16:00:00,17.41,18.13,17.41,18.06
2021-05-04 20:00:00,17.85,18.34,17.65,18.34
2021-05-05 00:00:00,18.5,18.5,16.75,16.75
2021-05-05 04:00:00,16.61,17.02,16.61,17.02
2021-05-05 08:00:00,17.11,17.21,16.77,16.93
2021-05-05 12:00:00,16.82,17.08,16.74,16.74
2021-05-05 16:00:00,16.64,16.76,16.53,16.76
2021-05-05 20:00:00,17.22,17.46,17.22,17.46
2021-05-06 00:00:00,17.25,17.8,17.25,17.8
2021-05-06 04:00:00,17.52,17.8,17.52,17.7
2021-05-06 08:00:00,17.43,17.61,17.23,17.61
2021-05-06 12:00:00,17.68,17.68,17.23,17.36
2021-05-06 16:00:00,17.43,17.5,17.09,17.09
2021-05-06 20:00:00,17.38,18.01,17.38,18.01
2021-05-07 00:00:00,18.07,18.32,18.07,18.15
2021-05-07 04:00:00,18.01,18.56,17.46,17.46
2021-05-07 08:00:00,17.67,18.47,17.47,18.47
2021-05-07 12:00:00,18.44,18.93,18.21,18.21
2021-05-07 16:00:00,18.19,18.42,18.11,18.42
2021-05-07 20:00:00,18.39,18.39,18.35,18.35
2021-05-08 00:00:00,18.21,20.09,18.21,20.09
2021-05-08 04:00:00,20.22,20.22,19.42,19.42
2021-05-08 08:00:00,19.18,19.18,18.32,18.32
2021-05-08 12:00:00,18.73,19.07,18.73,19.07
2021-05-08 16:00:00,18.96,18.96,18.66,18.77
2021-05-08 20:00:00,18.89,19.04,18.76,18.76
2021-05-09 00:00:00,18.73,18.9,18.71,18.71
2021-05-09 04:00:00,18.28,18.91,18.28,18.9
2021-05-09 08:00:00,18.74,18.74,18.36,18.39
2021-05-09 12:00:00,18.43,18.47,18.31,18.47
2021-05-09 16:00:00,17.75,18.14,17.75,18.14
2021-05-09 20:00:00,17.93,18.09,17.93,18.0
2021-05-10 00:00:00,17.83,17.83,17.36,17.72
2021-05-10 04:00:00,17.99,17.99,17.79,17.79
2021-05-10 08:00:00,17.59,17.77,17.59,17.67
2021-05-10 12:00:00,17.78,18.06,17.78,17.99
2021-05-10 16:00:00,18.13,18.21,18.08,18.21
2021-05-10 20:00:00,18.0,18.12,17.58,17.58
2021-05-11 00:00:00,17.66,17.66,17.3,17.3
2021-05-11 04:00:00,17.52,17.52,17.06,17.07
2021-05-11 08:00:00,16.62,16.66,16.14,16.66
2021-05-11 12:00:00,16.31,16.31,15.92,15.92
2021-05-11 16:00:00,16.07,16.55,16.05,16.55
2021-05-11 20:00:00,16.59,16.75,16.3,16.75
2021-05-12 00:00:00,16.42,16.82,16.13,16.82
2021-05-12 04:00:00,16.9,17.12,16.9,17.12
2021-05-12 08:00:00,17.27,18.34,17.27,18.34
2021-05-12 12:00:00,18.52,19.05,18.52,19.05
2021-05-12 16:00:00,18.94,18.94,18.29,18.35
2021-05-12 20:00:00,18.65,19.83,18.43,19.13
2021-05-13 00:00:00,19.74,21.44,19.74,19.96
2021-05-13 04:00:00,19.59,19.59,18.71,18.93
2021-05-13 08:00:00,19.27,20.49,19.27,20.2
2021-05-13 12:00:00,18.22,19.74,18.22,19.74
2021-05-13 16:00:00,20.21,22.96,20.21,22.96
2021-05-13 20:00:00,21.58,21.58,19.04,19.34
2021-05-14 00:00:00,20.1,21.15,20.1,20.6
2021-05-14 04:00:00,19.95,19.95,18.41,18.41
