datetime,open,high,low,close
2021-04-18 04:00:00,14.86,14.92,14.86,14.92
2021-04-18 08:00:00,14.95,15.47,14.95,15.47
2021-04-18 12:00:00,14.99,14.99,13.41,13.41
2021-04-18 16:00:00,11.69,11.96,11.52,11.57
2021-04-18 20:00:00,12.11,12.11,11.26,11.56
2021-04-19 00:00:00,10.78,12.22,10.78,12.22
2021-04-19 04:00:00,12.4,13.78,12.4,13.78
2021-04-19 08:00:00,13.9,16.26,13.9,16.26
2021-04-19 12:00:00,15.76,15.76,15.3,15.3
2021-04-19 16:00:00,15.29,15.29,14.87,15.17
2021-04-19 20:00:00,14.67,14.67,14.16,14.2
2021-04-20 00:00:00,14.38,14.38,13.16,13.16
2021-04-20 04:00:00,13.3,13.3,13.17,13.17
2021-04-20 08:00:00,13.32,13.48,13.17,13.36
2021-04-20 12:00:00,12.87,12.87,12.1,12.16
2021-04-20 16:00:00,12.4,12.4,11.84,11.84
2021-04-20 20:00:00,11.7,12.96,11.7,12.96
2021-04-21 00:00:00,12.95,13.1,12.83,12.87
2021-04-21 04:00:00,12.81,13.72,12.81,13.72
2021-04-21 08:00:00,13.34,13.34,13.21,13.28
2021-04-21 12:00:00,13.1,13.1,12.86,12.86
2021-04-21 16:00:00,12.6,13.13,12.6,13.13
2021-04-21 20:00:00,12.7,12.89,12.21,12.21
2021-04-22 00:00:00,12.17,12.46,12.13,12.46
2021-04-22 04:00:00,12.72,13.04,12.47,13.04
2021-04-22 08:00:00,12.98,12.98,12.57,12.57
2021-04-22 12:00:00,12.5,13.12,12.23,12.89
2021-04-22 16:00:00,12.49,12.94,12.49,12.86
2021-04-22 20:00:00,12.92,13.56,12.92,13.56
2021-04-23 00:00:00,13.42,13.56,13.24,13.24
2021-04-23 04:00:00,13.55,13.73,12.64,12.64
2021-04-23 08:00:00,12.72,12.72,12.15,12.16
2021-04-23 12:00:00,12.19,12.19,11.31,11.31
2021-04-23 16:00:00,11.85,11.87,11.46,11.75
2021-04-23 20:00:00,11.48,12.78,11.48,12.78
2021-04-24 00:00:00,13.11,13.56,12.76,13.56
2021-04-24 04:00:00,14.01,14.47,14.01,14.47
2021-04-24 08:00:00,14.32,14.39,13.95,14.39
2021-04-24 12:00:00,13.83,13.83,13.57,13.73
2021-04-24 16:00:00,13.72,13.93,13.56,13.56
2021-04-24 20:00:00,13.7,13.7,13.05,13.05
2021-04-25 00:00:00,12.78,12.98,12.64,12.77
2021-04-25 04:00:00,13.06,13.06,12.85,13.06
2021-04-25 08:00:00,13.03,13.13,12.94,12.99
2021-04-25 12:00:00,12.9,13.17,12.84,13.17
2021-04-25 16:00:00,12.62,12.96,12.6,12.6
2021-04-25 20:00:00,12.59,12.83,12.59,12.77
2021-04-26 00:00:00,12.98,13.38,12.98,13.38
2021-04-26 04:00:00,13.5,13.81,13.35,13.35
2021-04-26 08:00:00,13.33,13.56,12.84,13.56
2021-04-26 12:00:00,13.45,14.22,13.45,14.15
2021-04-26 16:00:00,14.26,14.53,14.12,14.51
2021-04-26 20:00:00,14.48,14.69,14.25,14.5
2021-04-27 00:00:00,14.54,14.54,14.27,14.33
2021-04-27 04:00:00,14.39,14.88,14.3,14.88
2021-04-27 08:00:00,14.86,14.91,14.71,14.91
2021-04-27 12:00:00,15.08,15.68,15.08,15.68
2021-04-27 16:00:00,15.71,16.46,15.71,16.46
2021-04-27 20:00:00,16.28,16.73,16.28,16.7
2021-04-28 00:00:00,16.51,16.95,16.04,16.65
2021-04-28 04:00:00,17.3,17.3,16.81,16.88
2021-04-28 08:00:00,16.72,17.86,16.54,17.86
2021-04-28 12:00:00,17.91,18.05,17.75,17.8
2021-04-28 16:00:00,17.79,18.42,17.31,17.31
2021-04-28 20:00:00,18.11,18.11,17.74,17.82
2021-04-29 00:00:00,18.07,18.07,17.62,17.62
2021-04-29 04:00:00,17.58,18.11,17.58,18.11
2021-04-29 08:00:00,17.89,17.89,17.17,17.17
2021-04-29 12:00:00,17.24,17.24,16.91,17.2
2021-04-29 16:00:00,16.82,17.36,16.82,17.36
2021-04-29 20:00:00,17.29,17.35,17.12,17.12
2021-04-30 00:00:00,17.11,17.12,16.8,16.8
2021-04-30 04:00:00,16.76,16.76,15.99,16.35
2021-04-30 08:00:00,16.71,16.71,16.5,16.66
2021-04-30 12:00:00,16.55,16.55,16.29,16.51
2021-04-30 16:00:00,16.66,17.06,16.66,17.06
2021-04-30 20:00:00,17.14,17.16,17.04,17.04
2021-05-01 00:00:00,16.74,17.41,16.74,17.41
2021-05-01 04:00:00,17.01,17.32,17.01,17.15
2021-05-01 08:00:00,17.38,17.38,16.92,16.92
2021-05-01 12:00:00,16.99,17.23,16.92,17.12
2021-05-01 16:00:00,17.17,17.17,16.97,16.97
2021-05-01 20:00:00,16.92,16.92,16.54,16.73
2021-05-02 00:00:00,16.71,16.74,16.47,16.47
2021-05-02 04:00:00,16.55,16.77,16.55,16.69
2021-05-02 08:00:00,16.69,16.97,16.69,16.97
2021-05-02 12:00:00,17.06,17.06,16.83,16.87
2021-05-02 16:00:00,16.86,17.56,16.86,17.49
2021-05-02 20:00:00,17.91,18.31,17.91,18.31
2021-05-03 00:00:00,18.87,19.47,18.87,19.29
2021-05-03 04:00:00,19.12,19.16,18.86,18.86
2021-05-03 08:00:00,18.8,18.97,18.51,18.51
2021-05-03 12:00:00,18.42,18.71,18.42,18.59
2021-05-03 16:00:00,18.88,19.47,18.88,19.47
