DateTime,Open,High,Low,Close
2021-04-18 20:00:00,16.53,16.77,16.53,16.77
2021-04-19 00:00:00,16.18,17.09,16.18,17.09
2021-04-19 04:00:00,17.16,17.33,17.16,17.33
2021-04-19 08:00:00,17.42,17.47,17.36,17.46
2021-04-19 12:00:00,17.35,17.86,17.35,17.72
2021-04-19 16:00:00,18.14,18.14,17.9,18.08
2021-04-19 20:00:00,18.12,18.12,17.4,17.4
2021-04-20 00:00:00,17.67,17.67,17.14,17.14
2021-04-20 04:00:00,17.09,17.41,17.08,17.41
2021-04-20 08:00:00,17.52,17.62,17.4,17.4
2021-04-20 12:00:00,17.33,17.33,16.8,16.83
2021-04-20 16:00:00,18.33,18.35,17.78,17.78
2021-04-20 20:00:00,18.01,18.28,18.01,18.28
2021-04-21 00:00:00,18.43,18.43,17.93,17.93
2021-04-21 04:00:00,18.16,18.73,18.16,18.73
2021-04-21 08:00:00,18.96,19.2,18.94,18.94
2021-04-21 12:00:00,19.28,20.1,19.01,20.08
2021-04-21 16:00:00,19.98,20.48,19.94,20.48
2021-04-21 20:00:00,20.41,20.41,19.87,19.87
2021-04-22 00:00:00,19.6,20.35,19.6,20.35
2021-04-22 04:00:00,20.07,21.51,20.07,21.35
2021-04-22 08:00:00,21.52,21.52,20.54,20.54
2021-04-22 12:00:00,20.41,20.63,20.1,20.29
2021-04-22 16:00:00,20.33,20.61,20.33,20.39
2021-04-22 20:00:00,20.14,20.14,19.72,19.84
2021-04-23 00:00:00,20.23,20.24,20.2,20.24
2021-04-23 04:00:00,20.21,20.31,19.81,19.81
2021-04-23 08:00:00,19.77,19.77,18.88,18.88
2021-04-23 12:00:00,18.96,18.96,17.74,17.74
2021-04-23 16:00:00,17.96,17.96,17.52,17.82
2021-04-23 20:00:00,17.51,18.12,17.51,18.12
2021-04-24 00:00:00,18.1,18.1,17.96,17.98
2021-04-24 04:00:00,18.01,18.18,17.94,18.18
2021-04-24 08:00:00,18.38,18.38,18.2,18.37
2021-04-24 12:00:00,18.29,18.29,17.73,17.9
2021-04-24 16:00:00,18.07,18.4,18.07,18.08
2021-04-24 20:00:00,18.08,18.08,17.69,17.69
2021-04-25 00:00:00,17.68,17.87,17.49,17.49
2021-04-25 04:00:00,17.8,18.0,17.56,17.91
2021-04-25 08:00:00,17.82,17.82,17.49,17.49
2021-04-25 12:00:00,17.46,17.53,17.39,17.53
2021-04-25 16:00:00,17.38,17.38,17.18,17.18
2021-04-25 20:00:00,17.2,17.34,17.15,17.19
2021-04-26 00:00:00,17.33,17.8,17.33,17.8
2021-04-26 04:00:00,17.89,17.89,17.46,17.46
2021-04-26 08:00:00,17.48,17.48,16.78,17.13
2021-04-26 12:00:00,17.25,18.07,17.25,18.07
2021-04-26 16:00:00,18.16,18.35,18.16,18.35
2021-04-26 20:00:00,18.25,18.43,18.18,18.25
2021-04-27 00:00:00,18.4,18.4,18.1,18.1
2021-04-27 04:00:00,18.07,18.23,18.04,18.15
2021-04-27 08:00:00,18.15,18.15,18.01,18.12
2021-04-27 12:00:00,18.35,18.87,18.24,18.87
2021-04-27 16:00:00,18.77,18.81,18.57,18.81
2021-04-27 20:00:00,18.72,18.84,18.66,18.84
2021-04-28 00:00:00,18.85,18.85,18.57,18.63
2021-04-28 04:00:00,18.77,18.77,18.54,18.58
2021-04-28 08:00:00,18.51,18.8,18.51,18.74
2021-04-28 12:00:00,18.89,19.37,18.89,19.07
2021-04-28 16:00:00,18.7,18.7,18.09,18.09
2021-04-28 20:00:00,18.19,18.33,18.04,18.23
2021-04-29 00:00:00,18.54,18.54,18.23,18.23
2021-04-29 04:00:00,18.36,18.48,18.36,18.4
2021-04-29 08:00:00,18.74,18.74,18.51,18.6
2021-04-29 12:00:00,18.57,18.57,18.39,18.4
2021-04-29 16:00:00,18.39,18.39,18.14,18.35
2021-04-29 20:00:00,18.35,20.59,18.35,20.59
2021-04-30 00:00:00,20.58,20.64,20.48,20.64
2021-04-30 04:00:00,21.12,21.12,20.48,20.48
2021-04-30 08:00:00,20.66,20.98,20.57,20.98
2021-04-30 12:00:00,21.39,23.98,21.39,23.35
2021-04-30 16:00:00,23.37,23.53,23.28,23.41
2021-04-30 20:00:00,23.29,23.4,23.09,23.09
2021-05-01 00:00:00,22.74,23.29,22.74,23.29
2021-05-01 04:00:00,23.5,23.5,22.79,23.12
2021-05-01 08:00:00,23.13,23.13,22.89,22.89
2021-05-01 12:00:00,23.85,23.86,23.34,23.86
2021-05-01 16:00:00,24.25,24.25,23.85,23.92
2021-05-01 20:00:00,24.82,25.78,24.82,25.5
2021-05-02 00:00:00,25.72,26.99,25.72,26.99
2021-05-02 04:00:00,27.41,29.19,27.41,28.62
2021-05-02 08:00:00,28.66,28.79,28.06,28.13
2021-05-02 12:00:00,28.35,28.35,26.89,27.8
2021-05-02 16:00:00,26.67,28.05,26.67,28.04
2021-05-02 20:00:00,27.39,27.39,27.0,27.24
2021-05-03 00:00:00,27.23,27.37,27.04,27.37
2021-05-03 04:00:00,26.82,26.94,26.68,26.94
2021-05-03 08:00:00,27.2,27.44,27.2,27.34
2021-05-03 12:00:00,27.35,28.63,27.35,28.28
2021-05-03 16:00:00,28.25,28.25,28.02,28.02
2021-05-03 20:00:00,27.79,27.98,27.01,27.01
2021-05-04 00:00:00,26.98,27.15,26.48,26.76
2021-05-04 04:00:00,26.74,27.45,26.74,27.08
2021-05-04 08:00:00,26.97,27.0,26.58,26.58
2021-05-04 12:00:00,27.09,27.09,25.8,26.05
2021-05-04 16:00:00,25.75,26.15,25.75,26.06
2021-05-04 20:00:00,25.78,26.24,25.6,26.24
2021-05-05 00:00:00,25.93,25.93,24.38,24.38
2021-05-05 04:00:00,23.71,24.08,23.53,24.08
2021-05-05 08:00:00,24.31,24.32,24.16,24.28
2021-05-05 12:00:00,24.1,24.85,24.1,24.85
2021-05-05 16:00:00,24.02,24.1,23.81,23.81
2021-05-05 20:00:00,24.31,24.55,24.31,24.55
2021-05-06 00:00:00,24.34,25.0,24.34,24.98
2021-05-06 04:00:00,24.59,25.47,24.59,25.37
2021-05-06 08:00:00,25.4,25.44,25.36,25.37
2021-05-06 12:00:00,25.2,25.2,24.8,24.95
2021-05-06 16:00:00,24.75,24.87,24.23,24.23
2021-05-06 20:00:00,24.34,24.66,24.16,24.66
2021-05-07 00:00:00,24.67,24.67,24.23,24.24
2021-05-07 04:00:00,24.11,24.11,23.39,23.39
2021-05-07 08:00:00,23.67,23.72,23.49,23.69
2021-05-07 12:00:00,23.76,26.43,23.67,26.43
2021-05-07 16:00:00,25.78,25.78,25.52,25.76
2021-05-07 20:00:00,25.14,25.14,24.42,24.46
2021-05-08 00:00:00,24.83,25.62,24.83,25.62
2021-05-08 04:00:00,26.21,27.24,26.18,27.24
2021-05-08 08:00:00,26.91,26.91,25.76,25.76
2021-05-08 12:00:00,26.28,27.22,25.84,27.22
2021-05-08 16:00:00,26.84,26.92,26.37,26.37
2021-05-08 20:00:00,26.85,26.85,26.44,26.44
2021-05-09 00:00:00,26.45,26.63,26.25,26.63
2021-05-09 04:00:00,25.97,26.28,25.97,26.25
2021-05-09 08:00:00,26.27,26.39,26.27,26.39
2021-05-09 12:00:00,26.04,26.04,25.81,25.81
2021-05-09 16:00:00,25.72,25.86,25.35,25.86
2021-05-09 20:00:00,25.79,27.34,25.67,27.34
2021-05-10 00:00:00,27.56,27.56,26.73,27.05
2021-05-10 04:00:00,27.33,27.33,26.91,26.91
2021-05-10 08:00:00,27.19,27.51,27.19,27.48
2021-05-10 12:00:00,27.8,30.33,27.8,29.84
2021-05-10 16:00:00,29.49,30.03,29.49,29.87
2021-05-10 20:00:00,29.23,29.23,28.27,28.27
2021-05-11 00:00:00,29.09,29.12,28.87,28.87
