datetime,open,high,low,close
2021-04-18 04:00:00,10.23,10.23,9.71,9.71
2021-04-18 08:00:00,9.81,13.44,9.81,13.44
2021-04-18 12:00:00,12.11,12.11,10.7,10.7
2021-04-18 16:00:00,11.19,11.97,9.63,11.35
2021-04-18 20:00:00,12.79,12.79,11.78,12.55
2021-04-19 00:00:00,11.23,12.4,11.23,12.33
2021-04-19 04:00:00,12.62,13.7,12.24,12.24
2021-04-19 08:00:00,12.16,12.87,12.16,12.87
2021-04-19 12:00:00,11.74,11.74,11.06,11.35
2021-04-19 16:00:00,11.1,11.46,10.92,10.95
2021-04-19 20:00:00,10.78,10.95,9.67,9.67
2021-04-20 00:00:00,11.13,11.13,9.92,10.08
2021-04-20 04:00:00,9.94,10.23,9.9,10.06
2021-04-20 08:00:00,10.12,10.96,9.88,9.88
2021-04-20 12:00:00,10.15,10.15,8.73,9.95
2021-04-20 16:00:00,10.06,10.06,8.41,8.41
2021-04-20 20:00:00,8.47,9.07,8.47,9.07
2021-04-21 00:00:00,9.15,9.23,8.86,8.86
2021-04-21 04:00:00,8.74,9.21,8.74,9.12
2021-04-21 08:00:00,8.92,8.92,8.53,8.53
2021-04-21 12:00:00,8.63,9.69,8.63,9.5
2021-04-21 16:00:00,9.42,9.42,9.18,9.18
2021-04-21 20:00:00,8.98,9.27,8.84,8.84
2021-04-22 00:00:00,8.86,9.1,8.86,9.1
2021-04-22 04:00:00,9.54,9.54,9.22,9.22
2021-04-22 08:00:00,8.96,8.96,8.63,8.63
2021-04-22 12:00:00,8.76,8.93,8.71,8.88
2021-04-22 16:00:00,8.85,8.85,8.61,8.61
2021-04-22 20:00:00,8.48,8.85,8.48,8.85
2021-04-23 00:00:00,8.96,8.96,8.57,8.72
2021-04-23 04:00:00,8.88,8.88,8.31,8.43
2021-04-23 08:00:00,8.23,8.23,7.53,7.53
2021-04-23 12:00:00,7.55,7.55,6.81,6.81
2021-04-23 16:00:00,6.97,6.97,6.54,6.66
2021-04-23 20:00:00,6.48,7.17,6.48,7.17
2021-04-24 00:00:00,7.43,7.43,6.93,7.03
2021-04-24 04:00:00,7.26,7.52,7.24,7.52
