datetime,open,high,low,close
2021-04-18 04:00:00,5.93,6.06,5.93,6.06
2021-04-18 08:00:00,6.05,6.05,5.92,5.92
2021-04-18 12:00:00,5.91,5.91,5.43,5.43
2021-04-18 16:00:00,4.59,5.02,4.59,5.02
2021-04-18 20:00:00,5.02,5.02,4.7,4.81
2021-04-19 00:00:00,4.7,4.94,4.7,4.94
2021-04-19 04:00:00,5.2,5.2,5.07,5.11
2021-04-19 08:00:00,5.13,5.14,5.1,5.14
2021-04-19 12:00:00,5.07,5.24,5.07,5.23
2021-04-19 16:00:00,5.33,5.33,5.21,5.31
2021-04-19 20:00:00,5.27,5.27,5.0,5.01
2021-04-20 00:00:00,5.03,5.03,4.76,4.76
2021-04-20 04:00:00,4.68,4.93,4.68,4.93
2021-04-20 08:00:00,4.91,4.97,4.86,4.86
2021-04-20 12:00:00,4.75,4.75,4.47,4.47
2021-04-20 16:00:00,4.51,4.72,4.51,4.6
2021-04-20 20:00:00,4.81,5.01,4.8,5.01
2021-04-21 00:00:00,5.0,5.08,4.99,5.04
2021-04-21 04:00:00,4.99,5.11,4.99,5.11
2021-04-21 08:00:00,5.09,5.09,4.96,4.96
2021-04-21 12:00:00,4.99,5.02,4.95,5.01
2021-04-21 16:00:00,4.84,4.91,4.84,4.91
2021-04-21 20:00:00,4.84,4.89,4.77,4.77
2021-04-22 00:00:00,4.74,4.98,4.74,4.98
2021-04-22 04:00:00,5.01,5.01,4.98,4.99
2021-04-22 08:00:00,4.92,4.92,4.74,4.74
2021-04-22 12:00:00,4.75,4.93,4.72,4.83
2021-04-22 16:00:00,4.8,4.94,4.8,4.9
2021-04-22 20:00:00,4.88,5.25,4.88,5.25
2021-04-23 00:00:00,5.18,5.26,5.18,5.23
2021-04-23 04:00:00,5.44,5.44,5.08,5.08
2021-04-23 08:00:00,4.96,4.96,4.86,4.91
2021-04-23 12:00:00,4.94,4.94,4.28,4.32
2021-04-23 16:00:00,4.35,4.35,4.15,4.24
2021-04-23 20:00:00,4.15,4.48,4.15,4.48
2021-04-24 00:00:00,4.37,4.38,4.23,4.37
2021-04-24 04:00:00,4.38,4.52,4.38,4.52
2021-04-24 08:00:00,4.57,4.59,4.44,4.59
2021-04-24 12:00:00,4.43,4.5,4.4,4.48
2021-04-24 16:00:00,4.45,4.52,4.41,4.41
2021-04-24 20:00:00,4.46,4.46,4.24,4.24
2021-04-25 00:00:00,4.31,4.31,4.25,4.25
2021-04-25 04:00:00,4.28,4.38,4.22,4.38
2021-04-25 08:00:00,4.3,4.35,4.26,4.35
2021-04-25 12:00:00,4.26,4.47,4.26,4.35
2021-04-25 16:00:00,4.34,4.39,4.28,4.28
2021-04-25 20:00:00,4.39,4.66,4.39,4.66
2021-04-26 00:00:00,4.67,4.79,4.67,4.76
2021-04-26 04:00:00,4.82,4.82,4.61,4.68
2021-04-26 08:00:00,4.68,4.68,4.39,4.68
2021-04-26 12:00:00,4.8,4.91,4.8,4.91
2021-04-26 16:00:00,4.91,5.03,4.91,5.0
2021-04-26 20:00:00,4.98,5.15,4.97,5.15
2021-04-27 00:00:00,5.12,5.12,5.04,5.04
2021-04-27 04:00:00,5.01,5.04,4.98,4.98
2021-04-27 08:00:00,4.93,4.98,4.84,4.98
2021-04-27 12:00:00,4.98,4.98,4.86,4.86
2021-04-27 16:00:00,4.87,5.04,4.87,5.03
2021-04-27 20:00:00,5.14,5.22,5.14,5.2
2021-04-28 00:00:00,5.17,5.17,5.09,5.15
2021-04-28 04:00:00,5.13,5.13,4.99,4.99
2021-04-28 08:00:00,5.03,5.12,5.03,5.12
2021-04-28 12:00:00,5.18,5.21,5.04,5.04
2021-04-28 16:00:00,5.03,5.03,4.77,4.91
2021-04-28 20:00:00,4.92,4.99,4.8,4.99
2021-04-29 00:00:00,5.01,5.02,4.97,4.97
2021-04-29 04:00:00,4.92,5.04,4.92,4.99
2021-04-29 08:00:00,5.03,5.03,4.85,4.93
2021-04-29 12:00:00,4.91,4.93,4.83,4.92
2021-04-29 16:00:00,4.83,4.89,4.82,4.89
2021-04-29 20:00:00,4.92,5.06,4.92,5.03
2021-04-30 00:00:00,5.06,5.09,5.03,5.09
2021-04-30 04:00:00,5.19,5.54,5.19,5.54
2021-04-30 08:00:00,5.41,5.55,5.41,5.55
2021-04-30 12:00:00,5.42,5.42,5.34,5.37
2021-04-30 16:00:00,5.42,5.47,5.42,5.47
2021-04-30 20:00:00,5.41,5.51,5.32,5.32
2021-05-01 00:00:00,5.34,5.44,5.33,5.4
2021-05-01 04:00:00,5.42,5.43,5.39,5.42
2021-05-01 08:00:00,5.43,5.56,5.37,5.56
