DateTime,Open,High,Low,Close
2021-04-18 20:00:00,80.37,81.95,80.37,81.95
2021-04-19 00:00:00,77.41,81.95,77.41,81.84
2021-04-19 04:00:00,99.57,99.57,93.25,93.25
2021-04-19 08:00:00,95.5,113.08,95.5,113.08
2021-04-19 12:00:00,116.13,130.29,116.13,124.77
2021-04-19 16:00:00,121.88,125.44,118.39,125.44
2021-04-19 20:00:00,120.9,120.9,111.89,111.89
2021-04-20 00:00:00,117.69,117.69,107.33,107.33
2021-04-20 04:00:00,105.47,111.39,105.47,110.55
2021-04-20 08:00:00,112.85,118.55,112.6,112.6
2021-04-20 12:00:00,109.47,109.47,101.44,101.44
2021-04-20 16:00:00,105.25,108.71,100.33,100.33
2021-04-20 20:00:00,101.11,113.02,101.11,113.02
2021-04-21 00:00:00,110.63,111.3,108.8,108.97
2021-04-21 04:00:00,109.77,109.77,108.21,109.66
2021-04-21 08:00:00,111.44,111.44,108.47,108.78
2021-04-21 12:00:00,107.52,107.52,105.74,107.13
2021-04-21 16:00:00,103.94,105.89,103.5,105.89
2021-04-21 20:00:00,104.03,104.03,99.76,99.76
2021-04-22 00:00:00,98.93,104.56,98.93,104.56
2021-04-22 04:00:00,104.99,104.99,101.48,101.48
2021-04-22 08:00:00,102.5,102.5,97.82,97.82
2021-04-22 12:00:00,97.14,98.17,96.35,96.35
2021-04-22 16:00:00,95.87,97.94,95.64,95.88
2021-04-22 20:00:00,95.81,95.81,92.13,94.15
2021-04-23 00:00:00,97.29,101.83,97.29,101.81
2021-04-23 04:00:00,101.21,102.45,97.99,97.99
2021-04-23 08:00:00,96.3,96.3,89.53,90.51
2021-04-23 12:00:00,91.07,91.07,81.08,81.08
2021-04-23 16:00:00,84.66,84.66,77.95,77.95
2021-04-23 20:00:00,76.01,82.23,76.01,82.23
2021-04-24 00:00:00,84.07,84.07,79.34,81.74
2021-04-24 04:00:00,81.08,83.42,80.99,83.42
2021-04-24 08:00:00,83.91,84.31,82.54,84.31
2021-04-24 12:00:00,86.06,86.06,81.99,83.61
2021-04-24 16:00:00,83.6,87.32,83.6,87.32
2021-04-24 20:00:00,86.33,88.05,82.37,82.37
2021-04-25 00:00:00,81.39,83.45,81.31,81.31
2021-04-25 04:00:00,82.98,82.98,81.22,82.3
2021-04-25 08:00:00,81.56,82.44,81.34,81.34
2021-04-25 12:00:00,79.17,81.92,79.17,81.92
2021-04-25 16:00:00,79.92,80.51,78.88,78.88
2021-04-25 20:00:00,79.6,81.65,79.6,80.28
2021-04-26 00:00:00,81.2,85.69,81.2,85.69
2021-04-26 04:00:00,85.96,85.96,82.45,82.45
2021-04-26 08:00:00,80.45,80.45,75.86,78.02
2021-04-26 12:00:00,79.17,85.73,79.17,84.72
2021-04-26 16:00:00,85.78,87.57,84.95,87.57
2021-04-26 20:00:00,87.56,88.25,86.56,87.3
2021-04-27 00:00:00,88.68,88.68,86.66,86.66
2021-04-27 04:00:00,86.76,90.85,86.58,90.85
2021-04-27 08:00:00,89.32,89.32,87.44,87.9
2021-04-27 12:00:00,89.82,93.02,89.82,93.02
2021-04-27 16:00:00,92.29,95.37,92.29,95.37
2021-04-27 20:00:00,93.22,94.7,93.22,94.7
2021-04-28 00:00:00,95.12,95.12,90.28,92.22
2021-04-28 04:00:00,93.43,93.43,91.6,93.16
2021-04-28 08:00:00,93.72,94.61,93.72,93.76
2021-04-28 12:00:00,94.14,97.49,94.14,95.55
2021-04-28 16:00:00,92.81,92.81,88.54,88.54
2021-04-28 20:00:00,90.53,90.53,88.89,89.66
2021-04-29 00:00:00,91.02,91.02,89.59,89.59
2021-04-29 04:00:00,88.94,91.62,88.94,91.62
2021-04-29 08:00:00,91.64,91.64,89.73,90.48
2021-04-29 12:00:00,91.62,92.12,89.77,91.76
2021-04-29 16:00:00,90.93,91.99,89.67,91.99
2021-04-29 20:00:00,91.91,92.45,91.55,92.06
2021-04-30 00:00:00,91.86,91.86,89.93,89.93
2021-04-30 04:00:00,90.04,90.04,87.83,87.83
2021-04-30 08:00:00,88.31,89.4,87.5,89.4
2021-04-30 12:00:00,89.49,89.83,88.4,89.46
2021-04-30 16:00:00,89.14,91.56,89.14,91.56
2021-04-30 20:00:00,91.45,93.86,91.45,92.08
2021-05-01 00:00:00,91.74,97.51,91.74,97.51
2021-05-01 04:00:00,95.04,96.64,95.04,96.64
2021-05-01 08:00:00,96.34,98.88,96.34,97.58
2021-05-01 12:00:00,97.07,98.92,97.03,98.92
2021-05-01 16:00:00,98.48,98.48,97.2,97.2
2021-05-01 20:00:00,96.39,96.39,94.89,96.01
2021-05-02 00:00:00,98.07,98.07,95.72,95.72
2021-05-02 04:00:00,96.38,97.29,96.38,97.29
2021-05-02 08:00:00,96.63,100.38,96.63,100.38
2021-05-02 12:00:00,102.24,106.02,102.24,104.56
2021-05-02 16:00:00,100.93,102.74,100.93,102.55
2021-05-02 20:00:00,101.61,103.16,100.76,103.16
2021-05-03 00:00:00,105.31,105.31,104.44,104.44
2021-05-03 04:00:00,103.6,109.23,103.6,108.27
2021-05-03 08:00:00,108.26,108.26,106.01,106.01
2021-05-03 12:00:00,106.64,111.76,106.64,110.49
2021-05-03 16:00:00,109.34,111.38,109.34,110.57
2021-05-03 20:00:00,111.77,113.06,110.89,110.89
2021-05-04 00:00:00,110.66,110.66,107.84,108.85
2021-05-04 04:00:00,109.28,109.34,107.99,107.99
2021-05-04 08:00:00,107.73,108.19,106.54,108.19
2021-05-04 12:00:00,107.29,107.29,98.63,98.63
2021-05-04 16:00:00,98.5,102.57,98.5,102.57
2021-05-04 20:00:00,101.01,104.22,100.21,104.22
2021-05-05 00:00:00,103.72,103.72,95.01,95.01
2021-05-05 04:00:00,97.03,100.06,95.19,100.06
