datetime,open,high,low,close
2021-04-18 04:00:00,3.59,3.64,3.59,3.64
2021-04-18 08:00:00,3.65,3.68,3.63,3.63
2021-04-18 12:00:00,3.61,3.61,3.38,3.38
2021-04-18 16:00:00,3.39,3.45,3.37,3.37
2021-04-18 20:00:00,3.45,3.45,3.28,3.34
2021-04-19 00:00:00,3.28,3.45,3.28,3.45
2021-04-19 04:00:00,3.41,3.46,3.41,3.46
2021-04-19 08:00:00,3.48,3.56,3.48,3.56
2021-04-19 12:00:00,3.55,3.56,3.54,3.56
2021-04-19 16:00:00,3.6,3.6,3.58,3.59
2021-04-19 20:00:00,3.59,3.59,3.52,3.52
2021-04-20 00:00:00,3.5,3.5,3.36,3.36
2021-04-20 04:00:00,3.34,3.35,3.3,3.35
2021-04-20 08:00:00,3.41,3.45,3.41,3.44
2021-04-20 12:00:00,3.37,3.37,3.24,3.24
2021-04-20 16:00:00,3.3,3.34,3.24,3.24
2021-04-20 20:00:00,3.18,3.41,3.18,3.41
2021-04-21 00:00:00,3.43,3.44,3.42,3.42
2021-04-21 04:00:00,3.45,3.48,3.45,3.48
2021-04-21 08:00:00,3.52,3.56,3.52,3.54
2021-04-21 12:00:00,3.55,3.6,3.55,3.6
2021-04-21 16:00:00,3.55,3.57,3.55,3.57
2021-04-21 20:00:00,3.55,3.59,3.55,3.57
2021-04-22 00:00:00,3.54,3.74,3.54,3.74
2021-04-22 04:00:00,3.8,3.8,3.66,3.66
2021-04-22 08:00:00,3.7,3.7,3.52,3.52
2021-04-22 12:00:00,3.56,3.61,3.56,3.6
2021-04-22 16:00:00,3.59,3.71,3.59,3.71
2021-04-22 20:00:00,3.67,3.67,3.56,3.56
2021-04-23 00:00:00,3.62,3.66,3.6,3.6
2021-04-23 04:00:00,3.61,3.68,3.58,3.58
2021-04-23 08:00:00,3.53,3.53,3.43,3.53
2021-04-23 12:00:00,3.49,3.49,3.23,3.23
2021-04-23 16:00:00,3.34,3.34,3.17,3.2
2021-04-23 20:00:00,3.12,3.32,3.12,3.32
2021-04-24 00:00:00,3.35,3.35,3.2,3.31
2021-04-24 04:00:00,3.37,3.42,3.37,3.42
2021-04-24 08:00:00,3.46,3.46,3.38,3.4
2021-04-24 12:00:00,3.42,3.42,3.36,3.38
2021-04-24 16:00:00,3.4,3.45,3.4,3.45
2021-04-24 20:00:00,3.41,3.41,3.26,3.26
2021-04-25 00:00:00,3.23,3.24,3.23,3.23
2021-04-25 04:00:00,3.28,3.36,3.28,3.36
2021-04-25 08:00:00,3.34,3.39,3.34,3.39
2021-04-25 12:00:00,3.32,3.32,3.28,3.3
2021-04-25 16:00:00,3.25,3.25,3.22,3.22
2021-04-25 20:00:00,3.23,3.31,3.23,3.31
2021-04-26 00:00:00,3.35,3.43,3.35,3.43
2021-04-26 04:00:00,3.42,3.43,3.37,3.37
2021-04-26 08:00:00,3.33,3.33,3.2,3.27
2021-04-26 12:00:00,3.3,3.44,3.3,3.44
2021-04-26 16:00:00,3.44,3.48,3.44,3.48
2021-04-26 20:00:00,3.46,3.53,3.46,3.53
2021-04-27 00:00:00,3.56,3.56,3.55,3.55
2021-04-27 04:00:00,3.56,3.58,3.53,3.58
2021-04-27 08:00:00,3.54,3.54,3.48,3.48
2021-04-27 12:00:00,3.52,3.52,3.48,3.48
2021-04-27 16:00:00,3.46,3.54,3.43,3.54
2021-04-27 20:00:00,3.54,3.57,3.54,3.55
2021-04-28 00:00:00,3.57,3.59,3.55,3.59
2021-04-28 04:00:00,3.62,3.65,3.61,3.65
2021-04-28 08:00:00,3.65,3.66,3.64,3.64
2021-04-28 12:00:00,3.65,3.72,3.65,3.69
2021-04-28 16:00:00,3.66,3.67,3.59,3.59
2021-04-28 20:00:00,3.66,3.66,3.58,3.62
2021-04-29 00:00:00,3.64,3.67,3.64,3.66
2021-04-29 04:00:00,3.65,3.7,3.65,3.7
2021-04-29 08:00:00,3.69,3.69,3.64,3.64
2021-04-29 12:00:00,3.66,3.66,3.6,3.6
2021-04-29 16:00:00,3.6,3.67,3.59,3.67
2021-04-29 20:00:00,3.68,3.7,3.66,3.66
2021-04-30 00:00:00,3.69,3.7,3.69,3.69
2021-04-30 04:00:00,3.71,3.71,3.54,3.54
2021-04-30 08:00:00,3.54,3.57,3.48,3.54
2021-04-30 12:00:00,3.58,3.58,3.52,3.58
2021-04-30 16:00:00,3.6,3.7,3.6,3.7
2021-04-30 20:00:00,3.69,3.7,3.67,3.67
2021-05-01 00:00:00,3.64,3.76,3.64,3.76
2021-05-01 04:00:00,3.74,3.74,3.62,3.62
2021-05-01 08:00:00,3.57,3.59,3.57,3.59
2021-05-01 12:00:00,3.66,3.69,3.61,3.69
2021-05-01 16:00:00,3.7,3.76,3.7,3.76
2021-05-01 20:00:00,3.7,3.73,3.7,3.73
2021-05-02 00:00:00,3.75,3.75,3.67,3.67
2021-05-02 04:00:00,3.68,3.78,3.68,3.78
2021-05-02 08:00:00,3.77,3.79,3.77,3.78
2021-05-02 12:00:00,3.79,3.8,3.79,3.8
2021-05-02 16:00:00,3.74,3.76,3.74,3.75
2021-05-02 20:00:00,3.75,3.75,3.73,3.75
2021-05-03 00:00:00,3.75,3.75,3.65,3.68
2021-05-03 04:00:00,3.68,3.72,3.68,3.72
2021-05-03 08:00:00,3.65,3.65,3.64,3.64
2021-05-03 12:00:00,3.67,3.76,3.67,3.76
2021-05-03 16:00:00,3.77,3.8,3.77,3.78
2021-05-03 20:00:00,3.8,3.85,3.8,3.84
2021-05-04 00:00:00,3.85,3.85,3.82,3.84
2021-05-04 04:00:00,3.84,3.88,3.84,3.87
2021-05-04 08:00:00,3.89,3.91,3.87,3.91
2021-05-04 12:00:00,3.92,3.92,3.74,3.76
2021-05-04 16:00:00,3.7,3.82,3.68,3.68
2021-05-04 20:00:00,3.68,3.81,3.67,3.81
2021-05-05 00:00:00,3.85,3.88,3.76,3.76
2021-05-05 04:00:00,3.74,3.8,3.69,3.8
2021-05-05 08:00:00,3.73,3.73,3.64,3.64
2021-05-05 12:00:00,3.61,3.7,3.61,3.68
2021-05-05 16:00:00,3.65,3.65,3.63,3.63
2021-05-05 20:00:00,3.69,3.76,3.69,3.76
2021-05-06 00:00:00,3.76,3.82,3.76,3.82
2021-05-06 04:00:00,3.77,3.82,3.77,3.8
2021-05-06 08:00:00,3.83,3.83,3.67,3.75
2021-05-06 12:00:00,3.76,3.76,3.71,3.73
2021-05-06 16:00:00,3.72,3.72,3.66,3.66
2021-05-06 20:00:00,3.7,3.77,3.7,3.77
2021-05-07 00:00:00,3.75,3.75,3.72,3.72
2021-05-07 04:00:00,3.7,3.77,3.68,3.69
2021-05-07 08:00:00,3.74,3.74,3.65,3.65
2021-05-07 12:00:00,3.64,3.64,3.59,3.59
2021-05-07 16:00:00,3.61,3.61,3.56,3.6
2021-05-07 20:00:00,3.6,3.64,3.6,3.63
2021-05-08 00:00:00,3.61,3.68,3.61,3.65
2021-05-08 04:00:00,3.67,3.67,3.64,3.64
2021-05-08 08:00:00,3.63,3.64,3.6,3.6
2021-05-08 12:00:00,3.63,3.7,3.63,3.67
2021-05-08 16:00:00,3.66,3.68,3.62,3.62
2021-05-08 20:00:00,3.68,3.73,3.68,3.71
2021-05-09 00:00:00,3.69,3.78,3.69,3.72
2021-05-09 04:00:00,3.8,3.89,3.8,3.89
2021-05-09 08:00:00,3.86,3.95,3.86,3.91
2021-05-09 12:00:00,3.92,3.92,3.83,3.83
2021-05-09 16:00:00,3.82,3.86,3.82,3.86
2021-05-09 20:00:00,3.91,3.94,3.91,3.91
2021-05-10 00:00:00,3.91,3.91,3.79,3.85
2021-05-10 04:00:00,3.84,3.87,3.84,3.87
2021-05-10 08:00:00,3.86,3.89,3.85,3.85
2021-05-10 12:00:00,3.85,3.91,3.85,3.91
2021-05-10 16:00:00,3.93,3.95,3.92,3.95
2021-05-10 20:00:00,3.95,3.97,3.93,3.93
2021-05-11 00:00:00,3.95,3.98,3.94,3.94
2021-05-11 04:00:00,4.01,4.01,3.92,3.92
2021-05-11 08:00:00,3.91,3.91,3.77,3.89
2021-05-11 12:00:00,3.82,3.82,3.72,3.72
2021-05-11 16:00:00,3.77,3.84,3.76,3.84
2021-05-11 20:00:00,3.81,3.9,3.78,3.9
2021-05-12 00:00:00,3.83,3.84,3.83,3.84
2021-05-12 04:00:00,3.83,3.86,3.83,3.86
2021-05-12 08:00:00,3.86,3.9,3.86,3.9
2021-05-12 12:00:00,3.92,4.0,3.92,3.99
2021-05-12 16:00:00,4.01,4.02,4.0,4.02
2021-05-12 20:00:00,3.97,4.03,3.97,4.02
2021-05-13 00:00:00,4.04,4.05,4.02,4.02
2021-05-13 04:00:00,3.97,3.97,3.81,3.81
2021-05-13 08:00:00,3.81,3.88,3.81,3.81
2021-05-13 12:00:00,3.63,3.68,3.63,3.68
2021-05-13 16:00:00,3.59,3.78,3.59,3.78
2021-05-13 20:00:00,3.73,3.73,3.48,3.48
2021-05-14 00:00:00,3.55,3.67,3.55,3.67
2021-05-14 04:00:00,3.58,3.58,3.47,3.47
2021-05-14 08:00:00,3.51,3.59,3.51,3.55
2021-05-14 12:00:00,3.52,3.58,3.52,3.58
2021-05-14 16:00:00,3.57,3.58,3.53,3.58
2021-05-14 20:00:00,3.68,3.78,3.68,3.78
2021-05-15 00:00:00,3.82,3.89,3.82,3.89
2021-05-15 04:00:00,3.91,3.92,3.89,3.9
2021-05-15 08:00:00,3.87,3.9,3.84,3.9
2021-05-15 12:00:00,3.91,3.94,3.87,3.93
2021-05-15 16:00:00,3.91,3.91,3.73,3.73
2021-05-15 20:00:00,3.73,3.73,3.62,3.62
2021-05-16 00:00:00,3.64,3.67,3.61,3.62
2021-05-16 04:00:00,3.61,3.61,3.5,3.5
2021-05-16 08:00:00,3.46,3.5,3.46,3.47
2021-05-16 12:00:00,3.39,3.52,3.39,3.51
2021-05-16 16:00:00,3.52,3.52,3.48,3.51
2021-05-16 20:00:00,3.5,3.58,3.5,3.58
2021-05-17 00:00:00,3.54,3.54,3.38,3.38
2021-05-17 04:00:00,3.35,3.35,3.29,3.29
2021-05-17 08:00:00,3.21,3.3,3.19,3.3
2021-05-17 12:00:00,3.37,3.37,3.22,3.22
2021-05-17 16:00:00,3.14,3.24,3.12,3.24
2021-05-17 20:00:00,3.36,3.41,3.32,3.32
2021-05-18 00:00:00,3.36,3.36,3.17,3.17
2021-05-18 04:00:00,3.1,3.1,2.94,2.94
