DateTime,Open,High,Low,Close
2021-04-18 20:00:00,15.83,15.83,15.75,15.75
2021-04-19 00:00:00,15.24,15.91,15.24,15.91
2021-04-19 04:00:00,16.4,16.4,16.06,16.29
2021-04-19 08:00:00,16.42,17.2,16.42,17.2
2021-04-19 12:00:00,17.3,17.83,17.3,17.83
2021-04-19 16:00:00,18.26,18.26,17.65,17.7
2021-04-19 20:00:00,17.53,17.53,16.51,16.51
2021-04-20 00:00:00,16.72,16.72,15.75,15.75
2021-04-20 04:00:00,15.84,16.51,15.84,16.51
2021-04-20 08:00:00,16.53,16.65,16.22,16.22
2021-04-20 12:00:00,16.07,16.07,15.39,15.39
2021-04-20 16:00:00,17.12,17.12,16.15,16.15
2021-04-20 20:00:00,16.42,16.91,16.42,16.91
2021-04-21 00:00:00,16.99,17.07,16.63,16.63
2021-04-21 04:00:00,16.63,17.31,16.63,17.05
2021-04-21 08:00:00,17.45,17.45,17.16,17.16
2021-04-21 12:00:00,17.54,18.04,17.31,17.95
2021-04-21 16:00:00,17.42,18.44,17.42,18.44
2021-04-21 20:00:00,18.11,18.2,17.45,17.45
2021-04-22 00:00:00,17.0,18.13,17.0,18.13
2021-04-22 04:00:00,17.88,18.64,17.88,18.41
2021-04-22 08:00:00,18.34,18.34,17.72,17.72
2021-04-22 12:00:00,17.37,18.16,17.37,17.97
2021-04-22 16:00:00,17.62,18.02,17.62,18.02
2021-04-22 20:00:00,17.59,17.99,17.59,17.64
2021-04-23 00:00:00,18.05,18.05,17.83,17.83
2021-04-23 04:00:00,18.01,18.01,17.38,17.38
2021-04-23 08:00:00,17.14,17.15,16.84,16.84
2021-04-23 12:00:00,16.6,16.6,15.74,15.89
2021-04-23 16:00:00,15.97,15.97,15.36,15.67
2021-04-23 20:00:00,15.4,16.15,15.4,16.15
2021-04-24 00:00:00,15.87,15.87,15.72,15.83
2021-04-24 04:00:00,15.83,16.25,15.83,16.25
2021-04-24 08:00:00,16.58,16.58,16.07,16.56
2021-04-24 12:00:00,16.23,16.43,15.92,16.43
2021-04-24 16:00:00,16.44,16.95,16.44,16.49
2021-04-24 20:00:00,16.88,16.88,16.05,16.05
2021-04-25 00:00:00,16.31,16.31,16.1,16.1
2021-04-25 04:00:00,16.57,16.66,16.57,16.64
2021-04-25 08:00:00,16.39,16.89,16.39,16.89
2021-04-25 12:00:00,16.46,16.9,16.46,16.9
2021-04-25 16:00:00,16.73,16.75,16.27,16.27
2021-04-25 20:00:00,16.41,16.63,16.41,16.63
2021-04-26 00:00:00,16.68,16.99,16.68,16.99
2021-04-26 04:00:00,16.88,16.92,16.71,16.71
2021-04-26 08:00:00,16.66,16.66,16.24,16.24
2021-04-26 12:00:00,16.61,17.08,16.61,16.96
2021-04-26 16:00:00,17.19,17.48,17.12,17.48
2021-04-26 20:00:00,17.41,17.57,17.24,17.35
2021-04-27 00:00:00,17.48,17.48,17.23,17.29
2021-04-27 04:00:00,17.38,17.47,17.17,17.42
2021-04-27 08:00:00,17.3,17.32,17.19,17.32
2021-04-27 12:00:00,17.48,17.48,17.3,17.4
2021-04-27 16:00:00,17.49,17.79,17.4,17.79
2021-04-27 20:00:00,17.47,17.63,17.47,17.62
2021-04-28 00:00:00,17.75,17.75,17.27,17.48
2021-04-28 04:00:00,17.6,17.6,17.46,17.46
2021-04-28 08:00:00,17.39,17.61,17.39,17.6
2021-04-28 12:00:00,17.71,18.12,17.71,17.71
2021-04-28 16:00:00,17.58,17.58,16.88,16.88
2021-04-28 20:00:00,17.01,17.01,16.91,16.98
2021-04-29 00:00:00,17.17,17.19,16.98,16.98
2021-04-29 04:00:00,17.04,17.26,17.04,17.25
2021-04-29 08:00:00,17.0,17.2,17.0,17.2
2021-04-29 12:00:00,17.31,17.31,17.07,17.17
2021-04-29 16:00:00,16.98,17.21,16.98,17.21
2021-04-29 20:00:00,17.22,18.41,17.22,18.41
2021-04-30 00:00:00,18.28,18.28,17.8,17.8
2021-04-30 04:00:00,18.96,19.64,18.96,19.58
2021-04-30 08:00:00,19.36,19.36,19.06,19.32
2021-04-30 12:00:00,20.9,20.9,20.51,20.78
2021-04-30 16:00:00,21.33,21.72,20.91,20.91
2021-04-30 20:00:00,20.73,20.86,20.46,20.46
2021-05-01 00:00:00,20.66,20.96,20.66,20.76
2021-05-01 04:00:00,20.6,20.89,20.5,20.89
2021-05-01 08:00:00,20.74,20.74,20.5,20.62
2021-05-01 12:00:00,21.31,23.91,20.83,23.91
2021-05-01 16:00:00,26.19,26.19,25.38,25.97
2021-05-01 20:00:00,31.29,31.29,29.37,29.37
2021-05-02 00:00:00,29.51,33.08,29.51,33.08
2021-05-02 04:00:00,35.6,35.98,33.58,33.58
2021-05-02 08:00:00,34.04,34.04,32.26,33.65
2021-05-02 12:00:00,33.87,33.87,32.4,33.42
2021-05-02 16:00:00,32.14,39.93,32.14,39.32
2021-05-02 20:00:00,38.4,38.6,37.48,38.6
2021-05-03 00:00:00,38.24,38.68,37.12,37.12
2021-05-03 04:00:00,36.66,38.2,36.66,38.2
2021-05-03 08:00:00,40.21,40.88,40.13,40.7
2021-05-03 12:00:00,41.89,44.01,41.89,41.93
2021-05-03 16:00:00,41.16,41.55,40.79,41.55
2021-05-03 20:00:00,42.2,42.2,40.44,40.44
2021-05-04 00:00:00,40.72,40.72,38.53,38.53
2021-05-04 04:00:00,38.13,40.23,38.13,39.09
2021-05-04 08:00:00,38.94,39.29,38.22,39.29
