datetime,open,high,low,close
2021-04-18 04:00:00,9.49,9.63,9.49,9.63
2021-04-18 08:00:00,9.65,9.68,9.45,9.45
2021-04-18 12:00:00,9.36,9.36,8.5,8.5
2021-04-18 16:00:00,7.9,7.99,7.72,7.94
2021-04-18 20:00:00,8.19,8.19,7.71,7.73
2021-04-19 00:00:00,7.33,7.92,7.33,7.89
2021-04-19 04:00:00,8.15,8.15,7.97,8.04
2021-04-19 08:00:00,8.13,8.34,8.13,8.34
2021-04-19 12:00:00,8.4,8.6,8.4,8.44
2021-04-19 16:00:00,8.59,8.77,8.55,8.77
2021-04-19 20:00:00,8.78,8.78,8.45,8.45
2021-04-20 00:00:00,8.93,8.93,8.18,8.18
2021-04-20 04:00:00,7.92,8.19,7.92,8.19
2021-04-20 08:00:00,8.25,8.25,7.95,7.95
2021-04-20 12:00:00,7.71,7.71,7.17,7.17
2021-04-20 16:00:00,7.3,7.44,7.05,7.05
2021-04-20 20:00:00,7.24,7.72,7.24,7.72
2021-04-21 00:00:00,7.76,7.87,7.68,7.68
2021-04-21 04:00:00,7.7,7.94,7.7,7.94
2021-04-21 08:00:00,8.01,8.01,7.82,7.82
2021-04-21 12:00:00,7.85,8.04,7.7,8.04
2021-04-21 16:00:00,7.82,7.92,7.77,7.92
2021-04-21 20:00:00,7.8,7.88,7.56,7.56
2021-04-22 00:00:00,7.47,8.01,7.47,8.01
2021-04-22 04:00:00,8.02,8.33,8.02,8.33
2021-04-22 08:00:00,8.1,8.1,7.64,7.64
2021-04-22 12:00:00,7.59,7.84,7.46,7.64
2021-04-22 16:00:00,7.66,7.76,7.65,7.65
2021-04-22 20:00:00,7.47,7.85,7.47,7.85
2021-04-23 00:00:00,7.94,7.96,7.71,7.96
2021-04-23 04:00:00,7.97,8.01,7.74,7.76
2021-04-23 08:00:00,7.63,7.63,7.06,7.06
2021-04-23 12:00:00,7.03,7.03,6.24,6.24
2021-04-23 16:00:00,6.18,6.18,6.02,6.03
2021-04-23 20:00:00,5.82,6.27,5.82,6.27
2021-04-24 00:00:00,6.33,6.33,6.09,6.12
2021-04-24 04:00:00,6.3,6.43,6.26,6.43
2021-04-24 08:00:00,6.49,6.49,6.29,6.37
2021-04-24 12:00:00,6.57,6.57,6.28,6.53
2021-04-24 16:00:00,6.43,6.59,6.43,6.54
2021-04-24 20:00:00,6.38,6.46,6.12,6.12
2021-04-25 00:00:00,5.98,6.14,5.98,6.06
2021-04-25 04:00:00,6.22,6.22,6.12,6.2
2021-04-25 08:00:00,6.21,6.23,6.15,6.15
2021-04-25 12:00:00,5.99,6.36,5.99,6.36
2021-04-25 16:00:00,6.15,6.27,6.12,6.12
2021-04-25 20:00:00,6.18,6.42,6.18,6.36
2021-04-26 00:00:00,6.44,6.63,6.44,6.63
2021-04-26 04:00:00,6.58,6.58,6.34,6.34
2021-04-26 08:00:00,6.22,6.22,5.9,6.07
2021-04-26 12:00:00,6.16,6.64,6.16,6.59
2021-04-26 16:00:00,6.69,6.88,6.65,6.88
2021-04-26 20:00:00,6.85,6.94,6.77,6.93
2021-04-27 00:00:00,6.99,6.99,6.88,6.88
2021-04-27 04:00:00,7.01,7.04,6.86,7.04
2021-04-27 08:00:00,6.98,6.98,6.84,6.93
2021-04-27 12:00:00,7.09,7.39,7.09,7.3
2021-04-27 16:00:00,7.3,7.46,7.3,7.46
2021-04-27 20:00:00,7.36,7.49,7.33,7.49
2021-04-28 00:00:00,7.5,7.5,7.23,7.38
2021-04-28 04:00:00,7.41,7.41,7.32,7.37
2021-04-28 08:00:00,7.38,7.49,7.38,7.47
2021-04-28 12:00:00,7.53,7.78,7.53,7.6
2021-04-28 16:00:00,7.51,7.51,7.12,7.23
2021-04-28 20:00:00,7.24,7.34,7.12,7.34
2021-04-29 00:00:00,7.4,7.4,7.26,7.28
2021-04-29 04:00:00,7.27,7.47,7.27,7.43
2021-04-29 08:00:00,7.5,7.5,7.24,7.34
2021-04-29 12:00:00,7.38,7.38,7.23,7.32
2021-04-29 16:00:00,7.26,7.32,7.16,7.32
2021-04-29 20:00:00,7.33,7.38,7.26,7.37
2021-04-30 00:00:00,7.36,7.36,7.21,7.21
2021-04-30 04:00:00,7.23,7.23,7.02,7.05
2021-04-30 08:00:00,7.04,7.23,7.04,7.23
2021-04-30 12:00:00,7.26,7.28,7.13,7.24
2021-04-30 16:00:00,7.33,7.55,7.33,7.55
2021-04-30 20:00:00,7.57,7.66,7.49,7.49
2021-05-01 00:00:00,7.51,7.73,7.51,7.73
2021-05-01 04:00:00,7.64,7.72,7.64,7.72
2021-05-01 08:00:00,7.76,7.76,7.67,7.67
2021-05-01 12:00:00,7.73,7.85,7.69,7.83
2021-05-01 16:00:00,7.82,7.82,7.76,7.76
2021-05-01 20:00:00,7.87,7.87,7.66,7.74
2021-05-02 00:00:00,7.81,7.81,7.7,7.7
