datetime,open,high,low,close
2021-04-18 04:00:00,23.25,23.31,23.25,23.31
2021-04-18 08:00:00,23.37,24.51,23.37,24.31
2021-04-18 12:00:00,24.46,24.47,20.78,20.78
2021-04-18 16:00:00,21.96,22.15,21.2,21.71
2021-04-18 20:00:00,22.53,22.53,20.67,21.08
2021-04-19 00:00:00,19.57,21.06,19.57,21.06
2021-04-19 04:00:00,21.17,21.69,21.17,21.65
2021-04-19 08:00:00,21.69,21.99,21.69,21.99
2021-04-19 12:00:00,21.99,23.83,21.99,23.83
2021-04-19 16:00:00,24.36,24.94,24.29,24.94
2021-04-19 20:00:00,25.07,25.07,23.61,23.61
2021-04-20 00:00:00,24.34,24.34,22.86,22.86
2021-04-20 04:00:00,22.19,22.86,22.19,22.82
2021-04-20 08:00:00,22.88,23.13,22.88,23.01
2021-04-20 12:00:00,22.63,22.63,21.48,21.48
2021-04-20 16:00:00,21.81,22.67,21.63,21.63
2021-04-20 20:00:00,21.79,23.03,21.79,23.03
2021-04-21 00:00:00,23.41,24.13,23.4,23.4
2021-04-21 04:00:00,23.83,26.28,23.83,26.28
2021-04-21 08:00:00,26.97,26.97,26.13,26.19
2021-04-21 12:00:00,27.02,28.4,27.02,28.28
2021-04-21 16:00:00,27.15,28.48,27.15,28.48
2021-04-21 20:00:00,27.77,27.77,27.12,27.12
2021-04-22 00:00:00,26.48,28.68,26.48,28.68
2021-04-22 04:00:00,28.42,28.42,27.47,27.58
2021-04-22 08:00:00,27.77,27.77,26.49,26.49
2021-04-22 12:00:00,26.18,27.02,26.18,26.59
2021-04-22 16:00:00,26.9,27.33,26.85,27.16
2021-04-22 20:00:00,27.06,27.06,26.34,26.84
2021-04-23 00:00:00,27.71,27.82,27.39,27.82
2021-04-23 04:00:00,28.04,28.25,26.99,26.99
2021-04-23 08:00:00,26.62,26.62,25.11,25.11
2021-04-23 12:00:00,25.53,25.53,23.24,23.88
2021-04-23 16:00:00,25.25,25.25,23.98,23.98
2021-04-23 20:00:00,22.95,25.22,22.95,25.22
2021-04-24 00:00:00,26.2,26.2,24.71,25.28
2021-04-24 04:00:00,25.31,26.5,25.22,26.5
2021-04-24 08:00:00,26.56,26.58,25.9,25.99
2021-04-24 12:00:00,27.03,27.03,25.77,26.26
2021-04-24 16:00:00,27.75,27.93,27.75,27.93
2021-04-24 20:00:00,27.47,27.83,26.51,26.51
2021-04-25 00:00:00,26.05,27.04,26.05,26.45
2021-04-25 04:00:00,27.08,27.75,27.08,27.75
2021-04-25 08:00:00,27.8,29.12,27.8,29.12
2021-04-25 12:00:00,28.31,28.55,28.16,28.31
2021-04-25 16:00:00,28.05,28.05,27.4,27.4
2021-04-25 20:00:00,27.52,28.39,27.52,28.28
2021-04-26 00:00:00,29.03,31.31,29.03,31.31
2021-04-26 04:00:00,30.5,31.1,30.5,30.67
2021-04-26 08:00:00,30.22,30.22,28.21,29.85
2021-04-26 12:00:00,30.22,32.94,30.22,32.43
2021-04-26 16:00:00,33.3,34.19,33.0,34.19
2021-04-26 20:00:00,33.5,34.2,33.5,33.83
2021-04-27 00:00:00,34.21,34.21,32.77,32.77
2021-04-27 04:00:00,32.49,33.79,32.49,33.79
2021-04-27 08:00:00,33.5,33.5,32.82,33.08
2021-04-27 12:00:00,33.24,33.24,32.72,32.85
2021-04-27 16:00:00,32.49,33.41,32.3,33.41
2021-04-27 20:00:00,33.44,35.76,33.44,35.76
2021-04-28 00:00:00,36.09,36.09,34.9,35.34
2021-04-28 04:00:00,35.57,35.57,34.9,34.98
2021-04-28 08:00:00,34.81,35.83,34.81,35.83
2021-04-28 12:00:00,35.88,36.52,35.88,35.93
2021-04-28 16:00:00,35.31,35.31,34.47,34.47
2021-04-28 20:00:00,35.2,35.89,35.2,35.53
2021-04-29 00:00:00,36.04,36.04,35.36,35.36
2021-04-29 04:00:00,35.58,36.11,35.58,36.11
2021-04-29 08:00:00,36.09,36.25,35.81,35.81
2021-04-29 12:00:00,36.08,39.32,36.08,39.32
2021-04-29 16:00:00,39.26,39.77,38.51,39.77
2021-04-29 20:00:00,40.41,42.54,40.16,42.54
2021-04-30 00:00:00,42.21,43.37,42.21,42.38
2021-04-30 04:00:00,41.84,41.84,40.01,40.25
2021-04-30 08:00:00,40.69,41.5,40.69,41.5
2021-04-30 12:00:00,42.46,42.51,41.66,42.51
2021-04-30 16:00:00,43.05,43.2,42.45,43.2
2021-04-30 20:00:00,43.33,43.74,42.99,42.99
2021-05-01 00:00:00,42.35,42.35,41.5,42.05
2021-05-01 04:00:00,41.02,42.11,41.02,42.11
2021-05-01 08:00:00,42.13,42.13,40.57,40.57
2021-05-01 12:00:00,41.03,41.49,40.43,41.49
2021-05-01 16:00:00,41.91,41.91,40.54,40.54
2021-05-01 20:00:00,40.43,40.43,40.09,40.31
2021-05-02 00:00:00,40.87,40.87,39.55,39.55
2021-05-02 04:00:00,39.34,40.1,39.34,40.1
2021-05-02 08:00:00,39.6,39.6,38.41,38.63
2021-05-02 12:00:00,38.32,38.5,37.62,37.62
2021-05-02 16:00:00,36.94,38.5,36.94,38.5
2021-05-02 20:00:00,38.31,39.07,37.72,39.07
2021-05-03 00:00:00,39.65,42.23,39.65,42.23
2021-05-03 04:00:00,41.26,41.26,40.7,41.09
2021-05-03 08:00:00,41.2,41.41,40.83,40.83
2021-05-03 12:00:00,41.06,41.26,40.66,40.66
2021-05-03 16:00:00,40.23,40.37,39.82,40.37
2021-05-03 20:00:00,40.38,40.38,39.89,39.95
2021-05-04 00:00:00,40.81,42.08,40.81,41.87
2021-05-04 04:00:00,42.26,42.9,42.26,42.7
2021-05-04 08:00:00,42.47,42.47,41.66,41.74
2021-05-04 12:00:00,41.07,41.07,38.32,38.32
2021-05-04 16:00:00,39.48,40.38,39.44,39.44
2021-05-04 20:00:00,38.86,39.64,38.62,39.64
2021-05-05 00:00:00,39.33,39.33,36.21,36.21
2021-05-05 04:00:00,36.86,38.44,36.86,38.44
2021-05-05 08:00:00,38.36,38.36,37.23,37.23
2021-05-05 12:00:00,36.56,38.53,36.56,38.31
2021-05-05 16:00:00,37.91,37.91,37.41,37.87
2021-05-05 20:00:00,40.33,40.33,40.21,40.22
2021-05-06 00:00:00,39.47,40.03,39.47,39.96
2021-05-06 04:00:00,39.02,39.11,39.01,39.01
2021-05-06 08:00:00,39.03,39.03,38.72,38.88
2021-05-06 12:00:00,39.02,39.02,37.23,37.69
2021-05-06 16:00:00,37.54,37.92,37.28,37.28
2021-05-06 20:00:00,37.37,37.87,37.37,37.87
2021-05-07 00:00:00,37.95,37.95,37.57,37.62
2021-05-07 04:00:00,37.05,37.05,36.43,36.43
2021-05-07 08:00:00,36.63,36.78,36.29,36.78
2021-05-07 12:00:00,36.64,36.64,34.59,34.59
2021-05-07 16:00:00,34.97,35.81,34.95,35.81
2021-05-07 20:00:00,35.44,35.8,35.44,35.63
2021-05-08 00:00:00,35.69,37.01,35.69,37.01
2021-05-08 04:00:00,37.43,37.43,37.13,37.15
2021-05-08 08:00:00,36.42,36.69,35.62,35.62
2021-05-08 12:00:00,35.95,36.7,35.95,36.7
2021-05-08 16:00:00,36.7,37.02,36.7,36.76
2021-05-08 20:00:00,36.87,38.27,36.87,37.82
2021-05-09 00:00:00,38.08,38.67,37.9,38.67
2021-05-09 04:00:00,38.4,38.57,37.89,37.89
2021-05-09 08:00:00,37.93,37.93,36.73,36.73
2021-05-09 12:00:00,36.81,37.22,36.57,37.22
2021-05-09 16:00:00,37.05,37.05,36.47,37.04
2021-05-09 20:00:00,37.01,39.36,37.01,39.36
2021-05-10 00:00:00,39.0,39.0,38.4,38.94
2021-05-10 04:00:00,38.81,38.9,38.44,38.81
2021-05-10 08:00:00,38.46,38.71,38.39,38.39
2021-05-10 12:00:00,38.36,39.59,38.36,39.59
