datetime,open,high,low,close
2021-04-18 04:00:00,3.12,3.12,3.05,3.05
2021-04-18 08:00:00,3.13,3.27,3.08,3.08
2021-04-18 12:00:00,3.21,3.3,3.21,3.23
2021-04-18 16:00:00,2.91,3.15,2.85,3.13
2021-04-18 20:00:00,3.09,3.09,2.95,3.05
2021-04-19 00:00:00,2.94,3.1,2.94,3.08
2021-04-19 04:00:00,3.0,3.21,3.0,3.21
2021-04-19 08:00:00,3.25,3.28,3.24,3.28
2021-04-19 12:00:00,3.31,3.42,3.31,3.42
2021-04-19 16:00:00,3.4,3.62,3.4,3.62
2021-04-19 20:00:00,3.79,3.99,3.78,3.99
2021-04-20 00:00:00,4.11,4.35,4.11,4.13
2021-04-20 04:00:00,4.22,4.6,4.22,4.6
2021-04-20 08:00:00,4.93,4.93,4.42,4.79
2021-04-20 12:00:00,4.94,4.94,4.51,4.51
2021-04-20 16:00:00,4.43,4.71,4.28,4.71
2021-04-20 20:00:00,4.71,4.77,4.53,4.53
2021-04-21 00:00:00,4.52,4.52,3.94,4.17
2021-04-21 04:00:00,4.43,4.52,4.15,4.52
2021-04-21 08:00:00,4.47,4.47,4.34,4.47
2021-04-21 12:00:00,4.48,4.58,4.45,4.58
2021-04-21 16:00:00,4.56,4.69,4.52,4.67
2021-04-21 20:00:00,4.76,4.85,4.76,4.85
2021-04-22 00:00:00,4.76,5.06,4.76,5.06
2021-04-22 04:00:00,5.12,5.9,5.12,5.9
2021-04-22 08:00:00,5.84,6.61,5.84,6.5
2021-04-22 12:00:00,6.48,7.22,6.48,7.22
2021-04-22 16:00:00,7.21,7.49,7.21,7.37
2021-04-22 20:00:00,7.31,7.32,7.26,7.32
2021-04-23 00:00:00,7.32,7.53,7.32,7.53
2021-04-23 04:00:00,7.56,7.56,7.06,7.06
2021-04-23 08:00:00,7.21,7.67,7.14,7.67
2021-04-23 12:00:00,8.2,9.04,8.2,9.04
2021-04-23 16:00:00,8.88,8.88,8.28,8.57
2021-04-23 20:00:00,8.51,10.0,8.51,10.0
2021-04-24 00:00:00,12.07,13.31,11.76,12.87
2021-04-24 04:00:00,13.69,16.12,13.69,15.93
2021-04-24 08:00:00,13.32,14.63,13.07,13.07
2021-04-24 12:00:00,13.06,13.06,11.28,11.28
2021-04-24 16:00:00,12.2,13.76,12.2,13.49
2021-04-24 20:00:00,12.98,13.69,12.57,12.57
2021-04-25 00:00:00,12.48,12.48,11.17,11.17
2021-04-25 04:00:00,11.02,11.44,8.39,11.44
2021-04-25 08:00:00,10.94,11.35,10.59,11.35
2021-04-25 12:00:00,11.47,11.96,11.17,11.96
2021-04-25 16:00:00,11.1,11.1,9.53,9.53
2021-04-25 20:00:00,9.14,9.53,7.73,7.73
2021-04-26 00:00:00,8.79,9.79,8.79,9.79
2021-04-26 04:00:00,9.49,9.79,8.91,9.01
2021-04-26 08:00:00,8.78,8.78,7.92,8.22
2021-04-26 12:00:00,8.14,8.14,7.16,7.54
2021-04-26 16:00:00,8.09,8.22,7.97,8.04
2021-04-26 20:00:00,7.7,9.2,7.7,9.2
2021-04-27 00:00:00,9.94,9.94,9.6,9.6
2021-04-27 04:00:00,8.75,9.32,8.75,9.29
2021-04-27 08:00:00,9.0,9.35,9.0,9.21
2021-04-27 12:00:00,9.33,9.77,9.33,9.59
