datetime,open,high,low,close
2021-04-18 04:00:00,43.12,43.72,43.12,43.72
2021-04-18 08:00:00,43.52,43.93,43.5,43.66
2021-04-18 12:00:00,42.27,42.27,38.47,38.47
2021-04-18 16:00:00,35.61,36.31,35.61,35.9
2021-04-18 20:00:00,36.64,36.64,35.24,35.69
2021-04-19 00:00:00,34.69,36.54,34.69,36.54
2021-04-19 04:00:00,36.45,36.81,36.26,36.7
2021-04-19 08:00:00,37.27,37.77,37.27,37.77
2021-04-19 12:00:00,37.32,38.03,37.32,38.02
2021-04-19 16:00:00,38.23,38.23,37.76,37.99
2021-04-19 20:00:00,37.87,37.87,35.95,35.95
2021-04-20 00:00:00,36.59,36.59,34.4,34.77
2021-04-20 04:00:00,34.4,35.73,34.4,35.63
2021-04-20 08:00:00,35.92,35.92,35.41,35.41
2021-04-20 12:00:00,34.82,34.82,32.87,32.87
2021-04-20 16:00:00,33.6,33.88,31.86,31.86
2021-04-20 20:00:00,32.08,34.52,32.08,34.52
2021-04-21 00:00:00,34.27,34.81,34.0,34.12
2021-04-21 04:00:00,34.07,35.21,34.07,35.21
2021-04-21 08:00:00,35.63,35.63,34.75,34.75
2021-04-21 12:00:00,35.41,35.41,34.85,35.28
2021-04-21 16:00:00,34.43,34.85,34.29,34.85
2021-04-21 20:00:00,34.72,34.73,33.91,33.91
2021-04-22 00:00:00,33.46,35.15,33.46,35.15
2021-04-22 04:00:00,35.92,35.92,35.57,35.57
2021-04-22 08:00:00,36.13,36.13,34.53,34.53
2021-04-22 12:00:00,34.02,34.02,33.66,33.85
2021-04-22 16:00:00,33.58,34.65,33.58,34.65
2021-04-22 20:00:00,34.64,34.64,33.48,34.54
2021-04-23 00:00:00,35.24,35.77,34.83,35.77
2021-04-23 04:00:00,35.85,36.3,35.12,35.12
2021-04-23 08:00:00,34.5,34.5,33.08,33.08
2021-04-23 12:00:00,33.1,33.1,29.23,29.23
2021-04-23 16:00:00,30.2,30.2,29.23,29.42
2021-04-23 20:00:00,28.77,30.6,28.77,30.6
2021-04-24 00:00:00,30.93,32.05,30.42,32.05
2021-04-24 04:00:00,31.42,32.15,31.42,32.15
2021-04-24 08:00:00,32.08,32.08,31.39,31.5
2021-04-24 12:00:00,32.38,32.38,30.9,31.34
2021-04-24 16:00:00,31.56,32.14,31.56,31.79
2021-04-24 20:00:00,31.63,31.85,30.37,30.37
