datetime,open,high,low,close
2021-04-18 04:00:00,17.62,17.8,17.62,17.8
2021-04-18 08:00:00,17.8,18.04,17.8,17.9
2021-04-18 12:00:00,17.36,17.36,15.27,15.27
2021-04-18 16:00:00,14.84,15.02,14.44,14.82
2021-04-18 20:00:00,15.17,15.17,13.8,14.11
2021-04-19 00:00:00,13.31,14.76,13.31,14.76
2021-04-19 04:00:00,16.1,16.1,15.33,15.64
2021-04-19 08:00:00,15.93,17.18,15.93,17.18
2021-04-19 12:00:00,18.31,20.75,18.31,20.35
2021-04-19 16:00:00,20.16,20.58,19.51,20.58
2021-04-19 20:00:00,19.87,19.87,18.66,18.66
2021-04-20 00:00:00,19.57,19.57,18.24,18.24
2021-04-20 04:00:00,17.82,19.44,17.82,18.88
2021-04-20 08:00:00,19.76,20.13,18.8,18.8
2021-04-20 12:00:00,18.3,18.3,16.84,16.84
2021-04-20 16:00:00,17.08,17.81,16.47,16.47
2021-04-20 20:00:00,16.72,18.37,16.72,18.37
2021-04-21 00:00:00,17.93,18.04,17.45,17.45
2021-04-21 04:00:00,17.49,17.76,17.37,17.76
2021-04-21 08:00:00,18.08,18.08,17.67,17.67
2021-04-21 12:00:00,17.32,17.32,16.93,17.25
2021-04-21 16:00:00,16.77,17.04,16.75,17.04
2021-04-21 20:00:00,16.74,16.82,16.2,16.2
2021-04-22 00:00:00,15.99,16.87,15.99,16.87
2021-04-22 04:00:00,16.85,16.85,16.56,16.56
2021-04-22 08:00:00,16.73,16.73,15.92,15.92
2021-04-22 12:00:00,15.83,15.95,15.46,15.46
2021-04-22 16:00:00,15.32,15.86,15.32,15.5
2021-04-22 20:00:00,15.01,15.27,15.01,15.07
2021-04-23 00:00:00,15.48,15.98,15.48,15.81
2021-04-23 04:00:00,15.77,16.03,15.29,15.29
2021-04-23 08:00:00,14.99,14.99,13.63,13.63
2021-04-23 12:00:00,13.55,13.55,11.56,11.56
2021-04-23 16:00:00,12.29,12.29,11.47,11.47
2021-04-23 20:00:00,10.94,12.06,10.94,12.06
2021-04-24 00:00:00,12.46,12.46,11.76,12.31
2021-04-24 04:00:00,12.26,12.64,12.26,12.64
2021-04-24 08:00:00,12.73,12.73,12.26,12.46
2021-04-24 12:00:00,13.15,13.15,12.13,12.44
2021-04-24 16:00:00,12.58,13.02,12.58,13.02
2021-04-24 20:00:00,12.6,12.68,11.89,11.89
2021-04-25 00:00:00,11.59,11.97,11.59,11.81
2021-04-25 04:00:00,12.09,12.09,11.91,12.09
2021-04-25 08:00:00,12.01,12.16,12.01,12.04
2021-04-25 12:00:00,11.63,12.14,11.61,12.14
2021-04-25 16:00:00,11.88,11.95,11.69,11.69
2021-04-25 20:00:00,11.88,12.34,11.88,12.25
2021-04-26 00:00:00,12.31,13.02,12.31,12.92
2021-04-26 04:00:00,12.85,12.87,12.45,12.45
2021-04-26 08:00:00,12.22,12.22,11.41,11.85
2021-04-26 12:00:00,11.89,12.96,11.89,12.74
2021-04-26 16:00:00,12.95,13.52,12.86,13.52
2021-04-26 20:00:00,13.31,13.33,13.02,13.22
2021-04-27 00:00:00,13.45,13.45,13.19,13.19
2021-04-27 04:00:00,13.37,13.53,13.14,13.51
2021-04-27 08:00:00,13.4,13.84,13.11,13.84
2021-04-27 12:00:00,13.97,14.73,13.97,14.69
2021-04-27 16:00:00,14.64,15.08,14.64,15.08
2021-04-27 20:00:00,14.7,14.95,14.67,14.95
