DateTime,Open,High,Low,Close
2021-04-18 20:00:00,1.28,1.28,1.28,1.28
2021-04-19 00:00:00,1.19,1.32,1.19,1.32
2021-04-19 04:00:00,1.33,1.34,1.3,1.32
2021-04-19 08:00:00,1.33,1.45,1.33,1.45
2021-04-19 12:00:00,1.41,1.44,1.41,1.44
2021-04-19 16:00:00,1.47,1.51,1.47,1.5
2021-04-19 20:00:00,1.46,1.46,1.36,1.36
2021-04-20 00:00:00,1.41,1.41,1.28,1.28
2021-04-20 04:00:00,1.29,1.37,1.29,1.36
2021-04-20 08:00:00,1.36,1.38,1.33,1.33
2021-04-20 12:00:00,1.31,1.31,1.24,1.24
2021-04-20 16:00:00,1.3,1.31,1.22,1.22
2021-04-20 20:00:00,1.24,1.33,1.24,1.33
2021-04-21 00:00:00,1.32,1.33,1.3,1.32
2021-04-21 04:00:00,1.32,1.38,1.32,1.38
2021-04-21 08:00:00,1.39,1.43,1.37,1.37
2021-04-21 12:00:00,1.38,1.46,1.37,1.46
2021-04-21 16:00:00,1.41,1.43,1.41,1.42
2021-04-21 20:00:00,1.41,1.41,1.32,1.32
2021-04-22 00:00:00,1.3,1.39,1.3,1.39
2021-04-22 04:00:00,1.4,1.4,1.36,1.36
2021-04-22 08:00:00,1.38,1.38,1.31,1.31
2021-04-22 12:00:00,1.31,1.32,1.3,1.31
2021-04-22 16:00:00,1.31,1.33,1.31,1.32
2021-04-22 20:00:00,1.32,1.32,1.27,1.28
2021-04-23 00:00:00,1.32,1.33,1.31,1.33
2021-04-23 04:00:00,1.32,1.39,1.32,1.33
2021-04-23 08:00:00,1.3,1.3,1.16,1.16
2021-04-23 12:00:00,1.17,1.17,1.03,1.03
2021-04-23 16:00:00,1.08,1.08,1.04,1.05
2021-04-23 20:00:00,1.03,1.12,1.03,1.12
2021-04-24 00:00:00,1.15,1.15,1.07,1.12
2021-04-24 04:00:00,1.11,1.11,1.09,1.11
2021-04-24 08:00:00,1.13,1.13,1.11,1.13
2021-04-24 12:00:00,1.17,1.17,1.11,1.13
2021-04-24 16:00:00,1.13,1.15,1.13,1.14
2021-04-24 20:00:00,1.13,1.13,1.07,1.07
2021-04-25 00:00:00,1.04,1.07,1.04,1.05
2021-04-25 04:00:00,1.09,1.09,1.07,1.09
2021-04-25 08:00:00,1.07,1.1,1.07,1.08
2021-04-25 12:00:00,1.05,1.07,1.05,1.07
2021-04-25 16:00:00,1.05,1.05,1.03,1.03
2021-04-25 20:00:00,1.03,1.06,1.03,1.04
2021-04-26 00:00:00,1.06,1.1,1.06,1.1
2021-04-26 04:00:00,1.14,1.14,1.09,1.09
2021-04-26 08:00:00,1.07,1.07,0.985274,1.02
2021-04-26 12:00:00,1.03,1.14,1.03,1.12
2021-04-26 16:00:00,1.13,1.2,1.13,1.2
2021-04-26 20:00:00,1.18,1.18,1.16,1.18
2021-04-27 00:00:00,1.22,1.25,1.22,1.24
2021-04-27 04:00:00,1.25,1.32,1.25,1.32
2021-04-27 08:00:00,1.33,1.33,1.28,1.31
2021-04-27 12:00:00,1.36,1.43,1.36,1.43
2021-04-27 16:00:00,1.42,1.43,1.41,1.43
2021-04-27 20:00:00,1.4,1.42,1.38,1.42
2021-04-28 00:00:00,1.44,1.44,1.35,1.39
