DateTime,Open,High,Low,Close
2021-04-18 20:00:00,26.38,26.7,26.38,26.7
2021-04-19 00:00:00,25.31,27.25,25.31,27.25
2021-04-19 04:00:00,28.17,30.22,27.49,30.22
2021-04-19 08:00:00,30.19,32.47,30.19,32.47
2021-04-19 12:00:00,32.21,32.21,30.74,30.77
2021-04-19 16:00:00,31.65,31.65,30.47,30.61
2021-04-19 20:00:00,30.98,32.74,30.48,32.74
2021-04-20 00:00:00,33.36,33.62,31.7,31.7
2021-04-20 04:00:00,30.53,35.16,30.53,34.81
2021-04-20 08:00:00,34.71,34.71,32.37,32.37
2021-04-20 12:00:00,31.13,31.13,29.57,29.94
2021-04-20 16:00:00,30.79,31.5,30.05,30.05
2021-04-20 20:00:00,29.77,31.32,29.77,31.32
2021-04-21 00:00:00,30.81,30.93,29.84,29.84
2021-04-21 04:00:00,29.64,31.41,29.64,31.41
2021-04-21 08:00:00,31.94,31.94,31.73,31.73
2021-04-21 12:00:00,31.69,32.4,31.33,32.4
2021-04-21 16:00:00,32.89,32.89,32.15,32.15
2021-04-21 20:00:00,31.63,31.63,30.58,30.58
2021-04-22 00:00:00,30.71,34.85,30.71,34.85
2021-04-22 04:00:00,34.25,34.25,33.08,33.08
2021-04-22 08:00:00,33.45,34.1,32.36,32.36
2021-04-22 12:00:00,32.31,35.69,32.31,35.69
2021-04-22 16:00:00,36.21,37.72,35.9,37.72
2021-04-22 20:00:00,37.14,37.22,36.13,36.76
2021-04-23 00:00:00,36.54,37.6,36.48,37.6
2021-04-23 04:00:00,38.81,39.52,37.59,39.2
2021-04-23 08:00:00,38.46,40.23,36.17,40.23
2021-04-23 12:00:00,38.97,38.97,35.77,35.77
2021-04-23 16:00:00,36.42,36.42,34.28,34.87
2021-04-23 20:00:00,32.96,34.7,32.96,34.4
2021-04-24 00:00:00,35.35,36.16,34.6,36.16
2021-04-24 04:00:00,35.46,35.72,34.81,35.72
2021-04-24 08:00:00,36.11,37.24,36.05,36.05
2021-04-24 12:00:00,37.49,37.49,35.23,35.75
2021-04-24 16:00:00,35.6,36.7,35.6,36.7
2021-04-24 20:00:00,35.93,37.12,35.93,36.39
2021-04-25 00:00:00,35.24,36.45,35.24,36.21
2021-04-25 04:00:00,36.98,41.41,36.98,41.41
2021-04-25 08:00:00,41.29,42.67,40.69,40.69
2021-04-25 12:00:00,40.74,43.02,40.74,42.14
2021-04-25 16:00:00,41.25,41.25,40.31,40.31
2021-04-25 20:00:00,40.86,41.89,40.86,41.65
2021-04-26 00:00:00,41.91,44.88,41.91,44.88
2021-04-26 04:00:00,46.3,46.3,44.24,44.24
2021-04-26 08:00:00,44.17,47.54,42.92,47.54
2021-04-26 12:00:00,47.66,47.66,45.49,46.44
2021-04-26 16:00:00,47.13,47.13,46.26,46.26
2021-04-26 20:00:00,47.88,47.88,46.45,46.45
2021-04-27 00:00:00,46.01,46.92,45.76,46.92
2021-04-27 04:00:00,46.92,46.92,45.86,45.86
2021-04-27 08:00:00,45.47,45.47,44.16,44.17
2021-04-27 12:00:00,44.5,45.84,44.5,45.84
2021-04-27 16:00:00,45.15,46.12,44.93,46.12
2021-04-27 20:00:00,45.46,45.68,45.18,45.18
2021-04-28 00:00:00,45.17,45.17,43.43,44.04
2021-04-28 04:00:00,43.78,43.78,42.99,43.24
2021-04-28 08:00:00,43.06,44.5,43.06,43.73
2021-04-28 12:00:00,43.18,44.2,43.18,44.2
2021-04-28 16:00:00,43.4,43.4,41.85,41.85
2021-04-28 20:00:00,42.51,42.9,42.14,42.36
2021-04-29 00:00:00,43.66,45.84,43.66,45.84
2021-04-29 04:00:00,45.88,46.86,45.4,45.4
2021-04-29 08:00:00,45.43,45.43,44.72,44.82
2021-04-29 12:00:00,45.04,45.13,43.95,43.95
2021-04-29 16:00:00,43.32,44.07,43.32,44.07
2021-04-29 20:00:00,43.63,44.34,43.12,44.34
2021-04-30 00:00:00,44.11,44.11,43.54,43.57
2021-04-30 04:00:00,44.44,44.44,41.84,41.84
2021-04-30 08:00:00,42.03,42.15,41.77,42.15
2021-04-30 12:00:00,42.55,42.55,41.88,42.51
2021-04-30 16:00:00,42.55,42.96,42.55,42.69
2021-04-30 20:00:00,42.83,43.98,42.83,43.13
2021-05-01 00:00:00,42.93,43.8,42.93,43.8
2021-05-01 04:00:00,42.86,43.53,42.85,43.53
2021-05-01 08:00:00,43.71,43.71,43.25,43.25
2021-05-01 12:00:00,43.0,43.0,42.31,42.56
2021-05-01 16:00:00,42.9,43.07,42.8,43.03
2021-05-01 20:00:00,42.79,44.2,42.61,44.2
2021-05-02 00:00:00,44.43,46.47,44.17,46.47
2021-05-02 04:00:00,47.67,48.43,47.67,48.43
2021-05-02 08:00:00,49.02,49.02,47.59,48.77
2021-05-02 12:00:00,49.66,49.66,48.53,48.91
2021-05-02 16:00:00,47.44,48.1,47.4,47.61
2021-05-02 20:00:00,46.51,47.46,46.51,46.98
2021-05-03 00:00:00,46.87,47.15,46.29,47.15
2021-05-03 04:00:00,47.06,47.9,47.06,47.9
2021-05-03 08:00:00,48.0,48.0,46.5,46.5
2021-05-03 12:00:00,46.93,47.57,46.93,47.34
2021-05-03 16:00:00,47.74,48.72,47.74,48.65
2021-05-03 20:00:00,48.5,48.88,47.96,47.96
2021-05-04 00:00:00,48.21,48.21,47.77,47.92
2021-05-04 04:00:00,47.96,47.96,47.49,47.55
2021-05-04 08:00:00,46.91,46.91,45.7,45.96
2021-05-04 12:00:00,46.09,46.09,43.7,45.15
2021-05-04 16:00:00,44.97,46.81,44.97,46.81
2021-05-04 20:00:00,46.04,47.16,45.77,47.16
2021-05-05 00:00:00,47.09,47.09,43.31,43.31
2021-05-05 04:00:00,43.84,44.66,43.11,44.66
2021-05-05 08:00:00,44.64,44.64,43.53,43.53
2021-05-05 12:00:00,42.58,44.31,42.58,44.19
2021-05-05 16:00:00,43.93,43.93,43.49,43.53
2021-05-05 20:00:00,44.51,45.53,44.51,45.23
2021-05-06 00:00:00,44.3,45.37,44.3,45.37
2021-05-06 04:00:00,44.41,45.44,44.41,45.44
2021-05-06 08:00:00,45.39,45.39,44.77,44.77
2021-05-06 12:00:00,44.91,44.91,43.98,44.02
2021-05-06 16:00:00,44.16,44.18,43.42,43.42
2021-05-06 20:00:00,43.74,43.99,43.6,43.99
2021-05-07 00:00:00,44.48,44.48,43.63,43.85
2021-05-07 04:00:00,43.64,43.64,43.33,43.38
2021-05-07 08:00:00,43.56,43.62,43.25,43.48
2021-05-07 12:00:00,43.43,43.43,42.6,42.6
2021-05-07 16:00:00,42.06,42.65,41.64,42.65
2021-05-07 20:00:00,42.28,42.93,42.28,42.93
2021-05-08 00:00:00,42.7,43.25,42.47,42.47
2021-05-08 04:00:00,44.33,45.45,44.19,44.19
2021-05-08 08:00:00,44.0,44.0,42.73,42.73
2021-05-08 12:00:00,43.07,43.55,43.07,43.55
2021-05-08 16:00:00,43.46,43.46,43.11,43.11
2021-05-08 20:00:00,43.5,44.03,43.5,44.03
2021-05-09 00:00:00,44.11,45.25,44.0,45.25
2021-05-09 04:00:00,43.65,45.2,43.65,45.2
2021-05-09 08:00:00,44.85,45.99,44.69,45.99
2021-05-09 12:00:00,45.69,46.62,45.69,45.74
2021-05-09 16:00:00,44.88,45.75,44.88,45.14
2021-05-09 20:00:00,44.85,45.18,44.85,45.18
2021-05-10 00:00:00,44.91,44.91,43.57,43.69
2021-05-10 04:00:00,44.19,44.97,44.19,44.97
2021-05-10 08:00:00,44.42,44.69,44.28,44.28
2021-05-10 12:00:00,44.36,45.18,44.36,44.96
2021-05-10 16:00:00,45.13,45.74,45.13,45.74
2021-05-10 20:00:00,45.33,45.33,44.26,44.26
2021-05-11 00:00:00,44.04,44.1,43.42,43.42
2021-05-11 04:00:00,43.94,43.94,43.24,43.24
2021-05-11 08:00:00,42.42,43.67,41.96,43.67
2021-05-11 12:00:00,42.96,42.96,40.92,40.92
2021-05-11 16:00:00,40.34,41.24,40.15,41.24
2021-05-11 20:00:00,41.41,41.92,40.4,41.92
2021-05-12 00:00:00,41.42,41.47,40.34,41.47
2021-05-12 04:00:00,41.68,42.19,41.68,42.19
2021-05-12 08:00:00,42.92,44.52,42.92,44.52
2021-05-12 12:00:00,44.72,45.0,44.33,44.33
2021-05-12 16:00:00,44.59,45.06,43.9,45.06
2021-05-12 20:00:00,44.95,46.58,44.95,45.21
2021-05-13 00:00:00,46.05,46.47,46.04,46.04
2021-05-13 04:00:00,47.77,47.77,44.59,44.59
2021-05-13 08:00:00,44.72,48.21,44.72,48.21
2021-05-13 12:00:00,43.62,44.59,43.58,43.58
2021-05-13 16:00:00,42.31,44.55,42.31,44.55
2021-05-13 20:00:00,44.07,44.07,41.13,41.13
2021-05-14 00:00:00,41.84,43.21,41.84,42.03
2021-05-14 04:00:00,41.47,41.47,38.86,38.86
2021-05-14 08:00:00,39.03,41.19,39.03,40.18
2021-05-14 12:00:00,41.11,42.08,40.49,40.49
2021-05-14 16:00:00,40.69,41.08,40.33,40.34
2021-05-14 20:00:00,41.1,42.31,41.1,42.31
2021-05-15 00:00:00,43.02,44.37,42.24,44.37
2021-05-15 04:00:00,44.18,44.18,43.66,43.66
2021-05-15 08:00:00,43.26,43.26,41.77,42.48
2021-05-15 12:00:00,42.87,42.87,42.02,42.17
2021-05-15 16:00:00,42.09,42.18,41.11,41.11
2021-05-15 20:00:00,41.0,41.28,40.8,40.8
2021-05-16 00:00:00,41.22,41.78,40.99,41.78
2021-05-16 04:00:00,41.31,41.58,39.97,41.58
2021-05-16 08:00:00,42.07,45.05,42.07,45.05
2021-05-16 12:00:00,43.46,47.11,43.46,47.11
2021-05-16 16:00:00,47.6,47.6,46.25,46.84
2021-05-16 20:00:00,46.34,47.41,46.34,46.93
2021-05-17 00:00:00,46.96,51.64,46.96,51.64
2021-05-17 04:00:00,48.71,48.71,44.44,44.44
2021-05-17 08:00:00,42.49,47.58,42.49,47.58
2021-05-17 12:00:00,47.18,47.18,44.66,46.36
2021-05-17 16:00:00,44.38,49.44,44.38,49.44
2021-05-17 20:00:00,50.84,50.89,47.91,47.91
2021-05-18 00:00:00,49.7,49.7,48.89,48.89
2021-05-18 04:00:00,48.65,51.19,46.97,49.01
2021-05-18 08:00:00,49.4,49.6,46.76,46.76
2021-05-18 12:00:00,46.86,47.75,46.42,46.83
2021-05-18 16:00:00,47.4,50.23,47.4,50.23
2021-05-18 20:00:00,51.56,52.84,51.56,52.84
