datetime,open,high,low,close
2021-04-18 04:00:00,15.72,16.34,15.72,16.34
2021-04-18 08:00:00,16.34,16.44,16.24,16.24
2021-04-18 12:00:00,15.92,15.92,14.5,14.5
2021-04-18 16:00:00,13.15,13.4,12.98,13.31
2021-04-18 20:00:00,13.97,13.97,13.19,13.2
2021-04-19 00:00:00,12.46,13.29,12.46,13.29
2021-04-19 04:00:00,13.97,13.97,13.73,13.8
2021-04-19 08:00:00,13.95,14.31,13.95,14.26
2021-04-19 12:00:00,14.0,14.0,13.55,13.74
2021-04-19 16:00:00,14.04,14.04,13.74,14.04
2021-04-19 20:00:00,14.03,14.03,13.36,13.36
2021-04-20 00:00:00,13.56,13.56,12.76,12.76
2021-04-20 04:00:00,12.24,12.41,12.12,12.41
2021-04-20 08:00:00,12.58,12.7,12.57,12.57
2021-04-20 12:00:00,12.18,12.18,11.46,11.46
2021-04-20 16:00:00,11.78,11.81,11.19,11.19
2021-04-20 20:00:00,11.38,12.21,11.38,12.21
2021-04-21 00:00:00,12.24,12.54,12.15,12.15
2021-04-21 04:00:00,12.17,12.66,12.17,12.66
2021-04-21 08:00:00,12.64,12.72,12.59,12.66
2021-04-21 12:00:00,12.64,12.77,12.63,12.77
2021-04-21 16:00:00,12.53,12.75,12.53,12.7
2021-04-21 20:00:00,12.41,12.51,12.13,12.13
2021-04-22 00:00:00,12.2,12.79,12.2,12.79
2021-04-22 04:00:00,13.32,13.32,13.1,13.1
2021-04-22 08:00:00,13.13,13.13,12.39,12.39
2021-04-22 12:00:00,12.47,12.71,12.45,12.7
2021-04-22 16:00:00,12.67,13.11,12.67,13.0
2021-04-22 20:00:00,12.71,14.12,12.71,14.12
2021-04-23 00:00:00,14.08,14.08,13.41,13.71
2021-04-23 04:00:00,13.9,14.05,13.02,13.35
2021-04-23 08:00:00,13.28,13.28,12.42,12.42
2021-04-23 12:00:00,12.39,12.39,11.1,11.1
2021-04-23 16:00:00,11.07,11.07,10.56,10.81
2021-04-23 20:00:00,10.38,11.4,10.38,11.4
2021-04-24 00:00:00,11.65,11.65,11.17,11.5
2021-04-24 04:00:00,11.51,11.54,11.3,11.54
2021-04-24 08:00:00,11.61,11.61,11.31,11.53
2021-04-24 12:00:00,11.82,11.82,11.14,11.4
2021-04-24 16:00:00,11.26,11.55,11.26,11.32
2021-04-24 20:00:00,11.33,11.33,10.66,10.66
2021-04-25 00:00:00,10.68,10.85,10.65,10.65
2021-04-25 04:00:00,11.1,11.1,10.86,10.97
2021-04-25 08:00:00,10.95,11.12,10.95,10.97
2021-04-25 12:00:00,10.65,10.83,10.65,10.83
2021-04-25 16:00:00,10.53,10.6,10.45,10.45
2021-04-25 20:00:00,10.54,11.06,10.54,11.06
2021-04-26 00:00:00,11.23,11.59,11.23,11.59
2021-04-26 04:00:00,11.59,11.59,11.13,11.13
2021-04-26 08:00:00,10.96,10.96,10.43,10.79
2021-04-26 12:00:00,10.96,11.71,10.96,11.6
2021-04-26 16:00:00,11.67,11.82,11.67,11.82
2021-04-26 20:00:00,11.83,12.08,11.7,12.08
2021-04-27 00:00:00,12.33,12.33,11.99,11.99
2021-04-27 04:00:00,12.01,12.01,11.92,12.0
2021-04-27 08:00:00,11.97,11.97,11.78,11.95
2021-04-27 12:00:00,12.13,12.44,12.04,12.44
2021-04-27 16:00:00,12.32,12.86,12.31,12.86
2021-04-27 20:00:00,12.65,12.77,12.58,12.77
2021-04-28 00:00:00,12.91,13.11,12.53,13.11
2021-04-28 04:00:00,13.21,13.76,13.21,13.72
2021-04-28 08:00:00,13.79,14.35,13.79,14.06
2021-04-28 12:00:00,14.17,14.3,13.94,13.94
2021-04-28 16:00:00,13.66,13.66,13.16,13.16
2021-04-28 20:00:00,13.44,13.57,13.36,13.57
2021-04-29 00:00:00,13.92,13.98,13.92,13.92
2021-04-29 04:00:00,13.96,14.26,13.96,14.23
2021-04-29 08:00:00,14.25,14.25,13.85,14.14
2021-04-29 12:00:00,14.25,14.49,14.25,14.41
2021-04-29 16:00:00,14.05,14.31,14.05,14.31
2021-04-29 20:00:00,14.38,14.66,14.25,14.66
2021-04-30 00:00:00,14.6,14.8,14.51,14.51
2021-04-30 04:00:00,14.5,14.5,13.85,13.85
2021-04-30 08:00:00,13.83,14.06,13.77,14.06
