DateTime,Open,High,Low,Close
2021-04-18 20:00:00,12.81,12.88,12.81,12.88
2021-04-19 00:00:00,12.3,13.12,12.3,13.12
2021-04-19 04:00:00,13.24,13.35,13.22,13.29
2021-04-19 08:00:00,13.45,13.56,13.44,13.54
2021-04-19 12:00:00,13.41,13.64,13.41,13.64
2021-04-19 16:00:00,13.64,13.73,13.61,13.73
2021-04-19 20:00:00,14.2,15.97,14.2,15.82
2021-04-20 00:00:00,15.42,15.42,14.45,14.45
2021-04-20 04:00:00,13.89,14.4,13.89,14.4
2021-04-20 08:00:00,14.44,14.6,14.28,14.28
2021-04-20 12:00:00,13.92,13.92,13.07,13.07
2021-04-20 16:00:00,13.28,13.37,12.93,12.93
2021-04-20 20:00:00,12.8,13.71,12.8,13.71
2021-04-21 00:00:00,13.67,13.67,13.39,13.39
2021-04-21 04:00:00,13.25,13.64,13.25,13.64
2021-04-21 08:00:00,13.74,13.74,13.5,13.5
2021-04-21 12:00:00,13.43,14.12,13.3,13.95
2021-04-21 16:00:00,13.72,13.98,13.72,13.86
2021-04-21 20:00:00,13.8,14.03,13.54,13.54
2021-04-22 00:00:00,13.28,13.89,13.28,13.89
2021-04-22 04:00:00,14.05,14.32,14.05,14.32
2021-04-22 08:00:00,13.97,13.97,13.33,13.33
2021-04-22 12:00:00,13.15,13.45,13.03,13.36
2021-04-22 16:00:00,13.45,13.84,13.45,13.82
2021-04-22 20:00:00,13.73,14.9,13.71,14.9
2021-04-23 00:00:00,14.85,15.34,14.83,15.34
2021-04-23 04:00:00,15.33,15.35,14.99,15.1
2021-04-23 08:00:00,14.7,14.7,13.76,13.76
2021-04-23 12:00:00,13.7,13.92,13.39,13.39
2021-04-23 16:00:00,13.46,13.46,13.14,13.14
2021-04-23 20:00:00,13.0,13.45,13.0,13.45
2021-04-24 00:00:00,13.6,13.6,13.28,13.39
2021-04-24 04:00:00,13.53,13.64,13.44,13.64
2021-04-24 08:00:00,13.84,13.99,13.77,13.99
2021-04-24 12:00:00,13.92,13.92,13.73,13.83
2021-04-24 16:00:00,14.22,14.63,14.22,14.63
2021-04-24 20:00:00,14.54,14.74,13.99,13.99
2021-04-25 00:00:00,13.91,14.09,13.91,14.03
2021-04-25 04:00:00,14.52,15.28,14.52,15.28
2021-04-25 08:00:00,16.23,16.25,15.92,15.92
2021-04-25 12:00:00,15.7,16.29,15.7,16.09
2021-04-25 16:00:00,15.78,15.84,15.72,15.83
2021-04-25 20:00:00,16.11,16.39,16.11,16.29
2021-04-26 00:00:00,16.31,17.78,16.31,17.78
2021-04-26 04:00:00,17.7,18.43,17.7,18.23
2021-04-26 08:00:00,18.3,18.3,16.76,17.6
2021-04-26 12:00:00,17.75,17.82,17.69,17.82
2021-04-26 16:00:00,17.98,17.98,17.73,17.73
2021-04-26 20:00:00,17.45,17.54,17.27,17.36
2021-04-27 00:00:00,17.35,17.71,17.14,17.71
2021-04-27 04:00:00,17.71,17.76,17.61,17.73
2021-04-27 08:00:00,17.69,17.69,17.49,17.49
2021-04-27 12:00:00,17.64,19.18,17.51,19.18
2021-04-27 16:00:00,18.83,19.07,18.83,19.07
2021-04-27 20:00:00,18.86,18.86,18.19,18.19
2021-04-28 00:00:00,18.44,18.44,18.16,18.2
2021-04-28 04:00:00,17.85,17.85,17.54,17.59
2021-04-28 08:00:00,17.42,17.7,17.42,17.66
2021-04-28 12:00:00,17.72,17.82,17.58,17.58
2021-04-28 16:00:00,17.09,17.09,16.68,16.68
2021-04-28 20:00:00,17.21,17.6,17.21,17.39
2021-04-29 00:00:00,17.56,17.56,17.36,17.36
2021-04-29 04:00:00,17.32,17.46,17.32,17.32
2021-04-29 08:00:00,17.29,17.29,16.75,16.75
2021-04-29 12:00:00,16.83,16.83,16.5,16.5
2021-04-29 16:00:00,16.49,16.55,16.31,16.55
2021-04-29 20:00:00,16.55,16.88,16.55,16.88
2021-04-30 00:00:00,16.76,16.76,16.54,16.54
2021-04-30 04:00:00,16.5,16.5,16.18,16.18
2021-04-30 08:00:00,16.08,16.23,16.08,16.23
2021-04-30 12:00:00,16.25,16.25,16.02,16.18
2021-04-30 16:00:00,16.48,16.84,16.48,16.8
