DateTime,Open,High,Low,Close
2021-04-18 20:00:00,5.81,5.84,5.81,5.84
2021-04-19 00:00:00,5.55,5.9,5.55,5.9
2021-04-19 04:00:00,6.25,6.25,6.05,6.13
2021-04-19 08:00:00,6.19,6.33,6.19,6.33
2021-04-19 12:00:00,6.16,6.38,6.16,6.38
2021-04-19 16:00:00,6.41,6.41,6.27,6.41
2021-04-19 20:00:00,6.22,6.22,5.97,5.97
2021-04-20 00:00:00,6.1,6.1,5.76,5.76
2021-04-20 04:00:00,5.6,5.63,5.43,5.63
2021-04-20 08:00:00,5.7,5.76,5.59,5.59
2021-04-20 12:00:00,5.4,5.4,5.1,5.1
2021-04-20 16:00:00,5.29,5.29,5.01,5.01
2021-04-20 20:00:00,5.12,5.56,5.12,5.56
2021-04-21 00:00:00,5.59,5.65,5.51,5.51
2021-04-21 04:00:00,5.46,5.62,5.46,5.62
2021-04-21 08:00:00,5.64,5.64,5.54,5.56
2021-04-21 12:00:00,5.67,5.72,5.61,5.72
2021-04-21 16:00:00,5.54,5.69,5.54,5.69
2021-04-21 20:00:00,5.63,5.66,5.45,5.45
2021-04-22 00:00:00,5.37,5.65,5.37,5.65
2021-04-22 04:00:00,5.69,5.69,5.63,5.63
2021-04-22 08:00:00,5.73,5.73,5.4,5.4
2021-04-22 12:00:00,5.37,5.45,5.24,5.35
2021-04-22 16:00:00,5.34,5.42,5.33,5.34
2021-04-22 20:00:00,5.22,5.39,5.22,5.39
2021-04-23 00:00:00,5.54,5.67,5.5,5.67
2021-04-23 04:00:00,5.67,5.72,5.42,5.46
2021-04-23 08:00:00,5.34,5.34,5.0,5.0
2021-04-23 12:00:00,4.98,4.98,4.55,4.55
2021-04-23 16:00:00,4.61,4.61,4.36,4.4
2021-04-23 20:00:00,4.25,4.61,4.25,4.61
2021-04-24 00:00:00,4.66,4.66,4.49,4.55
2021-04-24 04:00:00,4.67,4.77,4.66,4.77
2021-04-24 08:00:00,4.78,4.78,4.62,4.68
2021-04-24 12:00:00,4.82,4.82,4.59,4.68
2021-04-24 16:00:00,4.71,4.8,4.71,4.78
2021-04-24 20:00:00,4.68,4.74,4.52,4.52
2021-04-25 00:00:00,4.47,4.54,4.43,4.44
2021-04-25 04:00:00,4.54,4.58,4.47,4.58
2021-04-25 08:00:00,4.51,4.59,4.51,4.53
2021-04-25 12:00:00,4.48,4.59,4.47,4.59
2021-04-25 16:00:00,4.45,4.48,4.41,4.41
2021-04-25 20:00:00,4.45,4.59,4.45,4.57
2021-04-26 00:00:00,4.63,4.76,4.63,4.76
2021-04-26 04:00:00,4.73,4.73,4.6,4.6
2021-04-26 08:00:00,4.56,4.56,4.35,4.39
2021-04-26 12:00:00,4.55,4.79,4.55,4.79
2021-04-26 16:00:00,4.82,5.0,4.82,5.0
2021-04-26 20:00:00,5.05,5.13,4.94,5.13
2021-04-27 00:00:00,5.12,5.12,5.05,5.09
2021-04-27 04:00:00,5.17,5.22,5.07,5.21
2021-04-27 08:00:00,5.17,5.21,5.03,5.21
2021-04-27 12:00:00,5.19,5.34,5.19,5.27
2021-04-27 16:00:00,5.28,5.39,5.28,5.39
2021-04-27 20:00:00,5.37,5.47,5.31,5.47
2021-04-28 00:00:00,5.46,5.46,5.26,5.34
2021-04-28 04:00:00,5.42,5.42,5.35,5.36
2021-04-28 08:00:00,5.31,5.4,5.31,5.38
2021-04-28 12:00:00,5.43,5.5,5.43,5.47
2021-04-28 16:00:00,5.35,5.35,5.14,5.14
2021-04-28 20:00:00,5.22,5.23,5.15,5.23
2021-04-29 00:00:00,5.31,5.31,5.17,5.17
2021-04-29 04:00:00,5.15,5.26,5.15,5.26
2021-04-29 08:00:00,5.33,5.33,5.15,5.19
2021-04-29 12:00:00,5.24,5.26,5.14,5.26
2021-04-29 16:00:00,5.21,5.3,5.15,5.3
2021-04-29 20:00:00,5.31,5.36,5.28,5.35
2021-04-30 00:00:00,5.37,5.39,5.3,5.3
2021-04-30 04:00:00,5.33,5.33,5.17,5.17
2021-04-30 08:00:00,5.2,5.24,5.15,5.24
