datetime,open,high,low,close
2021-04-18 04:00:00,1.97,1.98,1.97,1.98
2021-04-18 08:00:00,1.98,2.0,1.95,1.95
2021-04-18 12:00:00,1.93,1.93,1.51,1.51
2021-04-18 16:00:00,1.69,1.69,1.63,1.69
2021-04-18 20:00:00,1.68,1.68,1.63,1.64
2021-04-19 00:00:00,1.59,1.67,1.59,1.67
2021-04-19 04:00:00,1.73,1.73,1.69,1.7
2021-04-19 08:00:00,1.73,1.73,1.71,1.71
2021-04-19 12:00:00,1.69,1.72,1.69,1.72
2021-04-19 16:00:00,1.74,1.76,1.73,1.76
2021-04-19 20:00:00,1.75,1.75,1.67,1.67
2021-04-20 00:00:00,1.69,1.69,1.58,1.58
2021-04-20 04:00:00,1.55,1.63,1.55,1.61
2021-04-20 08:00:00,1.63,1.65,1.61,1.61
2021-04-20 12:00:00,1.56,1.56,1.48,1.48
2021-04-20 16:00:00,1.48,1.53,1.45,1.45
2021-04-20 20:00:00,1.47,1.58,1.47,1.58
2021-04-21 00:00:00,1.58,1.6,1.54,1.54
2021-04-21 04:00:00,1.56,1.62,1.56,1.62
2021-04-21 08:00:00,1.63,1.63,1.57,1.57
2021-04-21 12:00:00,1.6,1.6,1.56,1.57
2021-04-21 16:00:00,1.54,1.58,1.54,1.57
2021-04-21 20:00:00,1.55,1.59,1.55,1.56
2021-04-22 00:00:00,1.51,1.61,1.51,1.61
2021-04-22 04:00:00,1.65,1.65,1.63,1.63
2021-04-22 08:00:00,1.63,1.63,1.53,1.53
2021-04-22 12:00:00,1.53,1.53,1.52,1.52
2021-04-22 16:00:00,1.52,1.55,1.52,1.53
2021-04-22 20:00:00,1.51,1.6,1.51,1.6
2021-04-23 00:00:00,1.59,1.59,1.57,1.57
2021-04-23 04:00:00,1.57,1.57,1.52,1.52
2021-04-23 08:00:00,1.51,1.51,1.44,1.45
2021-04-23 12:00:00,1.43,1.43,1.27,1.27
2021-04-23 16:00:00,1.3,1.3,1.25,1.25
2021-04-23 20:00:00,1.21,1.3,1.21,1.3
2021-04-24 00:00:00,1.34,1.34,1.28,1.32
2021-04-24 04:00:00,1.33,1.37,1.33,1.37
2021-04-24 08:00:00,1.38,1.38,1.35,1.37
2021-04-24 12:00:00,1.37,1.37,1.32,1.36
2021-04-24 16:00:00,1.35,1.38,1.35,1.35
2021-04-24 20:00:00,1.34,1.34,1.28,1.28
2021-04-25 00:00:00,1.27,1.28,1.26,1.26
2021-04-25 04:00:00,1.31,1.31,1.29,1.31
2021-04-25 08:00:00,1.3,1.3,1.28,1.28
2021-04-25 12:00:00,1.25,1.27,1.25,1.27
2021-04-25 16:00:00,1.24,1.25,1.23,1.23
2021-04-25 20:00:00,1.24,1.29,1.24,1.29
2021-04-26 00:00:00,1.3,1.34,1.3,1.34
2021-04-26 04:00:00,1.34,1.36,1.3,1.3
2021-04-26 08:00:00,1.27,1.27,1.22,1.25
2021-04-26 12:00:00,1.26,1.35,1.26,1.35
2021-04-26 16:00:00,1.37,1.43,1.37,1.43
2021-04-26 20:00:00,1.46,1.47,1.44,1.47
2021-04-27 00:00:00,1.49,1.49,1.47,1.47
2021-04-27 04:00:00,1.46,1.47,1.45,1.47
2021-04-27 08:00:00,1.46,1.46,1.42,1.43
2021-04-27 12:00:00,1.45,1.5,1.45,1.48
2021-04-27 16:00:00,1.48,1.54,1.48,1.54
2021-04-27 20:00:00,1.54,1.56,1.52,1.56
2021-04-28 00:00:00,1.56,1.56,1.51,1.54
