datetime,open,high,low,close
2021-04-18 04:00:00,13.26,13.7,13.26,13.7
2021-04-18 08:00:00,13.6,13.84,13.6,13.83
2021-04-18 12:00:00,13.38,13.38,12.25,12.25
2021-04-18 16:00:00,10.67,11.47,10.67,11.34
2021-04-18 20:00:00,11.68,11.68,10.72,11.07
2021-04-19 00:00:00,10.16,11.3,10.16,11.3
2021-04-19 04:00:00,11.37,11.42,11.18,11.39
2021-04-19 08:00:00,11.52,11.84,11.52,11.84
2021-04-19 12:00:00,11.58,12.02,11.58,12.02
2021-04-19 16:00:00,12.38,12.42,12.29,12.39
2021-04-19 20:00:00,12.07,12.07,11.4,11.44
2021-04-20 00:00:00,11.15,11.18,10.58,10.58
2021-04-20 04:00:00,10.49,11.16,10.49,11.16
2021-04-20 08:00:00,11.06,11.14,10.92,10.98
2021-04-20 12:00:00,10.73,10.73,10.22,10.22
2021-04-20 16:00:00,10.59,10.67,10.11,10.11
2021-04-20 20:00:00,10.13,10.95,10.13,10.95
2021-04-21 00:00:00,10.91,11.2,10.79,10.79
2021-04-21 04:00:00,11.02,11.64,11.02,11.64
2021-04-21 08:00:00,11.76,11.96,11.62,11.69
2021-04-21 12:00:00,11.77,12.06,11.71,12.06
2021-04-21 16:00:00,11.64,11.86,11.64,11.84
2021-04-21 20:00:00,11.6,11.78,11.39,11.39
2021-04-22 00:00:00,11.33,11.59,11.33,11.59
2021-04-22 04:00:00,11.66,11.86,11.54,11.69
2021-04-22 08:00:00,11.92,11.92,11.22,11.22
2021-04-22 12:00:00,11.1,11.21,11.1,11.14
2021-04-22 16:00:00,11.11,11.31,11.03,11.03
2021-04-22 20:00:00,10.94,11.08,10.81,11.08
2021-04-23 00:00:00,11.12,11.13,10.82,11.1
2021-04-23 04:00:00,11.19,11.19,10.93,10.93
2021-04-23 08:00:00,10.78,10.78,9.95,9.95
2021-04-23 12:00:00,10.0,10.0,8.91,8.91
2021-04-23 16:00:00,8.94,8.94,8.54,8.54
2021-04-23 20:00:00,8.19,8.98,8.19,8.98
2021-04-24 00:00:00,9.41,9.41,8.99,8.99
2021-04-24 04:00:00,9.23,9.73,9.23,9.73
2021-04-24 08:00:00,9.74,9.84,9.61,9.84
2021-04-24 12:00:00,9.97,9.97,9.38,9.53
2021-04-24 16:00:00,9.76,9.76,9.6,9.75
2021-04-24 20:00:00,9.5,9.5,8.93,8.93
2021-04-25 00:00:00,8.77,8.98,8.77,8.77
2021-04-25 04:00:00,8.91,8.91,8.69,8.84
2021-04-25 08:00:00,8.75,8.97,8.75,8.83
2021-04-25 12:00:00,8.65,8.87,8.65,8.85
2021-04-25 16:00:00,8.7,8.76,8.57,8.57
2021-04-25 20:00:00,8.57,9.15,8.57,9.15
2021-04-26 00:00:00,9.27,9.35,9.23,9.35
2021-04-26 04:00:00,9.48,9.48,9.14,9.14
2021-04-26 08:00:00,8.99,8.99,8.46,8.88
2021-04-26 12:00:00,9.1,9.73,9.1,9.68
2021-04-26 16:00:00,9.87,10.78,9.87,10.78
2021-04-26 20:00:00,10.54,11.15,10.54,10.79
2021-04-27 00:00:00,11.02,11.07,10.76,10.76
2021-04-27 04:00:00,10.76,10.89,10.58,10.89
2021-04-27 08:00:00,10.81,10.81,10.58,10.6
2021-04-27 12:00:00,10.75,10.76,10.64,10.76
2021-04-27 16:00:00,11.11,11.49,11.11,11.49
2021-04-27 20:00:00,11.33,11.66,11.26,11.66
2021-04-28 00:00:00,11.72,11.72,11.19,11.3
2021-04-28 04:00:00,11.34,11.38,11.19,11.35
2021-04-28 08:00:00,11.23,11.32,11.14,11.14
2021-04-28 12:00:00,11.22,11.66,11.22,11.42
2021-04-28 16:00:00,11.3,11.3,10.67,10.67
2021-04-28 20:00:00,10.86,10.95,10.82,10.95
2021-04-29 00:00:00,11.18,11.18,10.95,10.95
2021-04-29 04:00:00,10.87,11.03,10.87,10.99
2021-04-29 08:00:00,11.05,11.11,10.86,10.92
2021-04-29 12:00:00,11.06,11.38,11.06,11.38
2021-04-29 16:00:00,11.22,11.46,11.2,11.42
2021-04-29 20:00:00,11.29,11.33,11.21,11.22
2021-04-30 00:00:00,11.17,11.2,11.05,11.05
2021-04-30 04:00:00,10.99,10.99,10.71,10.71
2021-04-30 08:00:00,10.67,10.96,10.66,10.96
2021-04-30 12:00:00,10.92,10.92,10.73,10.9
2021-04-30 16:00:00,10.82,11.07,10.82,11.07
2021-04-30 20:00:00,11.1,11.12,10.98,10.98
2021-05-01 00:00:00,10.93,11.48,10.93,11.48
2021-05-01 04:00:00,11.19,11.19,11.09,11.09
2021-05-01 08:00:00,11.05,11.17,11.05,11.17
2021-05-01 12:00:00,11.21,11.52,11.21,11.52
