DateTime,Open,High,Low,Close
2021-04-18 20:00:00,13.89,14.45,13.89,14.45
2021-04-19 00:00:00,13.52,14.15,13.52,14.13
2021-04-19 04:00:00,14.43,14.75,14.43,14.75
2021-04-19 08:00:00,15.01,16.16,15.01,16.16
2021-04-19 12:00:00,16.41,16.41,16.18,16.18
2021-04-19 16:00:00,16.22,16.22,15.87,16.12
2021-04-19 20:00:00,16.22,16.22,15.35,15.35
2021-04-20 00:00:00,15.81,15.81,14.61,14.61
2021-04-20 04:00:00,14.15,14.65,14.15,14.51
2021-04-20 08:00:00,14.71,14.99,14.69,14.69
2021-04-20 12:00:00,14.14,14.14,12.96,12.96
2021-04-20 16:00:00,13.2,13.66,13.2,13.22
2021-04-20 20:00:00,12.67,13.83,12.67,13.83
2021-04-21 00:00:00,14.0,14.22,13.79,13.94
2021-04-21 04:00:00,13.7,14.49,13.7,14.34
2021-04-21 08:00:00,14.61,14.74,14.54,14.54
2021-04-21 12:00:00,14.74,14.74,14.38,14.48
2021-04-21 16:00:00,14.26,14.33,14.15,14.33
2021-04-21 20:00:00,14.26,14.3,13.8,13.8
2021-04-22 00:00:00,13.46,13.97,13.46,13.97
2021-04-22 04:00:00,14.1,14.1,13.63,13.63
2021-04-22 08:00:00,13.77,13.77,13.08,13.08
2021-04-22 12:00:00,13.11,13.36,13.03,13.03
2021-04-22 16:00:00,13.21,13.61,13.18,13.61
2021-04-22 20:00:00,13.61,13.61,13.07,13.43
2021-04-23 00:00:00,13.95,14.59,13.95,14.59
2021-04-23 04:00:00,14.45,14.89,14.04,14.51
2021-04-23 08:00:00,14.51,14.51,13.44,13.72
2021-04-23 12:00:00,13.97,13.97,12.94,12.94
2021-04-23 16:00:00,13.12,13.12,12.26,12.26
2021-04-23 20:00:00,11.83,12.61,11.83,12.61
2021-04-24 00:00:00,13.03,13.03,12.17,12.57
2021-04-24 04:00:00,12.76,13.16,12.7,13.16
2021-04-24 08:00:00,13.04,13.04,12.67,12.69
2021-04-24 12:00:00,13.09,13.09,12.47,12.47
2021-04-24 16:00:00,12.71,12.88,12.71,12.8
2021-04-24 20:00:00,12.67,12.75,11.94,11.94
2021-04-25 00:00:00,11.52,11.8,11.51,11.51
2021-04-25 04:00:00,11.68,11.68,11.52,11.59
2021-04-25 08:00:00,11.65,11.81,11.61,11.61
