datetime,open,high,low,close
2021-04-18 04:00:00,28.42,28.84,28.42,28.84
2021-04-18 08:00:00,28.89,29.2,28.79,28.79
2021-04-18 12:00:00,29.11,31.14,24.23,24.23
2021-04-18 16:00:00,25.66,25.92,25.33,25.41
2021-04-18 20:00:00,25.95,25.95,24.02,25.3
2021-04-19 00:00:00,23.98,26.45,23.98,26.45
2021-04-19 04:00:00,26.79,29.83,26.79,29.83
2021-04-19 08:00:00,29.16,31.53,29.16,31.53
2021-04-19 12:00:00,32.76,32.81,31.29,31.38
2021-04-19 16:00:00,32.22,32.22,30.55,30.75
2021-04-19 20:00:00,31.01,31.01,29.09,29.97
2021-04-20 00:00:00,29.34,29.34,27.97,27.97
2021-04-20 04:00:00,26.33,28.36,26.33,28.36
2021-04-20 08:00:00,28.59,28.59,27.91,27.91
2021-04-20 12:00:00,26.76,26.76,25.67,25.67
2021-04-20 16:00:00,26.62,26.94,25.79,25.79
2021-04-20 20:00:00,27.06,28.0,27.06,28.0
2021-04-21 00:00:00,27.86,27.86,27.2,27.67
2021-04-21 04:00:00,27.39,28.37,27.39,27.88
2021-04-21 08:00:00,28.38,28.72,28.38,28.72
2021-04-21 12:00:00,28.31,28.31,27.65,27.65
2021-04-21 16:00:00,27.09,27.34,26.78,26.8
2021-04-21 20:00:00,26.71,26.78,26.34,26.34
2021-04-22 00:00:00,25.87,27.07,25.87,27.07
2021-04-22 04:00:00,27.31,27.31,26.62,26.62
2021-04-22 08:00:00,27.0,27.0,25.38,25.38
2021-04-22 12:00:00,25.42,25.96,25.41,25.85
2021-04-22 16:00:00,25.06,26.24,25.06,25.82
2021-04-22 20:00:00,25.73,25.73,24.9,25.67
2021-04-23 00:00:00,26.39,27.1,26.3,27.1
2021-04-23 04:00:00,26.75,26.86,25.49,25.49
2021-04-23 08:00:00,25.7,25.7,24.59,25.17
2021-04-23 12:00:00,25.26,25.26,23.13,23.13
2021-04-23 16:00:00,23.07,23.07,21.93,21.99
2021-04-23 20:00:00,21.15,22.26,21.15,22.26
2021-04-24 00:00:00,22.76,22.76,21.65,22.46
2021-04-24 04:00:00,22.59,22.59,22.16,22.37
2021-04-24 08:00:00,22.69,23.45,22.56,23.45
2021-04-24 12:00:00,23.37,23.37,22.27,22.64
2021-04-24 16:00:00,22.69,23.08,22.69,23.0
2021-04-24 20:00:00,22.68,22.74,21.65,21.65
2021-04-25 00:00:00,20.9,21.32,20.84,20.84
2021-04-25 04:00:00,21.45,21.45,21.25,21.26
2021-04-25 08:00:00,21.17,21.62,21.17,21.38
2021-04-25 12:00:00,20.6,21.09,20.6,21.09
2021-04-25 16:00:00,20.46,20.61,20.32,20.32
2021-04-25 20:00:00,20.34,20.9,20.34,20.84
2021-04-26 00:00:00,21.58,24.54,21.58,24.54
2021-04-26 04:00:00,24.02,24.54,23.3,23.3
2021-04-26 08:00:00,23.04,23.79,21.83,23.79
2021-04-26 12:00:00,23.17,25.46,23.17,25.46
2021-04-26 16:00:00,25.16,25.97,24.79,25.97
2021-04-26 20:00:00,25.41,26.46,25.41,26.46
2021-04-27 00:00:00,26.87,26.87,25.66,25.66
2021-04-27 04:00:00,25.36,25.54,25.0,25.24
2021-04-27 08:00:00,24.95,24.95,24.49,24.49
2021-04-27 12:00:00,25.12,25.23,24.92,25.23
2021-04-27 16:00:00,24.9,26.03,24.9,26.03
2021-04-27 20:00:00,25.81,26.3,25.81,26.3
2021-04-28 00:00:00,26.45,26.46,26.35,26.46
