DateTime,Open,High,Low,Close
2021-04-18 20:00:00,29.58,30.05,29.58,30.05
2021-04-19 00:00:00,28.81,30.52,28.81,30.52
2021-04-19 04:00:00,30.78,31.56,30.78,31.56
2021-04-19 08:00:00,32.0,32.36,32.0,32.13
2021-04-19 12:00:00,31.33,32.25,31.33,32.25
2021-04-19 16:00:00,32.51,32.51,31.71,32.15
2021-04-19 20:00:00,32.25,32.25,31.41,31.41
2021-04-20 00:00:00,31.66,31.66,29.88,29.88
2021-04-20 04:00:00,29.88,31.75,29.88,31.75
2021-04-20 08:00:00,32.25,32.57,32.06,32.06
2021-04-20 12:00:00,31.35,31.35,29.64,29.64
2021-04-20 16:00:00,29.91,30.16,28.51,28.51
2021-04-20 20:00:00,28.81,30.62,28.81,30.62
2021-04-21 00:00:00,30.69,30.87,30.19,30.19
2021-04-21 04:00:00,29.94,31.16,29.94,31.16
2021-04-21 08:00:00,31.5,31.73,31.39,31.73
2021-04-21 12:00:00,31.97,32.43,31.56,32.43
2021-04-21 16:00:00,31.77,31.95,31.77,31.95
2021-04-21 20:00:00,31.5,32.5,31.5,31.5
2021-04-22 00:00:00,30.73,33.96,30.73,33.96
2021-04-22 04:00:00,35.68,35.96,35.32,35.32
2021-04-22 08:00:00,35.09,35.09,33.61,33.61
2021-04-22 12:00:00,33.48,36.34,33.48,36.34
2021-04-22 16:00:00,37.04,37.04,36.29,36.83
2021-04-22 20:00:00,37.86,38.05,36.85,37.34
2021-04-23 00:00:00,37.56,37.56,36.25,37.23
2021-04-23 04:00:00,37.15,37.15,35.06,35.5
2021-04-23 08:00:00,35.45,35.45,34.04,34.65
2021-04-23 12:00:00,34.19,34.19,31.97,31.97
2021-04-23 16:00:00,33.01,33.01,31.48,31.48
2021-04-23 20:00:00,31.29,32.23,31.29,32.23
2021-04-24 00:00:00,32.77,32.77,30.91,32.13
2021-04-24 04:00:00,32.22,32.73,31.95,32.73
2021-04-24 08:00:00,33.21,33.21,31.83,31.98
2021-04-24 12:00:00,33.0,33.0,31.38,31.65
2021-04-24 16:00:00,32.0,32.67,32.0,32.4
2021-04-24 20:00:00,31.87,32.02,30.89,30.89
2021-04-25 00:00:00,30.17,30.74,30.17,30.18
2021-04-25 04:00:00,31.13,31.13,30.55,31.05
2021-04-25 08:00:00,30.76,31.22,30.76,30.94
2021-04-25 12:00:00,30.15,30.84,30.11,30.84
2021-04-25 16:00:00,30.15,30.33,29.73,29.73
2021-04-25 20:00:00,29.98,32.7,29.98,32.7
2021-04-26 00:00:00,33.31,34.16,33.31,34.11
2021-04-26 04:00:00,34.64,34.64,33.18,33.18
2021-04-26 08:00:00,32.89,33.18,31.75,33.18
2021-04-26 12:00:00,33.95,35.93,33.95,35.37
2021-04-26 16:00:00,35.47,36.05,35.35,35.78
2021-04-26 20:00:00,35.71,36.25,35.33,36.25
2021-04-27 00:00:00,35.93,35.93,35.52,35.58
2021-04-27 04:00:00,35.38,36.14,35.38,36.06
2021-04-27 08:00:00,36.11,37.99,35.76,37.99
2021-04-27 12:00:00,37.94,38.25,37.59,38.25
2021-04-27 16:00:00,38.19,40.13,38.19,40.13
2021-04-27 20:00:00,39.58,40.2,39.4,40.2
2021-04-28 00:00:00,40.14,40.14,38.4,38.89
2021-04-28 04:00:00,39.87,39.87,38.96,39.27
2021-04-28 08:00:00,39.2,39.88,39.2,39.23
2021-04-28 12:00:00,39.39,41.86,39.39,40.85
2021-04-28 16:00:00,39.74,39.85,38.53,38.53
2021-04-28 20:00:00,39.29,39.74,39.11,39.74
2021-04-29 00:00:00,41.03,42.11,41.03,42.11
2021-04-29 04:00:00,41.81,42.63,41.81,42.56
2021-04-29 08:00:00,42.52,42.52,41.48,41.48
2021-04-29 12:00:00,42.77,43.3,42.77,43.13
2021-04-29 16:00:00,42.25,42.73,42.11,42.51
2021-04-29 20:00:00,42.36,42.72,41.97,42.32
