datetime,open,high,low,close
2021-04-18 04:00:00,15.7,15.82,15.7,15.82
2021-04-18 08:00:00,15.81,15.93,15.7,15.7
2021-04-18 12:00:00,15.46,15.46,14.68,14.68
2021-04-18 16:00:00,13.19,13.27,12.89,13.09
2021-04-18 20:00:00,13.45,13.45,12.74,12.83
2021-04-19 00:00:00,12.49,13.04,12.49,13.04
2021-04-19 04:00:00,13.38,13.38,13.16,13.31
2021-04-19 08:00:00,13.35,13.73,13.35,13.73
2021-04-19 12:00:00,13.64,13.86,13.64,13.86
2021-04-19 16:00:00,14.02,14.11,13.97,14.11
2021-04-19 20:00:00,14.07,14.07,13.61,13.61
2021-04-20 00:00:00,13.55,13.55,12.76,12.76
2021-04-20 04:00:00,12.52,12.76,12.52,12.75
2021-04-20 08:00:00,12.88,13.06,12.83,12.83
2021-04-20 12:00:00,12.56,12.56,11.78,11.78
2021-04-20 16:00:00,11.83,11.91,11.51,11.51
2021-04-20 20:00:00,11.68,12.81,11.68,12.81
2021-04-21 00:00:00,13.66,13.66,13.35,13.35
2021-04-21 04:00:00,13.4,13.79,13.4,13.79
2021-04-21 08:00:00,13.82,13.82,13.5,13.5
2021-04-21 12:00:00,13.53,13.65,13.29,13.65
2021-04-21 16:00:00,13.39,14.2,13.39,14.2
2021-04-21 20:00:00,14.46,15.07,14.37,14.78
2021-04-22 00:00:00,15.64,15.64,15.01,15.07
2021-04-22 04:00:00,15.0,15.5,14.71,15.5
2021-04-22 08:00:00,15.65,15.65,14.6,14.6
2021-04-22 12:00:00,14.55,14.55,14.27,14.27
2021-04-22 16:00:00,14.02,14.39,14.02,14.09
2021-04-22 20:00:00,13.97,13.97,13.76,13.91
2021-04-23 00:00:00,14.29,14.29,14.07,14.07
2021-04-23 04:00:00,14.26,14.26,13.63,13.63
2021-04-23 08:00:00,13.51,13.51,13.08,13.08
2021-04-23 12:00:00,12.96,12.96,11.6,11.75
2021-04-23 16:00:00,11.97,11.97,11.75,11.94
2021-04-23 20:00:00,11.71,13.48,11.71,13.48
2021-04-24 00:00:00,13.72,13.72,13.31,13.57
2021-04-24 04:00:00,14.11,15.44,14.11,15.44
2021-04-24 08:00:00,15.49,15.49,14.75,14.75
2021-04-24 12:00:00,14.36,14.36,13.88,14.11
2021-04-24 16:00:00,14.03,14.27,13.75,13.75
2021-04-24 20:00:00,14.19,14.19,13.53,13.53
2021-04-25 00:00:00,13.5,13.5,13.28,13.3
