datetime,open,high,low,close
2021-04-18 04:00:00,17.87,18.04,17.87,18.04
2021-04-18 08:00:00,18.51,18.55,18.47,18.47
2021-04-18 12:00:00,18.05,18.05,16.67,16.67
2021-04-18 16:00:00,16.67,16.67,14.69,15.29
2021-04-18 20:00:00,15.69,15.69,15.02,15.09
2021-04-19 00:00:00,14.36,15.0,14.36,15.0
2021-04-19 04:00:00,15.99,15.99,15.54,15.65
2021-04-19 08:00:00,15.81,16.21,15.81,16.13
2021-04-19 12:00:00,15.76,15.76,15.34,15.61
2021-04-19 16:00:00,15.92,15.92,15.57,15.89
2021-04-19 20:00:00,15.9,15.9,15.26,15.26
2021-04-20 00:00:00,15.21,15.21,14.43,14.43
2021-04-20 04:00:00,13.88,13.89,13.64,13.85
2021-04-20 08:00:00,14.15,14.39,14.15,14.19
2021-04-20 12:00:00,13.72,13.72,13.01,13.01
2021-04-20 16:00:00,13.12,13.5,12.64,12.64
2021-04-20 20:00:00,12.94,13.84,12.94,13.84
2021-04-21 00:00:00,13.86,14.2,13.72,13.72
2021-04-21 04:00:00,13.94,14.35,13.94,14.35
2021-04-21 08:00:00,14.41,14.41,14.33,14.38
2021-04-21 12:00:00,14.52,14.56,14.06,14.56
2021-04-21 16:00:00,14.24,14.36,14.17,14.36
2021-04-21 20:00:00,14.13,14.13,13.81,13.81
2021-04-22 00:00:00,13.63,14.52,13.63,14.52
2021-04-22 04:00:00,15.12,15.12,14.82,14.82
2021-04-22 08:00:00,14.85,14.85,14.1,14.1
2021-04-22 12:00:00,14.04,14.34,14.04,14.28
2021-04-22 16:00:00,14.23,14.94,14.23,14.94
2021-04-22 20:00:00,14.63,15.73,14.43,15.73
2021-04-23 00:00:00,15.91,15.91,15.27,15.55
2021-04-23 04:00:00,15.83,15.93,15.05,15.06
2021-04-23 08:00:00,14.87,14.87,14.02,14.24
2021-04-23 12:00:00,13.9,13.9,12.76,12.76
2021-04-23 16:00:00,12.7,12.7,12.18,12.18
2021-04-23 20:00:00,11.73,12.91,11.73,12.91
2021-04-24 00:00:00,13.22,13.22,12.63,12.87
