datetime,open,high,low,close
2021-04-18 04:00:00,49248.82,49872.49,49248.82,49872.49
2021-04-18 08:00:00,50043.52,50413.33,49288.09,49288.09
2021-04-18 12:00:00,48541.94,48718.92,46325.52,46325.52
2021-04-18 16:00:00,44311.97,48507.46,44311.97,48507.46
2021-04-18 20:00:00,47579.13,47579.13,45829.04,46214.9
2021-04-19 00:00:00,45026.22,46575.28,45026.22,46321.02
2021-04-19 04:00:00,48317.77,48956.03,48317.77,48623.69
2021-04-19 08:00:00,48480.59,52285.79,48480.59,52285.79
2021-04-19 12:00:00,52504.84,56239.96,52504.84,55075.56
2021-04-19 16:00:00,55497.02,55497.02,54460.09,54867.52
2021-04-19 20:00:00,54142.33,54142.33,52268.61,52268.61
2021-04-20 00:00:00,53436.75,53436.75,49163.59,49163.59
2021-04-20 04:00:00,49652.87,49652.87,47587.29,48260.77
2021-04-20 08:00:00,49190.87,49409.36,48364.21,48364.21
2021-04-20 12:00:00,46863.09,46863.09,44653.26,44693.9
2021-04-20 16:00:00,45884.32,45884.32,44067.42,44067.42
2021-04-20 20:00:00,44231.22,47903.47,44231.22,47903.47
2021-04-21 00:00:00,48988.88,50699.13,48988.88,49007.64
2021-04-21 04:00:00,48815.73,50118.91,48815.73,49907.8
2021-04-21 08:00:00,50122.73,50122.73,48941.69,48941.69
2021-04-21 12:00:00,49544.72,49544.72,48648.24,49374.21
2021-04-21 16:00:00,48612.77,48999.99,48612.6,48999.99
2021-04-21 20:00:00,48026.04,48523.38,46812.31,46812.31
2021-04-22 00:00:00,46313.21,48914.93,46313.21,48914.93
2021-04-22 04:00:00,49915.29,49915.29,48330.07,48330.07
2021-04-22 08:00:00,47741.49,47741.49,45286.88,45286.88
2021-04-22 12:00:00,44963.93,46760.51,44963.93,46297.29
2021-04-22 16:00:00,46385.23,47613.38,46385.23,47468.59
2021-04-22 20:00:00,46535.42,51071.29,46535.42,51071.29
2021-04-23 00:00:00,50650.73,51020.19,50397.47,51020.19
2021-04-23 04:00:00,51118.86,51118.86,48345.85,48785.24
2021-04-23 08:00:00,47781.68,47781.68,45631.88,45806.04
2021-04-23 12:00:00,45677.19,45677.19,42309.81,42309.81
2021-04-23 16:00:00,42784.31,42784.31,41109.6,41239.83
2021-04-23 20:00:00,39764.46,42547.84,39764.46,42547.84
2021-04-24 00:00:00,43059.12,43059.12,41358.35,42355.48
2021-04-24 04:00:00,42651.75,42669.5,42229.98,42669.5
2021-04-24 08:00:00,43095.02,43095.02,42471.78,42562.26
2021-04-24 12:00:00,43125.16,43125.16,41139.78,42203.8
2021-04-24 16:00:00,41638.07,42380.49,41334.41,41334.41
2021-04-24 20:00:00,41459.86,41459.86,39788.45,39788.45
2021-04-25 00:00:00,39416.8,39895.27,39288.54,39288.54
2021-04-25 04:00:00,40518.29,40878.24,39983.49,40878.24
2021-04-25 08:00:00,40367.49,40840.34,40127.32,40127.32
2021-04-25 12:00:00,39556.34,40046.02,39161.21,40046.02
2021-04-25 16:00:00,39062.06,39699.57,39062.06,39106.68
2021-04-25 20:00:00,39386.46,40886.9,39386.46,40536.34
2021-04-26 00:00:00,41280.99,41933.13,41280.99,41933.13
2021-04-26 04:00:00,41663.03,41794.63,40355.6,40355.6
2021-04-26 08:00:00,39704.84,39704.84,38043.74,39561.49
2021-04-26 12:00:00,39928.79,42529.47,39928.79,42456.27
2021-04-26 16:00:00,42351.04,42839.92,41882.79,42580.34
2021-04-26 20:00:00,42667.41,43493.05,42205.05,43493.05
2021-04-27 00:00:00,43854.32,43854.32,43270.43,43270.43
2021-04-27 04:00:00,43912.03,44068.82,43912.03,44063.79
2021-04-27 08:00:00,44320.71,44320.71,43440.39,43906.39
2021-04-27 12:00:00,45328.31,45428.71,44957.22,45193.65
2021-04-27 16:00:00,44882.45,45746.7,44882.45,45746.7
2021-04-27 20:00:00,45601.75,45923.18,45440.38,45923.18
2021-04-28 00:00:00,46279.27,46700.51,44865.79,46700.51
2021-04-28 04:00:00,48940.7,48940.7,48353.97,48395.68
2021-04-28 08:00:00,48337.11,48611.63,48337.11,48541.14
2021-04-28 12:00:00,49523.18,49523.18,48444.63,48444.63
2021-04-28 16:00:00,47791.51,48036.33,47570.43,47570.43
2021-04-28 20:00:00,48446.69,48792.32,47698.67,48792.32
2021-04-29 00:00:00,50052.04,50052.04,49096.95,49096.95
2021-04-29 04:00:00,49222.84,49724.12,48503.24,48503.24
2021-04-29 08:00:00,47662.69,48172.36,47662.69,48034.1
2021-04-29 12:00:00,47910.12,47910.12,47512.52,47512.52
2021-04-29 16:00:00,46750.89,47719.9,46750.89,47649.62
2021-04-29 20:00:00,47496.89,48152.49,47496.89,47953.12
2021-04-30 00:00:00,48143.02,48143.02,47560.33,47793.13
2021-04-30 04:00:00,47331.64,47331.64,46426.67,46825.19
2021-04-30 08:00:00,46670.92,46952.01,46543.19,46952.01
2021-04-30 12:00:00,46776.53,47740.21,46493.92,47740.21
2021-04-30 16:00:00,47905.74,48798.99,47905.74,48657.77
2021-04-30 20:00:00,48796.57,49316.68,48509.88,48509.88
2021-05-01 00:00:00,48602.46,49304.89,48516.08,48516.08
2021-05-01 04:00:00,48673.39,48901.64,48540.78,48901.64
2021-05-01 08:00:00,49292.24,49292.24,48450.54,48450.54
2021-05-01 12:00:00,49011.73,49697.92,49011.73,49575.53
2021-05-01 16:00:00,49231.94,49231.94,48964.47,48964.47
2021-05-01 20:00:00,48732.95,49069.84,48637.08,48705.64
