datetime,open,high,low,close
2021-04-18 04:00:00,122.18,123.53,122.18,123.53
2021-04-18 08:00:00,123.09,123.09,117.42,117.42
2021-04-18 12:00:00,116.3,116.3,108.04,108.04
2021-04-18 16:00:00,99.22,105.15,99.22,105.15
2021-04-18 20:00:00,104.4,104.4,98.74,98.74
2021-04-19 00:00:00,95.13,101.36,95.13,101.36
2021-04-19 04:00:00,106.37,106.37,102.43,104.15
2021-04-19 08:00:00,105.32,111.46,105.32,111.46
2021-04-19 12:00:00,107.25,110.38,107.25,110.05
2021-04-19 16:00:00,110.15,110.15,106.55,108.63
2021-04-19 20:00:00,106.87,106.87,99.35,99.35
2021-04-20 00:00:00,101.46,101.46,94.74,94.74
2021-04-20 04:00:00,95.62,98.12,95.62,97.88
2021-04-20 08:00:00,98.36,99.67,97.63,97.63
2021-04-20 12:00:00,95.42,95.42,87.28,87.79
2021-04-20 16:00:00,91.53,93.76,89.87,89.87
2021-04-20 20:00:00,94.03,99.72,94.03,99.72
2021-04-21 00:00:00,99.56,108.39,99.26,108.39
2021-04-21 04:00:00,110.4,117.3,110.4,116.84
2021-04-21 08:00:00,115.14,116.03,114.3,115.83
2021-04-21 12:00:00,129.25,129.63,123.44,123.44
2021-04-21 16:00:00,121.03,124.18,121.03,124.18
2021-04-21 20:00:00,120.5,120.5,113.35,113.35
2021-04-22 00:00:00,113.12,116.47,113.0,116.47
2021-04-22 04:00:00,115.85,115.85,112.41,112.98
2021-04-22 08:00:00,110.87,113.22,107.11,107.11
2021-04-22 12:00:00,108.84,113.28,108.19,110.86
2021-04-22 16:00:00,111.69,115.96,111.69,114.29
2021-04-22 20:00:00,110.19,120.52,110.19,120.52
2021-04-23 00:00:00,117.24,118.73,115.1,115.7
2021-04-23 04:00:00,115.51,116.84,110.88,110.88
2021-04-23 08:00:00,107.88,107.88,103.11,105.98
2021-04-23 12:00:00,105.35,105.54,96.47,96.47
2021-04-23 16:00:00,98.47,98.64,95.23,98.64
2021-04-23 20:00:00,95.86,105.79,95.86,105.79
2021-04-24 00:00:00,104.27,104.27,102.0,102.38
2021-04-24 04:00:00,106.49,110.34,106.49,108.57
2021-04-24 08:00:00,109.71,111.65,107.29,111.65
2021-04-24 12:00:00,109.17,109.17,104.94,107.17
2021-04-24 16:00:00,109.42,111.3,107.19,107.19
2021-04-24 20:00:00,109.31,109.31,102.6,102.6
2021-04-25 00:00:00,102.9,103.73,102.9,103.06
2021-04-25 04:00:00,105.54,109.46,102.89,109.46
2021-04-25 08:00:00,106.59,106.59,104.48,104.48
2021-04-25 12:00:00,104.44,107.45,101.61,105.78
2021-04-25 16:00:00,103.79,104.22,101.35,101.35
2021-04-25 20:00:00,102.27,109.96,102.27,109.96
2021-04-26 00:00:00,110.85,114.05,110.67,114.05
2021-04-26 04:00:00,113.06,114.5,111.3,111.3
2021-04-26 08:00:00,109.79,109.79,104.53,108.86
2021-04-26 12:00:00,110.73,126.11,110.73,124.41
2021-04-26 16:00:00,123.98,125.31,123.98,124.53
2021-04-26 20:00:00,124.73,125.4,123.08,125.4
2021-04-27 00:00:00,130.08,130.08,124.13,124.13
2021-04-27 04:00:00,124.0,129.36,124.0,129.08
2021-04-27 08:00:00,128.15,128.93,126.07,128.93
2021-04-27 12:00:00,133.08,136.22,133.08,133.3
2021-04-27 16:00:00,132.76,135.8,132.76,135.8
2021-04-27 20:00:00,133.23,133.23,131.57,132.42
2021-04-28 00:00:00,132.85,132.85,126.13,126.82
2021-04-28 04:00:00,127.24,127.24,125.31,125.85
2021-04-28 08:00:00,124.8,128.74,124.8,127.28
2021-04-28 12:00:00,127.73,127.73,122.95,122.95
2021-04-28 16:00:00,120.26,120.89,118.18,118.89
2021-04-28 20:00:00,119.83,121.94,119.61,121.94
2021-04-29 00:00:00,122.42,122.42,119.26,119.26
2021-04-29 04:00:00,119.25,122.85,119.25,122.73
2021-04-29 08:00:00,120.05,123.09,120.05,123.09
2021-04-29 12:00:00,118.31,119.03,118.13,119.03
2021-04-29 16:00:00,117.41,118.69,117.41,118.23
2021-04-29 20:00:00,117.43,120.31,117.43,119.6
2021-04-30 00:00:00,119.44,119.44,116.97,116.97
